# logged on Tue Dec  5 11:35:21 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701772521.401115000  999.793 0 49.9891  -  nan  -0.169803 0.0895642 -0.0165215  -0.169803 0.0895642 -0.0165215  0.0664545 0.198802 9.77177  0.0664545 0.198802 9.77177  - - -  - - -  72.6647 64.025 70.7261 71.4094 - - - - 72.1501 63.4921 - - - - - - 139 146 134 71 0 0 0 0
1701772521.406172000  999.793 0 49.9872  -  nan  -0.301047 0.220911 -0.00296075  -0.301047 0.220911 -0.00296075  0.0167868 0.0520959 9.55649  0.0167868 0.0520959 9.55649  - - -  - - -  71.9581 64.0715 71.1347 71.1552 - - - - - - - 73.9426 - - - - 139 146 134 71 0 0 0 0
1701772521.411118000  999.793 0 49.9872  -  nan  -0.140863 0.103615 -0.0150373  -0.140863 0.103615 -0.0150373  0.11012 0.147251 9.94833  0.11012 0.147251 9.94833  - - -  - - -  72.3615 65.187 70.3497 70.3228 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772521.416113000  999.793 0 49.9864  -  nan  -0.257269 0.148787 0.00258897  -0.257269 0.148787 0.00258897  0.0670973 0.153967 9.31955  0.0670973 0.153967 9.31955  - - -  - - -  71.6115 64.1249 70.9667 70.8317 - - - - - - 69.6185 - - - - - 139 146 134 71 0 0 0 0
1701772521.421130000  999.793 0 49.9871  -  nan  -0.329949 0.235766 0.00813208  -0.329949 0.235766 0.00813208  0.021584 0.155187 9.20504  0.021584 0.155187 9.20504  - - -  - - -  71.497 64.7029 70.7178 70.4853 - - - - 73.2601 62.4922 - - - - - - 139 146 134 71 0 0 0 0
1701772521.426210000  999.793 0 49.9864  -  nan  -0.214193 0.0755836 -0.019066  -0.214193 0.0755836 -0.019066  0.154617 0.0975355 9.95313  0.154617 0.0975355 9.95313  - - -  - - -  71.4933 65.1835 70.4621 70.128 - - - - - - - 71.9321 - - - - 139 146 134 71 0 0 0 0
1701772521.431124000  999.787 0 49.9864  -  nan  -0.315511 0.191057 -0.016492  -0.315511 0.191057 -0.016492  0.0183559 0.101811 9.55202  0.0183559 0.101811 9.55202  - - -  - - -  70.3894 63.9975 71.3921 70.5895 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772521.436125000  999.781 0 49.9868  -  nan  -0.286262 0.248667 -0.0165281  -0.286262 0.248667 -0.0165281  0.0720692 0.164937 8.29299  0.0720692 0.164937 8.29299  - - -  - - -  70.5722 64.4506 71.0805 70.0207 - - - - - - 70.028 - - - - - 139 146 134 71 0 0 0 0
1701772521.441113000  999.778 0 49.9893  -  nan  -0.228512 0.089831 -0.0205506  -0.228512 0.089831 -0.0205506  0.0610145 0.140546 10.5754  0.0610145 0.140546 10.5754  - - -  - - -  70.7582 64.1857 71.2186 70.3454 - - - - 73.4862 64.0041 - - - - - - 139 146 134 71 0 0 0 0
1701772521.446153000  999.776 0 49.9894  -  nan  -0.345336 0.221112 -0.00600022  -0.345336 0.221112 -0.00600022  0.0647861 0.056361 9.15772  0.0647861 0.056361 9.15772  - - -  - - -  69.5272 63.1278 72.0314 70.6307 - - - - - - - 70.028 - - - - 139 146 134 71 0 0 0 0
