# logged on Tue Nov 14 16:07:23 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699974443.242030000  999.966 0 50.003  -  nan  0.203618 -0.0369232 0.0428172  0.203618 -0.0369232 0.0428172  -0.0829493 0.00184952 9.37152  -0.0829493 0.00184952 9.37152  - - -  - - -  77.5305 78.0468 64.6942 63.1843 - - - - - - - - - - - - 139 145 0 71 0 0 0 0
1699974443.246984000  999.969 0 50.0037  -  nan  0.20407 -0.093428 0.0305831  0.20407 -0.093428 0.0305831  -0.0853903 -0.137769 9.21172  -0.0853903 -0.137769 9.21172  - - -  - - -  77.0275 77.3346 64.8914 65.0747 - - - - - - 64.0041 - - - - - 139 145 0 71 0 0 0 0
1699974443.251987000  999.97 0 50.001  -  nan  0.119242 -0.150573 0.00340519  0.119242 -0.150573 0.00340519  0.100457 -0.0981204 10.9297  0.100457 -0.0981204 10.9297  - - -  - - -  76.524 77.0534 65.7004 65.6907 - - - - - 78.8395 - 63.6618 - - - - 139 145 0 71 0 0 0 0
1699974443.256986000  999.973 0 50.0009  -  nan  0.104209 0.0457914 -0.0158648  0.104209 0.0457914 -0.0158648  0.0248759 0.143836 8.49966  0.0248759 0.143836 8.49966  - - -  - - -  76.1049 76.9888 66.1579 64.8291 - - - - 77.3036 - - - - - - - 139 145 0 71 0 0 0 0
1699974443.262030000  999.973 0 50.0009  -  nan  0.0469796 0.0866013 -0.0462798  0.0469796 0.0866013 -0.0462798  0.0684209 -0.0418411 8.63161  0.0684209 -0.0418411 8.63161  - - -  - - -  77.6145 77.4153 65.5262 64.5049 - - - - - - - - - - - - 139 145 0 71 0 0 0 0
1699974443.266971000  999.972 0 50.0028  -  nan  -0.0382828 0.0584808 -0.0467184  -0.0382828 0.0584808 -0.0467184  0.205135 -0.00218831 10.3483  0.205135 -0.00218831 10.3483  - - -  - - -  78.8016 77.6606 65.2762 63.8924 - - - - - - 66.507 - - - - - 139 145 0 71 0 0 0 0
1699974443.271986000  999.974 0 50.0022  -  nan  -0.0249943 0.197872 -0.0502906  -0.0249943 0.197872 -0.0502906  0.0636651 0.0915948 9.82312  0.0636651 0.0915948 9.82312  - - -  - - -  79.1688 78.1017 64.7974 62.7151 - - - - - 77.8089 - 64.5245 - - - - 139 145 0 71 0 0 0 0
1699974443.276983000  999.973 0 50.003  -  nan  0.0184038 0.114501 -0.0189221  0.0184038 0.114501 -0.0189221  0.00895423 -0.0480156 10.1217  0.00895423 -0.0480156 10.1217  - - -  - - -  80.3953 78.4612 63.4953 62.0723 - - - - 79.1014 - - - - - - - 139 145 0 71 0 0 0 0
1699974443.282021000  999.967 0 50.003  -  nan  0.046893 0.00337031 0.0120025  0.046893 0.00337031 0.0120025  0.00376735 -0.0971699 10.6996  0.00376735 -0.0971699 10.6996  - - -  - - -  79.9366 78.3194 63.5131 62.3362 - - - - - - - - - - - - 139 145 0 71 0 0 0 0
1699974443.286993000  999.963 0 50.0071  -  nan  0.0751261 -0.0377932 0.0272729  0.0751261 -0.0377932 0.0272729  0.000988593 -0.0988313 11.1006  0.000988593 -0.0988313 11.1006  - - -  - - -  78.5931 78.2095 63.8472 62.6633 - - - - - 79.8977 64.0041 - - - - - 139 145 0 71 0 0 0 0
1699974443.292006000  999.956 0 50.0064  -  nan  0.190001 -0.0935029 0.0303877  0.190001 -0.0935029 0.0303877  -0.133487 -0.0456392 9.54703  -0.133487 -0.0456392 9.54703  - - -  - - -  77.6035 77.6371 64.1511 63.7488 - - - - - - - 61.8429 - - - - 139 145 0 71 0 0 0 0
1699974443.297016000  999.956 0 50.0057  -  nan  0.162393 -0.16399 0.0181368  0.162393 -0.16399 0.0181368  0.106816 -0.0943182 10.0119  0.106816 -0.0943182 10.0119  - - -  - - -  76.7899 77.0077 64.9629 65.0826 - - - - 78.3208 - - - - - - - 139 145 0 71 0 0 0 0
1699974443.302051000  999.955 0 50.0057  -  nan  0.14774 -0.16464 -0.0243266  0.14774 -0.16464 -0.0243266  -0.0346059 0.0464866 9.65401  -0.0346059 0.0464866 9.65401  - - -  - - -  75.8472 76.7386 66.1099 65.1283 - - - - - - - - - - - - 139 145 0 71 0 0 0 0
1699974443.307017000  999.948 0 50.0072  -  nan  0.147091 -0.0245201 -0.0418781  0.147091 -0.0245201 -0.0418781  0.0200899 0.0949218 9.01969  0.0200899 0.0949218 9.01969  - - -  - - -  75.9447 76.3474 66.6864 65.0451 - - - - - - 64.6998 - - - - - 139 145 0 71 0 0 0 0
1699974443.312017000  999.941 0 50.0077  -  nan  0.00429255 0.0170216 -0.0587669  0.00429255 0.0170216 -0.0587669  0.114403 0.0474371 9.4256  0.114403 0.0474371 9.4256  - - -  - - -  77.0656 76.4967 66.4977 64.771 - - - - - 76.8049 - 63.8325 - - - - 139 145 0 71 0 0 0 0
1699974443.317017000  999.937 0 50.0079  -  nan  -0.0522741 0.044573 -0.0465398  -0.0522741 0.044573 -0.0465398  0.108044 0.0436349 10.3434  0.108044 0.0436349 10.3434  - - -  - - -  78.0687 77.2557 66.1264 63.3421 - - - - 76.8049 - - - - - - - 139 145 0 71 0 0 0 0
1699974443.322077000  999.936 0 50.0079  -  nan  0.00272307 0.198591 -0.00764565  0.00272307 0.198591 -0.00764565  0.0220737 0.0961079 8.73337  0.0220737 0.0961079 8.73337  - - -  - - -  78.8306 77.733 65.1082 62.6312 - - - - - - - - - - - - 139 145 0 71 0 0 0 0
1699974443.327018000  999.934 0 50.0093  15.673  nan  -0.0250215 0.128289 -0.00613943  -0.0250215 0.128289 -0.00613943  0.0588888 -0.0475403 10.0073  0.0588888 -0.0475403 10.0073  - - -  - - -  79.8958 78.2951 63.7294 62.9952 - - - - - 78.064 65.7722 - - - - - 139 145 0 71 0 0 0 0
1699974443.332010000  999.931 0 50.0104  -  nan  -0.0104462 -0.0105822 0.0253379  -0.0104462 -0.0105822 0.0253379  -0.0469223 -0.00599057 11.2643  -0.0469223 -0.00599057 11.2643  - - -  - - -  79.3687 78.4983 63.5907 62.9599 - - - - - - - 62.9882 - - - - 139 145 0 71 0 0 0 0
1699974443.337011000  999.935 0 50.0094  -  nan  0.13215 0.0324788 0.0124145  0.13215 0.0324788 0.0124145  -0.0322198 0.00280009 9.14242  -0.0322198 0.00280009 9.14242  - - -  - - -  78.3189 78.1866 63.6246 63.4734 - - - - 80.1667 - - - - - - - 139 145 0 71 0 0 0 0
1699974443.342043000  999.94 0 50.0094  -  nan  0.162155 -0.121504 0.0169878  0.162155 -0.121504 0.0169878  -0.0441998 -0.142522 10.3593  -0.0441998 -0.142522 10.3593  - - -  - - -  78.1117 77.4623 64.1655 64.7669 - - - - - - - - - - - - 139 145 0 71 0 0 0 0
1699974443.347015000  999.938 0 50.0104  -  nan  0.119242 -0.150573 0.00340519  0.119242 -0.150573 0.00340519  -0.0429642 -0.049677 10.5224  -0.0429642 -0.049677 10.5224  - - -  - - -  76.7265 76.6888 65.41 65.5219 - - - - - - 63.4921 - - - - - 139 145 0 71 0 0 0 0
1699974443.352012000  999.935 0 50.0103  -  nan  0.19032 -0.0517706 -0.0267724  0.19032 -0.0517706 -0.0267724  0.0196986 0.00446151 8.74173  0.0196986 0.00446151 8.74173  - - -  - - -  76.0567 76.4709 65.9624 65.4563 - - - - - 79.1014 - 62.822 - - - - 139 145 0 71 0 0 0 0
1699974443.357010000  999.935 0 50.0103  -  nan  0.133314 -0.052446 -0.0550825  0.133314 -0.052446 -0.0550825  -0.033417 0.0471974 9.48242  -0.033417 0.0471974 9.48242  - - -  - - -  76.71 75.9542 66.2334 65.932 - - - - 76.558 - - - - - - - 139 145 0 71 0 0 0 0
1699974443.362044000  999.935 0 50.0103  -  nan  -0.00975251 -0.0115218 -0.0444303  -0.00975251 -0.0115218 -0.0444303  0.157185 -0.00147746 10.1763  0.157185 -0.00147746 10.1763  - - -  - - -  77.442 75.8844 66.5575 65.1942 - - - - - - - - - - - - 139 145 0 71 0 0 0 0
1699974443.367012000  999.928 0 50.0103  -  nan  -0.0247298 0.100438 -0.0191484  -0.0247298 0.100438 -0.0191484  0.0708194 0.0958723 8.79059  0.0708194 0.0958723 8.79059  - - -  - - -  77.7822 76.6966 66.063 64.0833 - - - - - - 66.8807 - - - - - 139 145 0 71 0 0 0 0
