# logged on Tue Nov 14 13:53:05 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699966385.488745000  1000.68 0 49.9992  -  nan  -0.0104699 0.0178863 0.0108059  -0.0104699 0.0178863 0.0108059  0.110831 0.000188099 9.77396  0.110831 0.000188099 9.77396  - - -  - - -  74.6979 71.8323 68.0732 66.4741 - - - - 74.4048 - - - - - - - 138 146 133 70 0 0 0 0
1699966385.493731000  1000.69 0 49.9973  -  nan  0.0465001 0.0735227 0.0101054  0.0465001 0.0735227 0.0101054  0.0129439 0.045536 9.88381  0.0129439 0.045536 9.88381  - - -  - - -  74.6691 72.2218 67.8204 66.3248 - - - - - - 68.4182 - - - - - 138 146 133 70 0 0 0 0
1699966385.498772000  1000.68 0 49.9977  -  nan  0.0610985 0.00325993 -0.00155909  0.0610985 0.00325993 -0.00155909  0.0113554 -0.000526891 9.94584  0.0113554 -0.000526891 9.94584  - - -  - - -  74.844 72.1505 67.5035 66.5383 - - - - - 72.812 - 65.9544 - - - - 138 146 133 70 0 0 0 0
1699966385.503729000  1000.69 0 49.9977  -  nan  -0.0103869 0.00306539 0.0112067  -0.0103869 0.00306539 0.0112067  0.110822 0.0452963 9.94237  0.110822 0.0452963 9.94237  - - -  - - -  74.6363 71.9628 67.8723 66.5522 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1699966385.508727000  1000.68 0 49.9969  -  nan  0.0185951 0.0318743 0.0108367  0.0185951 0.0318743 0.0108367  0.0113541 0.0445855 10.1133  0.0113541 0.0445855 10.1133  - - -  - - -  74.3975 72.5857 67.8388 66.0704 - - - - 75.3466 - - - - - - - 138 146 133 70 0 0 0 0
1699966385.513736000  1000.69 0 49.9962  -  nan  0.0610985 0.00325993 -0.00155909  0.0610985 0.00325993 -0.00155909  -0.033811 0.0469619 9.53928  -0.033811 0.0469619 9.53928  - - -  - - -  74.5743 72.4201 67.6043 66.0418 - - - - - - 67.8334 - - - - - 138 146 133 70 0 0 0 0
1699966385.518758000  1000.68 0 49.997  -  nan  -0.0241639 -0.0248605 -0.00199772  -0.0241639 -0.0248605 -0.00199772  0.109241 -0.000762466 10.0034  0.109241 -0.000762466 10.0034  - - -  - - -  74.5744 72.2099 67.9073 66.2153 - - - - - 72.3694 - 66.8807 - - - - 138 146 133 70 0 0 0 0
1699966385.523734000  1000.69 0 49.997  -  nan  -0.0104105 0.0315339 -0.00332532  -0.0104105 0.0315339 -0.00332532  0.0101569 0.0889828 10.4533  0.0101569 0.0889828 10.4533  - - -  - - -  74.3426 72.777 68.084 65.428 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1699966385.528779000  1000.68 0 49.9953  -  nan  0.0469468 0.018006 -0.00215538  0.0469468 0.018006 -0.00215538  -0.0314345 0.0934959 9.36351  -0.0314345 0.0934959 9.36351  - - -  - - -  74.5374 72.766 67.6776 65.1686 - - - - 74.4048 - - - - - - - 138 146 133 70 0 0 0 0
1699966385.533721000  1000.69 0 49.9953  -  nan  -0.0522239 -0.0388432 -0.00201458  -0.0522239 -0.0388432 -0.00201458  0.0601011 -0.000762466 10.0031  0.0601011 -0.000762466 10.0031  - - -  - - -  74.5211 72.7307 67.9465 65.4896 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1699966385.538747000  1000.68 0 49.993  -  nan  -0.0385243 0.0029156 0.0108157  -0.0385243 0.0029156 0.0108157  -0.0373929 0.0899334 10.2235  -0.0373929 0.0899334 10.2235  - - -  - - -  74.1802 73.1711 68.0006 64.9425 - - - - - 72.59 67.4491 65.7722 - - - - 138 146 133 70 0 0 0 0
1699966385.543715000  1000.69 0 49.993  -  nan  0.0470836 0.0178207 -0.0159125  0.0470836 0.0178207 -0.0159125  -0.0294438 0.0946862 9.0762  -0.0294438 0.0946862 9.0762  - - -  - - -  74.2794 73.2234 67.7558 64.768 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
