# logged on Thu Dec 21 15:51:51 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1703170311.352289000  1000.61 0 50.0078  -  nan  -0.00957136 -0.0447695 -0.125116  -0.00957136 -0.0447695 -0.125116  0.00411837 -0.251488 10.2681  0.00411837 -0.251488 10.2681  - - -  - - -  76.0295 66.5671 71.3258 65.6681 - - - - - - - 67.0691 - - - - 139 146 134 70 0 0 0 0
1703170311.357308000  1000.61 0 50.0078  -  nan  -0.198083 0.217155 -0.0783339  -0.198083 0.217155 -0.0783339  0.39589 0.357094 8.90492  0.39589 0.357094 8.90492  - - -  - - -  76.4411 63.7486 73.2318 65.7285 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1703170311.362286000  1000.61 0 50.008  -  nan  -0.31657 0.209074 0.078951  -0.31657 0.209074 0.078951  -0.446986 0.135665 11.0284  -0.446986 0.135665 11.0284  - - -  - - -  77.3512 66.1384 71.484 64.9693 - - - - 77.5555 - - - - - - - 139 146 134 70 0 0 0 0
1703170311.367297000  1000.61 0 50.0065  -  nan  -0.081222 0.0422047 -0.119502  -0.081222 0.0422047 -0.119502  0.0565509 -0.0986815 9.91255  0.0565509 -0.0986815 9.91255  - - -  - - -  76.0912 66.5913 71.3523 65.2286 - - - - - 65.4108 72.812 - - - - - 139 146 134 70 0 0 0 0
1703170311.372432000  1000.61 0 50.0088  -  nan  -0.286426 0.249209 -0.00296111  -0.286426 0.249209 -0.00296111  0.164953 0.351608 9.41653  0.164953 0.351608 9.41653  - - -  - - -  76.8039 64.7469 72.56 65.3758 - - - - - - - 65.0533 - - - - 139 146 134 70 0 0 0 0
1703170311.377299000  1000.61 0 50.0088  -  nan  -0.287593 0.179456 0.0538171  -0.287593 0.179456 0.0538171  -0.214443 0.140546 10.5734  -0.214443 0.140546 10.5734  - - -  - - -  77.021 66.7153 71.1261 64.8249 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1703170311.382365000  1000.6 0 50.0079  -  nan  -0.168833 0.129902 -0.0732435  -0.168833 0.129902 -0.0732435  -0.0773139 -0.0428655 9.33622  -0.0773139 -0.0428655 9.33622  - - -  - - -  76.1769 66.919 71.2897 65.1669 - - - - 77.5555 - - - - - - - 139 146 134 70 0 0 0 0
1703170311.387309000  1000.59 0 50.0063  -  nan  -0.227251 0.21837 -0.0531791  -0.227251 0.21837 -0.0531791  0.204374 0.198186 9.83036  0.204374 0.198186 9.83036  - - -  - - -  76.7778 65.8119 72.0951 65.3473 - - - - - 64.1766 73.0353 - - - - - 139 146 134 70 0 0 0 0
1703170311.392296000  1000.59 0 50.0077  -  nan  -0.256922 0.221252 0.0136457  -0.256922 0.221252 0.0136457  -0.119824 0.146031 10.0608  -0.119824 0.146031 10.0608  - - -  - - -  76.9172 66.36 71.461 65.0546 - - - - - - - 65.591 - - - - 139 146 134 70 0 0 0 0
1703170311.397269000  1000.59 0 50.0077  -  nan  -0.227635 0.189575 -0.0376178  -0.227635 0.189575 -0.0376178  -0.305447 0.00521997 9.38775  -0.305447 0.00521997 9.38775  - - -  - - -  76.788 66.9176 71.0371 65.4654 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1703170311.402283000  1000.59 0 50.0079  -  nan  -0.182842 0.187708 -0.0762483  -0.182842 0.187708 -0.0762483  0.287154 0.0429396 10.4153  0.287154 0.0429396 10.4153  - - -  - - -  76.6941 66.1875 71.9482 65.556 - - - - 76.558 - - - - - - - 139 146 134 70 0 0 0 0
1703170311.407284000  1000.59 0 50.0082  -  nan  -0.271596 0.306884 -0.00398678  -0.271596 0.306884 -0.00398678  -0.431588 0.354653 9.12722  -0.431588 0.354653 9.12722  - - -  - - -  77.1286 65.8585 71.6951 65.5198 - - - - - 65.591 71.286 - - - - - 139 146 134 70 0 0 0 0
1703170311.412401000  1000.58 0 50.0084  -  nan  -0.24229 0.131319 -0.0511281  -0.24229 0.131319 -0.0511281  -0.219275 -0.0532418 10.3062  -0.219275 -0.0532418 10.3062  - - -  - - -  77.0316 66.9467 71.2639 65.7666 - - - - - - - 64.1766 - - - - 139 146 134 70 0 0 0 0
1703170311.417299000  1000.58 0 50.0084  -  nan  -0.153902 0.201759 -0.0747641  -0.153902 0.201759 -0.0747641  0.377409 -0.0980767 9.85831  0.377409 -0.0980767 9.85831  - - -  - - -  76.4178 65.9442 72.3107 65.8434 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1703170311.422355000  1000.58 0 50.0076  -  nan  -0.28647 0.337482 0.0483016  -0.28647 0.337482 0.0483016  -0.521054 0.450025 9.40265  -0.521054 0.450025 9.40265  - - -  - - -  76.9876 65.692 71.9829 66.1588 - - - - 76.8049 - - - - - - - 139 146 134 70 0 0 0 0
1703170311.427306000  1000.58 0 50.006  -  nan  -0.256885 0.131965 -0.0375817  -0.256885 0.131965 -0.0375817  -0.178001 -0.156322 10.657  -0.178001 -0.156322 10.657  - - -  - - -  76.7492 67.2958 71.0509 66.4047 - - - - - 65.9544 70.8617 - - - - - 139 146 134 70 0 0 0 0
1703170311.432352000  1000.58 0 50.0074  -  nan  -0.182369 0.230724 -0.0913356  -0.182369 0.230724 -0.0913356  0.517266 -0.0944164 9.5168  0.517266 -0.0944164 9.5168  - - -  - - -  75.8044 65.7456 72.4629 66.4463 - - - - - - - 66.1376 - - - - 139 146 134 70 0 0 0 0
1703170311.437304000  1000.59 0 50.0074  -  nan  -0.315183 0.308165 0.0201784  -0.315183 0.308165 0.0201784  -0.43189 0.491804 10.1415  -0.43189 0.491804 10.1415  - - -  - - -  77.1278 65.5039 72.0246 66.3832 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1703170311.442290000  1000.6 0 50.0077  15.705  nan  -0.256941 0.147703 -0.024545  -0.256941 0.147703 -0.024545  -0.086171 -0.201168 10.2064  -0.086171 -0.201168 10.2064  - - -  - - -  76.4557 66.8329 71.2341 66.1468 - - - - 77.0535 - - - - - - - 139 146 134 70 0 0 0 0
1703170311.447286000  1000.61 0 50.008  -  nan  -0.197781 0.2597 -0.0798189  -0.197781 0.2597 -0.0798189  0.247558 0.0551409 9.27323  0.247558 0.0551409 9.27323  - - -  - - -  75.9861 65.282 72.2213 66.7488 - - - - - 65.2316 70.8617 - - - - - 139 146 134 70 0 0 0 0
1703170311.452358000  1000.62 0 50.0102  -  nan  -0.359844 0.279532 0.0317313  -0.359844 0.279532 0.0317313  -0.302695 0.287867 10.7301  -0.302695 0.287867 10.7301  - - -  - - -  76.7611 65.6075 72.1011 66.5551 - - - - - - - 66.3218 - - - - 139 146 134 70 0 0 0 0
