# logged on Wed Nov 29 16:59:27 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701273567.195005000  1000.29 0 49.9994  -  nan  0.0191646 -0.0121254 -0.0135822  0.0191646 -0.0121254 -0.0135822  0.0130378 -0.00148542 10.0175  0.0130378 -0.00148542 10.0175  - - -  - - -  78.8705 81.063 82.6198 78.8886 - - - - - - 81.5395 78.8395 - - - - 139 146 135 70 0 0 0 0
1701273567.200003000  1000.28 0 49.9994  -  nan  0.0193102 0.0319755 -0.00153546  0.0193102 0.0319755 -0.00153546  0.0561776 -0.192012 9.35062  0.0561776 -0.192012 9.35062  - - -  - - -  79.1597 80.6996 82.4497 79.2695 - - - - - - - - - - - - 139 146 135 70 0 0 0 0
1701273567.205000000  1000.28 0 49.9994  -  nan  0.00320374 -0.0839775 -0.0121322  0.00320374 -0.0839775 -0.0121322  0.103723 -0.0962412 9.68455  0.103723 -0.0962412 9.68455  - - -  - - -  79.4958 80.6641 82.2335 79.6863 - - - - - - - - - - - - 139 146 135 70 0 0 0 0
1701273567.209983000  1000.28 0 50.0025  -  nan  0.0627709 0.0601426 0.000443371  0.0627709 0.0601426 0.000443371  0.0121435 -0.0950211 9.5697  0.0121435 -0.0950211 9.5697  - - -  - - -  78.9635 80.5212 82.8478 79.7927 - - - - 79.8977 80.9848 - - - - - - 139 146 135 70 0 0 0 0
1701273567.215017000  1000.28 0 50.0012  -  nan  0.0481048 0.00192535 -0.0120979  0.0481048 0.00192535 -0.0120979  0.143787 -0.294498 9.64616  0.143787 -0.294498 9.64616  - - -  - - -  79.5329 80.3404 82.4751 80.1506 - - - - - - 80.9848 79.6305 - - - - 139 146 135 70 0 0 0 0
1701273567.220003000  1000.28 0 50.0012  -  nan  0.121032 -0.0267707 -0.00608933  0.121032 -0.0267707 -0.00608933  0.0104846 -0.0986815 9.91222  0.0104846 -0.0986815 9.91222  - - -  - - -  79.4889 80.1938 82.8313 80.3965 - - - - - - - - - - - - 139 146 135 70 0 0 0 0
1701273567.225002000  1000.27 0 50.0012  -  nan  0.0771275 0.0748012 0.014505  0.0771275 0.0748012 0.014505  0.0079892 -0.242947 9.46892  0.0079892 -0.242947 9.46892  - - -  - - -  79.2328 79.7687 83.1021 80.9239 - - - - - - - - - - - - 139 146 135 70 0 0 0 0
1701273567.230000000  1000.27 0 50.0039  -  nan  0.106511 -0.040887 -0.00658395  0.106511 -0.040887 -0.00658395  0.191333 -0.198728 9.98008  0.191333 -0.198728 9.98008  - - -  - - -  79.5739 79.983 82.8163 81.0279 - - - - 79.6305 81.5395 - - - - - - 139 146 135 70 0 0 0 0
1701273567.235008000  1000.28 0 50.0005  -  nan  0.121581 0.0740576 0.00397746  0.121581 0.0740576 0.00397746  0.0576568 -0.0962412 9.68421  0.0576568 -0.0962412 9.68421  - - -  - - -  79.0774 79.6924 83.2583 81.3379 - - - - - - - 81.5395 - - - - 139 146 135 70 0 0 0 0
1701273567.240015000  1000.28 0 50.0005  -  nan  0.0927411 0.0741887 0.00199827  0.0927411 0.0741887 0.00199827  0.143144 -0.249663 10.0984  0.143144 -0.249663 10.0984  - - -  - - -  79.6318 79.7809 82.9059 81.4406 - - - - - - 82.1018 - - - - - 139 146 135 70 0 0 0 0
