# logged on Fri Dec  1 17:22:00 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701447720.693536000  1000.88 0 49.9972  -  nan  0.0194741 0.0314331 -0.0151025  0.0194741 0.0314331 -0.0151025  0.019925 0.151527 9.54755  0.019925 0.151527 9.54755  - - -  - - -  74.7069 67.2687 70.2214 69.7621 - - - - - - - - - - - - 139 146 0 71 0 0 0 0
1701447720.698534000  1000.89 0 49.9965  -  nan  -0.126297 0.14765 -0.00200097  -0.126297 0.14765 -0.00200097  0.0634061 0.053316 9.44265  0.0634061 0.053316 9.44265  - - -  - - -  74.7501 66.4532 70.5 70.4629 - - - - - - - 69.6185 - - - - 139 146 0 70 0 0 0 0
1701447720.703541000  1000.88 0 49.9982  -  nan  -0.0536168 0.0606715 -0.00754408  -0.0536168 0.0606715 -0.00754408  -0.0350833 0.0392899 10.7545  -0.0350833 0.0392899 10.7545  - - -  - - -  74.9198 67.2196 70.026 69.8689 - - - - - 68.6153 70.6514 - - - - - 139 146 0 70 0 0 0 0
1701447720.708544000  1000.89 0 49.9994  -  nan  0.0195117 0.0603392 -0.00252542  0.0195117 0.0603392 -0.00252542  0.0218581 0.155792 9.14845  0.0218581 0.155792 9.14845  - - -  - - -  74.1782 66.0588 70.4043 70.4143 - - - - 75.3466 - - - - - - - 139 146 0 70 0 0 0 0
1701447720.713534000  1000.88 0 49.9994  -  nan  -0.15551 0.118947 0.0106121  -0.15551 0.118947 0.0106121  0.0596571 -0.000265298 9.90371  0.0596571 -0.000265298 9.90371  - - -  - - -  74.2019 65.7186 70.5025 70.9461 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701447720.718544000  1000.88 0 49.9994  -  nan  0.00396126 0.0462275 -0.00309072  0.00396126 0.0462275 -0.00309072  0.0153122 0.0950953 10.1805  0.0153122 0.0950953 10.1805  - - -  - - -  74.0777 66.2053 70.1931 70.5012 - - - - - - - 69.2137 - - - - 139 146 0 70 0 0 0 0
1701447720.723542000  1000.88 0 49.9986  -  nan  -0.0390587 0.103694 0.00552758  -0.0390587 0.103694 0.00552758  0.021669 0.109121 8.86798  0.021669 0.109121 8.86798  - - -  - - -  73.4977 64.975 70.71 71.1653 - - - - - 67.8334 71.0732 - - - - - 139 146 0 70 0 0 0 0
1701447720.728548000  1000.88 0 49.9988  -  nan  -0.155573 0.133671 0.0236842  -0.155573 0.133671 0.0236842  0.015402 0.0490403 9.84241  0.015402 0.0490403 9.84241  - - -  - - -  73.526 65.1253 70.5646 71.4647 - - - - 75.8265 - - - - - - - 139 146 0 70 0 0 0 0
1701447720.733539000  1000.88 0 49.9988  -  nan  -0.0250798 0.0179949 -0.00407995  -0.0250798 0.0179949 -0.00407995  0.0605514 0.0932704 10.3516  0.0605514 0.0932704 10.3516  - - -  - - -  73.1204 65.6646 70.3838 71.0702 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701447720.738530000  1000.88 0 49.9979  -  nan  -0.14078 0.16244 0.0100814  -0.14078 0.16244 0.0100814  -0.0241184 0.109737 8.81006  -0.0241184 0.109737 8.81006  - - -  - - -  72.4502 64.5127 71.0993 71.4411 - - - - - - - 70.2346 - - - - 139 146 0 70 0 0 0 0
1701447720.743538000  1000.88 0 49.9975  -  nan  -0.169601 0.117928 -0.0175114  -0.169601 0.117928 -0.0175114  0.0640535 0.147251 9.94799  0.0640535 0.147251 9.94799  - - -  - - -  72.9491 65.191 70.6907 71.0372 - - - - - 64.8761 70.6514 - - - - - 139 146 0 70 0 0 0 0
