# logged on Mon Jan  8 13:34:22 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704717262.326755000  1001.06 0 50.0148  -  nan  0.0188183 0.0336024 0.0391655  0.0188183 0.0336024 0.0391655  0.243134 0.0453799 10.1866  0.243134 0.0453799 10.1866  - - -  - - -  77.9276 67.7333 70.4254 62.0376 - - - - - - 70.2346 - - - - - 138 0 134 70 0 0 0 0
1704717262.331705000  1001.06 0 50.0164  -  nan  0.00418209 0.148141 0.0341101  0.00418209 0.148141 0.0341101  0.157751 0.0581965 8.98664  0.157751 0.0581965 8.98664  - - -  - - -  77.2163 68.4524 70.2132 62.3725 - - - - 78.064 - - - - - - - 138 0 134 70 0 0 0 0
1704717262.336761000  1001.06 0 50.0127  -  nan  0.033402 0.0329946 0.0265881  0.033402 0.0329946 0.0265881  -0.588641 -0.0118512 10.9831  -0.588641 -0.0118512 10.9831  - - -  - - -  78.3057 68.7107 68.841 62.989 - - - - - - - 61.0501 - - - - 138 0 134 70 0 0 0 0
1704717262.341694000  1001.07 0 50.0115  -  nan  0.0771006 -0.072336 -0.0628456  0.0771006 -0.072336 -0.0628456  0.286018 -0.0501862 10.0239  0.286018 -0.0501862 10.0239  - - -  - - -  77.898 68.4171 69.2529 62.6135 - - - - - 69.0131 - - - - - - 138 0 134 70 0 0 0 0
1704717262.346754000  1001.07 0 50.0123  -  nan  -0.0247205 0.162996 0.0452029  -0.0247205 0.162996 0.0452029  -0.0672355 0.162497 8.52033  -0.0672355 0.162497 8.52033  - - -  - - -  78.1167 66.9877 70.6299 62.95 - - - - - - 68.4182 - - - - - 138 0 134 70 0 0 0 0
1704717262.351698000  1001.08 0 50.0151  -  nan  0.0329101 0.0346215 0.0672891  0.0329101 0.0346215 0.0672891  -0.728621 0.0295288 11.6628  -0.728621 0.0295288 11.6628  - - -  - - -  79.089 68.3083 68.7115 63.6271 - - - - 77.8089 - - - - - - - 138 0 134 70 0 0 0 0
1704717262.356759000  1001.08 0 50.0126  -  nan  0.150632 -0.088516 -0.099002  0.150632 -0.088516 -0.099002  0.473048 -0.0440856 9.45442  0.473048 -0.0440856 9.45442  - - -  - - -  77.5422 67.4295 69.6976 63.475 - - - - - - - 63.1552 - - - - 138 0 134 70 0 0 0 0
1704717262.361699000  1001.08 0 50.0103  -  nan  0.00423806 0.132403 0.0210734  0.00423806 0.132403 0.0210734  0.120811 0.217093 8.06052  0.120811 0.217093 8.06052  - - -  - - -  78.8298 65.8333 70.521 63.7221 - - - - - 67.4491 - - - - - - 138 0 134 70 0 0 0 0
1704717262.366752000  1001.08 0 50.0103  -  nan  0.017405 -0.0944333 0.084392  0.017405 -0.0944333 0.084392  -0.639563 -0.0678728 11.6722  -0.639563 -0.0678728 11.6722  - - -  - - -  79.5125 68.1025 68.5856 64.2906 - - - - - - 70.4424 - - - - - 138 0 134 70 0 0 0 0
1704717262.371697000  1001.08 0 50.0123  -  nan  0.136029 -0.161457 -0.124615  0.136029 -0.161457 -0.124615  0.194934 -0.0520217 10.195  0.194934 -0.0520217 10.195  - - -  - - -  77.4038 68.203 69.0881 64.3032 - - - - 77.3036 - - - - - - - 138 0 134 70 0 0 0 0
1704717262.376688000  1001.08 0 50.009  -  nan  0.034435 0.0586079 -0.0432059  0.034435 0.0586079 -0.0432059  0.115371 0.158837 8.86419  0.115371 0.158837 8.86419  - - -  - - -  78.4691 66.2694 70.7875 63.4697 - - - - - - - 63.4921 - - - - 138 0 134 70 0 0 0 0
1704717262.381696000  1001.09 0 50.0081  -  nan  0.00125012 -0.121061 0.125992  0.00125012 -0.121061 0.125992  -0.633449 0.0362342 11.036  -0.633449 0.0362342 11.036  - - -  - - -  78.1276 68.6654 69.4307 63.5483 - - - - - 67.4491 - - - - - - 138 0 134 70 0 0 0 0
1704717262.386761000  1001.09 0 50.0073  -  nan  0.0927699 -0.161261 -0.127584  0.0927699 -0.161261 -0.127584  -0.0328762 0.0441598 10.2988  -0.0328762 0.0441598 10.2988  - - -  - - -  76.6498 68.2788 69.8072 63.8689 - - - - - - 70.028 - - - - - 138 0 134 70 0 0 0 0
1704717262.391779000  1001.08 0 50.0086  -  nan  -0.0114991 -0.0529083 0.0265539  -0.0114991 -0.0529083 0.0265539  0.246178 0.0520959 9.55816  0.246178 0.0520959 9.55816  - - -  - - -  77.6553 66.3341 71.7969 62.3924 - - - - 78.3208 - - - - - - - 138 0 134 70 0 0 0 0
1704717262.396828000  1001.08 0 50.0067  -  nan  -0.056328 -0.106617 0.121538  -0.056328 -0.106617 0.121538  -0.488242 0.144206 10.2289  -0.488242 0.144206 10.2289  - - -  - - -  78.1429 67.5898 70.4495 62.7412 - - - - - - - 63.8325 - - - - 138 0 134 70 0 0 0 0
1704717262.401715000  1001.08 0 50.0051  -  nan  0.0324913 -0.214899 -0.0336599  0.0324913 -0.214899 -0.0336599  -0.407807 -0.0173471 11.4988  -0.407807 -0.0173471 11.4988  - - -  - - -  76.8295 69.4968 69.5745 63.2408 - - - - - 67.2585 - - - - - - 138 0 134 70 0 0 0 0
1704717262.406838000  1001.08 0 50.0055  -  nan  0.00310296 -0.0981594 -0.0116372  0.00310296 -0.0981594 -0.0116372  0.386476 0.0588013 8.93172  0.386476 0.0588013 8.93172  - - -  - - -  76.5565 67.7461 71.3392 61.8668 - - - - - - 71.0732 - - - - - 138 0 134 70 0 0 0 0
1704717262.411702000  1001.07 0 50.006  -  nan  -0.113496 -0.0344327 0.11507  -0.113496 -0.0344327 0.11507  -0.526193 0.254618 9.19208  -0.526193 0.254618 9.19208  - - -  - - -  77.4826 68.513 70.8078 61.9763 - - - - 77.5555 - - - - - - - 138 0 134 70 0 0 0 0
1704717262.416759000  1001.07 0 50.0054  -  nan  0.0323081 -0.287906 -0.0582836  0.0323081 -0.287906 -0.0582836  -0.184637 -0.170964 12.027  -0.184637 -0.170964 12.027  - - -  - - -  76.5444 70.8216 69.6949 62.0293 - - - - - - - 62.9882 - - - - 138 0 134 70 0 0 0 0
1704717262.421710000  1001.07 0 50.0049  -  nan  0.0769547 -0.189012 -0.114087  0.0769547 -0.189012 -0.114087  0.521757 0.00705546 9.22204  0.521757 0.00705546 9.22204  - - -  - - -  75.9262 68.7476 71.314 61.3917 - - - - - 67.8334 - - - - - - 138 0 134 70 0 0 0 0
1704717262.426757000  1001.08 0 50.0044  -  nan  -0.0992848 -0.0638749 0.117085  -0.0992848 -0.0638749 0.117085  -0.526656 0.207343 8.9682  -0.526656 0.207343 8.9682  - - -  - - -  77.9192 68.3975 71.278 61.4187 - - - - - - 69.8227 - - - - - 138 0 134 70 0 0 0 0
1704717262.431707000  1001.08 0 50.0039  -  nan  0.0606888 -0.256453 -0.00209268  0.0606888 -0.256453 -0.00209268  -0.323942 -0.173404 12.2544  -0.323942 -0.173404 12.2544  - - -  - - -  76.9048 71.0317 69.9848 61.8891 - - - - 76.558 - - - - - - - 138 0 134 70 0 0 0 0
1704717262.436761000  1001.08 0 50.0025  -  nan  0.0775482 -0.0582646 -0.091479  0.0775482 -0.0582646 -0.091479  0.295018 0.014981 8.47873  0.295018 0.014981 8.47873  - - -  - - -  76.0217 68.9234 71.5304 61.8766 - - - - - - - 61.0501 - - - - 138 0 134 70 0 0 0 0
1704717262.441708000  1001.09 0 50.0033  -  nan  -0.0127665 -0.0642681 0.123022  -0.0127665 -0.0642681 0.123022  -0.251298 0.114617 8.3517  -0.251298 0.114617 8.3517  - - -  - - -  78.1699 68.3489 71.5478 61.5825 - - - - - 69.2137 - - - - - - 138 0 134 70 0 0 0 0
1704717262.446756000  1001.1 0 50.002  -  nan  0.178454 -0.184522 0.0170222  0.178454 -0.184522 0.0170222  -0.0912328 -0.166083 11.571  -0.0912328 -0.166083 11.571  - - -  - - -  76.9073 70.659 70.1802 62.9588 - - - - - - 70.6514 - - - - - 138 0 134 70 0 0 0 0
1704717262.451704000  1001.1 0 50.0028  -  nan  0.150292 -0.0873926 -0.0708989  0.150292 -0.0873926 -0.0708989  0.0550716 -0.194452 9.57897  0.0550716 -0.194452 9.57897  - - -  - - -  76.5379 68.8404 70.6351 63.0259 - - - - 78.064 - - - - - - - 138 0 134 70 0 0 0 0
1704717262.456759000  1001.1 0 50.0005  -  nan  0.133483 -0.138521 0.0938998  0.133483 -0.138521 0.0938998  -0.0246714 0.108517 8.92423  -0.0246714 0.108517 8.92423  - - -  - - -  77.6267 68.4085 70.7686 63.1105 - - - - - - - 60.584 - - - - 138 0 134 70 0 0 0 0
1704717262.461706000  1001.1 0 50.0004  -  nan  0.164154 -0.096725 0.0537284  0.164154 -0.096725 0.0537284  -0.128919 -0.0118512 10.9865  -0.128919 -0.0118512 10.9865  - - -  - - -  76.9978 69.4665 70.3235 64.1464 - - - - - 69.6185 - - - - - - 138 0 134 70 0 0 0 0
1704717262.466756000  1001.1 0 50.0004  -  nan  0.208371 -0.12912 -0.0382509  0.208371 -0.12912 -0.0382509  -0.220665 -0.195067 9.63454  -0.220665 -0.195067 9.63454  - - -  - - -  77.0281 68.6117 69.9656 63.8841 - - - - - - 71.0732 - - - - - 138 0 134 70 0 0 0 0
1704717262.471707000  1001.11 0 50.0004  -  nan  0.222418 -0.15802 -0.022669  0.222418 -0.15802 -0.022669  0.203107 0.0113206 8.82059  0.203107 0.0113206 8.82059  - - -  - - -  77.2695 67.6431 71.0812 63.7347 - - - - 78.064 - - - - - - - 138 0 134 70 0 0 0 0
1704717262.476758000  1001.11 0 49.9993  -  nan  0.13496 -0.0252093 0.0356012  0.13496 -0.0252093 0.0356012  -0.314965 0.0295288 11.6658  -0.314965 0.0295288 11.6658  - - -  - - -  77.7521 67.7542 71.2522 64.2934 - - - - - - - 62.1659 - - - - 138 0 134 70 0 0 0 0
1704717262.481708000  1001.1 0 50.0004  -  nan  0.221814 -0.170536 0.019496  0.221814 -0.170536 0.019496  -0.414236 -0.261854 11.2351  -0.414236 -0.261854 11.2351  - - -  - - -  77.4673 68.4037 70.2731 63.5356 - - - - - 68.6153 - - - - - - 138 0 134 70 0 0 0 0
1704717262.486764000  1001.1 0 50.0013  -  nan  0.267987 -0.0743254 -0.0778718  0.267987 -0.0743254 -0.0778718  0.484875 0.118882 7.95796  0.484875 0.118882 7.95796  - - -  - - -  76.5348 67.1826 71.8204 63.6785 - - - - - - 70.4424 - - - - - 138 0 134 70 0 0 0 0
