# logged on Tue Dec  5 10:17:00 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701767820.968665000  1000.53 0 49.9909  -  nan  -0.0824818 0.104433 0.0161258  -0.0824818 0.104433 0.0161258  0.0192822 0.196362 9.99978  0.0192822 0.196362 9.99978  - - -  - - -  76.1867 69.3076 68.8306 68.0605 - - - - 74.638 - 70.4424 - - - - - 138 146 134 71 0 0 0 0
1701767820.973662000  1000.53 0 49.9909  -  nan  -0.214174 0.149133 0.0191248  -0.214174 0.149133 0.0191248  0.0611942 0.0484355 9.89934  0.0611942 0.0484355 9.89934  - - -  - - -  75.8551 68.9187 68.9327 68.1741 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701767820.978658000  1000.55 0 49.9916  -  nan  -0.169829 0.133194 0.00912757  -0.169829 0.133194 0.00912757  0.0214941 0.201242 9.54309  0.0214941 0.201242 9.54309  - - -  - - -  75.7594 69.7165 68.7656 67.3934 - - - - - 68.4182 - 69.0131 - - - - 138 146 134 71 0 0 0 0
1701767820.983653000  1000.56 0 49.9916  -  nan  -0.169829 0.133194 0.00912757  -0.169829 0.133194 0.00912757  0.0188191 0.149086 9.7759  0.0188191 0.149086 9.7759  - - -  - - -  75.5948 69.4607 69.011 67.5058 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701767820.988670000  1000.57 0 49.9922  -  nan  -0.243058 0.119345 0.00460388  -0.243058 0.119345 0.00460388  0.0608255 0.0938752 10.295  0.0608255 0.0938752 10.295  - - -  - - -  75.4534 69.3075 69.1434 67.2571 - - - - 75.3466 - 69.4155 - - - - - 138 146 134 71 0 0 0 0
1701767820.993650000  1000.57 0 49.9922  -  nan  -0.213846 0.148048 -0.00800923  -0.213846 0.148048 -0.00800923  -0.0689795 0.204902 9.1999  -0.0689795 0.204902 9.1999  - - -  - - -  75.2066 69.4795 69.2338 66.6877 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701767820.998668000  1000.57 0 49.9928  -  nan  -0.228474 0.118737 -0.00797352  -0.228474 0.118737 -0.00797352  0.0619314 0.0963154 10.0666  0.0619314 0.0963154 10.0666  - - -  - - -  75.1282 69.3715 69.4809 66.6414 - - - - - 68.6153 - 66.3218 - - - - 138 146 134 71 0 0 0 0
1701767821.003654000  1000.56 0 49.9928  -  nan  -0.214218 0.119214 0.00658307  -0.214218 0.119214 0.00658307  0.0190932 0.149691 9.71931  0.0190932 0.149691 9.71931  - - -  - - -  74.6447 69.0561 69.795 66.5146 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701767821.008666000  1000.55 0 49.995  -  nan  -0.228026 0.205384 0.00258825  -0.228026 0.205384 0.00258825  -0.0707376 0.108517 8.9239  -0.0707376 0.108517 8.9239  - - -  - - -  74.4919 68.9257 69.7485 66.7555 - - - - 73.7137 - 68.8137 - - - - - 138 146 134 71 0 0 0 0
1701767821.013660000  1000.54 0 49.995  -  nan  -0.199799 0.119148 0.00757267  -0.199799 0.119148 0.00757267  0.0598093 0.0453799 10.1853  0.0598093 0.0453799 10.1853  - - -  - - -  74.6123 68.9704 69.6076 66.9788 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
