# logged on Tue Nov 14 13:32:05 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699965126.040505000  1000.96 0 50.0015  -  nan  0.0188923 0.00303525 -0.00214551  0.0188923 0.00303525 -0.00214551  -0.0449412 0.0854203 11.3128  -0.0449412 0.0854203 11.3128  - - -  - - -  73.3761 72.243 67.0507 67.8571 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1699965126.045489000  1000.96 0 50.0038  -  nan  0.0467919 0.0456717 -0.00290356  0.0467919 0.0456717 -0.00290356  -0.0278526 0.0505244 8.67934  -0.0278526 0.0505244 8.67934  - - -  - - -  72.882 71.9334 66.9248 67.6159 - - - - - 71.7154 67.0691 69.0131 - - - - 139 146 0 70 0 0 0 0
1699965126.050514000  1000.95 0 50.0044  -  nan  -0.0525931 0.0028407 0.0106203  -0.0525931 0.0028407 0.0106203  0.00897069 -0.00195274 10.29  0.00897069 -0.00195274 10.29  - - -  - - -  73.1392 72.2109 67.259 67.9824 - - - - 73.2601 - - - - - - - 139 146 0 70 0 0 0 0
1699965126.055485000  1000.95 0 50.0044  -  nan  -0.0242232 -0.0385081 0.0121335  -0.0242232 -0.0385081 0.0121335  -0.0425564 0.0868461 10.9687  -0.0425564 0.0868461 10.9687  - - -  - - -  72.7933 72.6227 67.3204 67.4559 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1699965126.060480000  1000.94 0 50.0044  -  nan  -0.0103869 0.00306539 0.0112067  -0.0103869 0.00306539 0.0112067  -0.0761973 0.0509997 8.56426  -0.0761973 0.0509997 8.56426  - - -  - - -  72.2023 72.4932 67.286 67.2237 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1699965126.065466000  1000.94 0 50.0032  -  nan  -0.0664294 -0.0387328 0.0115471  -0.0664294 -0.0387328 0.0115471  0.0141328 0.0462469 9.71222  0.0141328 0.0462469 9.71222  - - -  - - -  72.2774 72.6625 67.4308 67.4535 - - - - - 71.9321 67.0691 67.2585 - - - - 139 146 0 70 0 0 0 0
1699965126.070642000  1000.93 0 50.0049  -  nan  -0.0804207 -0.0526406 0.0117257  -0.0804207 -0.0526406 0.0117257  -0.0413675 0.087557 10.7971  -0.0413675 0.087557 10.7971  - - -  - - -  71.9061 73.0506 67.6091 67.0063 - - - - 74.638 - - - - - - - 139 146 0 70 0 0 0 0
1699965126.075445000  1000.94 0 50.0049  -  nan  -0.0383101 -0.0111025 -0.00256728  -0.0383101 -0.0111025 -0.00256728  -0.0770005 0.0956326 8.8474  -0.0770005 0.0956326 8.8474  - - -  - - -  71.45 73.2493 67.6365 66.4257 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1699965126.080519000  1000.95 0 50.0049  -  nan  -0.0380777 -0.0526011 -0.00144501  -0.0380777 -0.0526011 -0.00144501  0.0620849 0.000423674 9.71674  0.0620849 0.000423674 9.71674  - - -  - - -  71.9157 73.0511 67.8875 66.9219 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1699965126.085572000  1000.95 0 50.0063  -  nan  -0.0802839 -0.0528258 -0.00203143  -0.0802839 -0.0528258 -0.00203143  -0.0385888 0.0892184 10.396  -0.0385888 0.0892184 10.396  - - -  - - -  71.9168 73.1389 68.215 66.9968 - - - - - 72.1501 67.2585 67.2585 - - - - 139 146 0 70 0 0 0 0
1699965126.090528000  1000.95 0 50.0066  -  nan  -0.00995837 -0.0249709 -0.0155594  -0.00995837 -0.0249709 -0.0155594  -0.0282535 0.0502847 8.7372  -0.0282535 0.0502847 8.7372  - - -  - - -  71.5434 73.256 68.0726 66.2752 - - - - 73.0353 - - - - - - - 139 146 0 70 0 0 0 0
1699965126.095521000  1000.96 0 50.0066  -  nan  -0.024009 -0.0525263 -0.00124954  -0.024009 -0.0525263 -0.00124954  0.0620849 0.000423674 9.71674  0.0620849 0.000423674 9.71674  - - -  - - -  71.8723 73.2111 68.3616 66.606 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1699965126.100586000  1000.97 0 50.0066  -  nan  -0.0665069 -0.0248999 0.011173  -0.0665069 -0.0248999 0.011173  -0.0885151 0.0436349 10.342  -0.0885151 0.0436349 10.342  - - -  - - -  71.9077 73.0203 68.6137 66.9453 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1699965126.105544000  1000.97 0 50.0048  -  nan  0.0189105 -0.0244452 0.0123598  0.0189105 -0.0244452 0.0123598  0.0196973 0.0495739 8.90914  0.0196973 0.0495739 8.90914  - - -  - - -  71.7002 73.2436 68.2773 66.6049 - - - - - 72.3694 67.2585 66.1376 - - - - 139 146 0 70 0 0 0 0
1699965126.110596000  1000.98 0 50.0064  -  nan  0.00391428 -0.0383583 0.0125244  0.00391428 -0.0383583 0.0125244  0.108823 -0.047065 9.89295  0.108823 -0.047065 9.89295  - - -  - - -  71.8673 72.9447 68.423 67.6265 - - - - 73.4862 - - - - - - - 139 146 0 70 0 0 0 0
1699965126.115553000  1001 0 50.0064  -  nan  -0.0386848 0.0315694 0.0100408  -0.0386848 0.0315694 0.0100408  -0.0869239 -0.000526891 9.94514  -0.0869239 -0.000526891 9.94514  - - -  - - -  71.8665 73.2119 68.174 67.4393 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1699965126.120530000  1001 0 50.0067  -  nan  0.0470298 0.00318504 -0.00175457  0.0470298 0.00318504 -0.00175457  -0.0817617 0.0476727 9.36734  -0.0817617 0.0476727 9.36734  - - -  - - -  72.168 73.3447 67.7096 67.2743 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1699965126.125533000  1001.01 0 50.0073  -  nan  0.0186725 0.0180415 0.0112108  0.0186725 0.0180415 0.0112108  0.107234 -0.0480156 10.1224  0.107234 -0.0480156 10.1224  - - -  - - -  72.2991 72.8005 68.1373 67.8264 - - - - - 72.59 68.2221 67.0691 - - - - 139 146 0 70 0 0 0 0
