# logged on Tue Jan  2 11:15:03 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704190503.406847000  1000.3 0 50.0054  -  nan  0.00421845 -0.0137209 -0.0563125  0.00421845 -0.0137209 -0.0563125  -0.16897 -0.0901406 9.11167  -0.16897 -0.0901406 9.11167  - - -  - - -  75.678 68.1773 70.7911 63.634 - - - - - - 71.5001 - - - - - 138 146 134 70 0 0 0 0
1704190503.411870000  1000.29 0 50.0081  -  nan  -0.126682 0.0462797 -0.0256348  -0.126682 0.0462797 -0.0256348  -0.0742257 0.332086 11.2416  -0.0742257 0.332086 11.2416  - - -  - - -  75.8887 66.7649 72.1619 63.8972 - - - - - 67.0691 - 64.5245 - - - - 138 146 134 70 0 0 0 0
1704190503.416861000  1000.28 0 50.0083  -  nan  -0.127174 0.0479067 0.0150662  -0.127174 0.0479067 0.0150662  0.108057 -0.0404252 9.10922  0.108057 -0.0404252 9.10922  - - -  - - -  75.8986 67.3279 71.4887 62.868 - - - - 75.5858 - - - - - - - 138 146 134 70 0 0 0 0
1704190503.421854000  1000.28 0 50.0083  -  nan  -0.0676969 0.0596137 -0.0366367  -0.0676969 0.0596137 -0.0366367  -0.209291 0.059406 8.87077  -0.209291 0.059406 8.87077  - - -  - - -  76.0251 67.9076 71.1596 63.5085 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1704190503.426864000  1000.27 0 50.0065  -  nan  -0.126846 0.046822 -0.0120678  -0.126846 0.046822 -0.0120678  -0.126824 0.17684 11.8255  -0.126824 0.17684 11.8255  - - -  - - -  76.481 67.4421 71.7777 63.7863 - - - - - - 71.286 - - - - - 138 146 134 70 0 0 0 0
1704190503.431861000  1000.28 0 50.0078  -  nan  -0.0969016 0.104498 0.0151362  -0.0969016 0.104498 0.0151362  0.247892 -0.080995 8.2589  0.247892 -0.080995 8.2589  - - -  - - -  76.0712 67.3906 71.3581 63.0199 - - - - - 67.4491 - - - - - - 138 146 134 70 0 0 0 0
1704190503.436860000  1000.28 0 50.0063  -  nan  -0.111284 0.13347 0.0267236  -0.111284 0.13347 0.0267236  -0.388849 0.208552 8.85603  -0.388849 0.208552 8.85603  - - -  - - -  76.8913 67.6772 70.9209 63.9687 - - - - 77.3036 - - 63.4921 - - - - 138 146 134 70 0 0 0 0
1704190503.441854000  1000.28 0 50.0063  -  nan  -0.0684469 0.00299664 -0.00651841  -0.0684469 0.00299664 -0.00651841  -0.133896 -0.0228323 12.0141  -0.133896 -0.0228323 12.0141  - - -  - - -  76.9434 68.2076 70.7491 64.5222 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1704190503.446860000  1000.28 0 50.0057  -  nan  -0.0242103 0.116726 -0.0211118  -0.0242103 0.116726 -0.0211118  0.435982 0.0210816 7.90888  0.435982 0.0210816 7.90888  - - -  - - -  76.1521 67.3216 71.213 64.1779 - - - - - - 71.286 - - - - - 138 146 134 70 0 0 0 0
1704190503.451860000  1000.29 0 50.0061  -  nan  -0.111668 0.150292 0.0668943  -0.111668 0.150292 0.0668943  -0.524071 0.305553 9.07344  -0.524071 0.305553 9.07344  - - -  - - -  77.3842 67.2677 70.9477 65.0165 - - - - - 64.8761 - - - - - - 138 146 134 70 0 0 0 0
