# logged on Tue Jan  2 11:52:21 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704192741.148713000  1001.37 0 50.0068  -  nan  0.166019 -0.073862 -0.0848697  0.166019 -0.073862 -0.0848697  0.109846 0.146646 10.0049  0.109846 0.146646 10.0049  - - -  - - -  80.5291 66.2644 72.0367 65.685 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1704192741.153608000  1001.38 0 50.0092  -  nan  0.00483791 0.145971 -0.0201579  0.00483791 0.145971 -0.0201579  0.206586 0.203067 9.37367  0.206586 0.203067 9.37367  - - -  - - -  81.19 65.0266 72.8801 65.2465 - - - - - 66.1376 - 66.507 - - - - 138 145 0 71 0 0 0 0
1704192741.158594000  1001.38 0 50.0092  -  nan  0.0475946 0.0481955 0.0542167  0.0475946 0.0481955 0.0542167  -0.30947 -0.0489661 9.9054  -0.30947 -0.0489661 9.9054  - - -  - - -  81.3228 67.1445 71.0375 64.9629 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1704192741.163612000  1001.37 0 50.0063  -  nan  0.15108 -0.0018695 -0.0884402  0.15108 -0.0018695 -0.0884402  -0.0238349 0.249122 9.71004  -0.0238349 0.249122 9.71004  - - -  - - -  80.8675 66.4231 71.8802 65.534 - - - - 81.8197 - 73.7137 - - - - - 138 145 0 71 0 0 0 0
1704192741.168618000  1001.37 0 50.0063  -  nan  -0.0974867 0.165531 0.095492  -0.0974867 0.165531 0.095492  0.0133119 -0.000880666 9.96096  0.0133119 -0.000880666 9.96096  - - -  - - -  81.7705 66.5542 71.4071 64.8581 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1704192741.173616000  1001.37 0 50.0071  -  nan  0.0193478 0.0608815 0.0110416  0.0193478 0.0608815 0.0110416  -0.213436 0.0502604 9.72656  -0.213436 0.0502604 9.72656  - - -  - - -  81.3867 68.0184 70.2344 64.9326 - - - - - 66.507 - 66.3218 - - - - 138 145 0 71 0 0 0 0
1704192741.178609000  1001.38 0 50.0071  -  nan  -0.00995453 0.117202 -0.00655521  -0.00995453 0.117202 -0.00655521  -0.117423 0.197582 9.8846  -0.117423 0.197582 9.8846  - - -  - - -  82.0138 66.4051 71.4088 65.2578 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1704192741.183613000  1001.38 0 50.0028  -  nan  -0.0683524 0.134358 0.0568264  -0.0683524 0.134358 0.0568264  0.0990252 -0.106607 10.6545  0.0990252 -0.106607 10.6545  - - -  - - -  82.3851 67.0488 70.6625 64.796 - - - - 79.3651 - 71.9321 - - - - - 138 145 0 71 0 0 0 0
1704192741.188713000  1001.38 0 50.0028  -  nan  0.00534149 0.144306 -0.061828  0.00534149 0.144306 -0.061828  -0.29173 0.358314 8.78572  -0.29173 0.358314 8.78572  - - -  - - -  82.3608 66.6337 70.8652 64.8317 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1704192741.193606000  1001.38 0 50.0043  -  nan  -0.0966368 0.118138 0.00107421  -0.0966368 0.118138 0.00107421  -0.256917 0.148471 9.83147  -0.256917 0.148471 9.83147  - - -  - - -  83.2593 66.7167 70.8391 64.7052 - - - - - 66.8807 - 64.6998 - - - - 138 145 0 71 0 0 0 0
