# logged on Tue Dec  5 12:55:27 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701777327.541227000  1000.51 0 49.9919  -  nan  0.0190638 -0.0263073 -0.0130872  0.0190638 -0.0263073 -0.0130872  0.012916 0.043555 10.3557  0.012916 0.043555 10.3557  - - -  - - -  76.7516 70.059 68.2406 68.6978 - - - - 76.558 - 67.4491 - - - - - 138 0 133 71 0 0 0 0
1701777327.546146000  1000.51 0 49.9917  -  nan  0.00375969 0.0178638 -0.00210076  0.00375969 0.0178638 -0.00210076  -0.0291576 0.00705546 9.21801  -0.0291576 0.00705546 9.21801  - - -  - - -  76.2184 69.194 68.9243 69.0553 - - - - - - - 69.0131 - - - - 138 0 133 71 0 0 0 0
1701777327.551145000  1000.51 0 49.9917  -  nan  -0.01066 0.0179294 -0.00309036  -0.01066 0.0179294 -0.00309036  -0.0327544 -0.000880666 9.96062  -0.0327544 -0.000880666 9.96062  - - -  - - -  76.3569 69.3903 69.0714 69.1429 - - - - - - - - - - - - 138 0 133 71 0 0 0 0
1701777327.556150000  1000.51 0 49.9915  -  nan  0.0921665 -0.0555844 -0.0216146  0.0921665 -0.0555844 -0.0216146  -0.0772835 0.0478201 9.95591  -0.0772835 0.0478201 9.95591  - - -  - - -  76.2471 69.2117 69.2335 69.1052 - - - - - 70.6514 - - - - - - 138 0 133 71 0 0 0 0
1701777327.561148000  1000.51 0 49.9914  -  nan  0.0191646 -0.0121254 -0.0135822  0.0191646 -0.0121254 -0.0135822  -0.0315266 -0.0434808 9.39414  -0.0315266 -0.0434808 9.39414  - - -  - - -  75.7875 68.4842 69.816 69.5877 - - - - 76.8049 - - 69.2137 - - - - 138 0 133 71 0 0 0 0
1701777327.566147000  1000.51 0 49.9902  -  nan  0.0767427 -0.0265694 -0.0091288  0.0767427 -0.0265694 -0.0091288  -0.0317702 0.0466 10.0704  -0.0317702 0.0466 10.0704  - - -  - - -  75.7763 68.6723 69.928 69.5895 - - - - - - 69.0131 - - - - - 138 0 133 71 0 0 0 0
1701777327.571146000  1000.51 0 49.9902  -  nan  0.0919276 -0.0402792 0.00599345  0.0919276 -0.0402792 0.00599345  -0.0789729 -0.0465258 9.67873  -0.0789729 -0.0465258 9.67873  - - -  - - -  75.4435 67.8368 70.1626 70.0977 - - - - - - - - - - - - 138 0 133 71 0 0 0 0
1701777327.576144000  1000.51 0 49.9912  -  nan  0.0474745 -0.0395356 0.016521  0.0474745 -0.0395356 0.016521  0.00965275 -0.100517 10.084  0.00965275 -0.100517 10.084  - - -  - - -  75.1094 67.5474 70.3131 70.5634 - - - - - 68.0272 - - - - - - 138 0 133 71 0 0 0 0
1701777327.581140000  1000.51 0 49.989  -  nan  0.135086 -0.0546577 0.00945722  0.135086 -0.0546577 0.00945722  -0.0758987 0.0508758 9.66998  -0.0758987 0.0508758 9.66998  - - -  - - -  74.6589 67.6278 70.2252 70.7886 - - - - 75.5858 - 70.8617 - - - - - 138 0 133 71 0 0 0 0
1701777327.586142000  1000.51 0 49.9891  -  nan  0.0478849 0.0182049 0.0145057  0.0478849 0.0182049 0.0145057  -0.0342016 -0.0956365 9.62695  -0.0342016 -0.0956365 9.62695  - - -  - - -  74.5096 66.9481 70.2798 71.3649 - - - - - - - 70.4424 - - - - 138 0 133 71 0 0 0 0
1701777327.591143000  1000.51 0 49.9891  -  nan  0.0767427 -0.0265694 -0.0091288  0.0767427 -0.0265694 -0.0091288  0.013743 0.0453799 10.1849  0.013743 0.0453799 10.1849  - - -  - - -  74.6765 67.1154 70.0788 71.2623 - - - - - - - - - - - - 138 0 133 71 0 0 0 0
1701777327.596144000  1000.51 0 49.9912  -  nan  0.0628341 0.0454184 -0.0126286  0.0628341 0.0454184 -0.0126286  0.0144179 0.00155959 9.73261  0.0144179 0.00155959 9.73261  - - -  - - -  74.4114 66.611 70.3971 71.2346 - - - - - 67.2585 - - - - - - 138 0 133 71 0 0 0 0
1701777327.601140000  1000.51 0 49.9908  -  nan  -0.0101937 0.0599326 -0.0181423  -0.0101937 0.0599326 -0.0181423  0.0604841 0.00155959 9.73295  0.0604841 0.00155959 9.73295  - - -  - - -  74.6836 66.4382 70.2046 71.2157 - - - - - - 69.4155 71.0732 - - - - 138 0 133 71 0 0 0 0
1701777327.606226000  1000.51 0 49.9878  -  nan  0.0197506 0.0450339 -0.0301335  0.0197506 0.0450339 -0.0301335  0.0169711 0.0987557 9.83795  0.0169711 0.0987557 9.83795  - - -  - - -  74.9164 66.5133 70.1135 70.7008 - - - - 74.8727 - - - - - - - 138 0 133 71 0 0 0 0
1701777327.611135000  1000.51 0 49.9878  -  nan  -0.0533145 0.103217 -0.00902901  -0.0533145 0.103217 -0.00902901  0.0633162 0.099371 9.7807  0.0633162 0.099371 9.7807  - - -  - - -  74.9314 66.0966 70.2312 70.5682 - - - - - - - - - - - - 138 0 133 71 0 0 0 0
1701777327.616143000  1000.51 0 49.989  -  nan  -0.0968384 0.0897742 0.00206417  -0.0968384 0.0897742 0.00206417  0.150253 -0.0489661 9.90876  0.150253 -0.0489661 9.90876  - - -  - - -  75.1452 66.768 69.7397 69.9953 - - - - - 68.4182 - - - - - - 138 0 133 71 0 0 0 0
