# logged on Fri Dec  1 17:55:47 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701449747.460739000  1000.19 0 49.9978  -  nan  -0.169828 0.251387 0.072932  -0.169828 0.251387 0.072932  0.201879 0.0539208 9.38707  0.201879 0.0539208 9.38707  - - -  - - -  65.1155 71.4143 65.3838 76.6598 - - - - - - - 78.064 - - - - 139 146 134 71 0 0 0 0
1701449747.465746000  1000.19 0 49.9983  -  nan  -0.242419 0.352586 0.0789492  -0.242419 0.352586 0.0789492  0.249406 0.105472 9.21118  0.249406 0.105472 9.21118  - - -  - - -  65.15 71.0018 65.3157 76.9733 - - - - 65.591 - 66.507 - - - - - 139 146 134 71 0 0 0 0
1701449747.470745000  1000.2 0 49.9983  -  nan  -0.243057 0.237537 0.0684083  -0.243057 0.237537 0.0684083  0.329499 -0.148397 9.91903  0.329499 -0.148397 9.91903  - - -  - - -  65.6275 71.4834 64.5623 76.51 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701449747.475735000  1000.21 0 49.9965  -  nan  -0.213643 0.294604 0.0548052  -0.213643 0.294604 0.0548052  0.202001 0.00888035 9.04893  0.202001 0.00888035 9.04893  - - -  - - -  64.8307 71.1049 65.1504 76.4359 - - - - - 72.1501 - - - - - - 139 146 134 71 0 0 0 0
1701449747.480739000  1000.23 0 49.9968  -  nan  -0.256764 0.337889 0.0639185  -0.256764 0.337889 0.0639185  0.290383 0.0963154 10.0683  0.290383 0.0963154 10.0683  - - -  - - -  65.0204 70.8105 65.0345 76.7559 - - - - - - - 75.8265 - - - - 139 146 134 71 0 0 0 0
1701449747.485736000  1000.24 0 49.9971  -  nan  -0.315984 0.266234 0.0623997  -0.315984 0.266234 0.0623997  0.282138 -0.197508 9.86656  0.282138 -0.197508 9.86656  - - -  - - -  64.876 70.9085 64.6682 76.5892 - - - - - - 64.8761 - - - - - 139 146 134 71 0 0 0 0
1701449747.490745000  1000.26 0 49.9974  -  nan  -0.27205 0.337417 0.0492912  -0.27205 0.337417 0.0492912  0.158578 0.0600214 8.81588  0.158578 0.0600214 8.81588  - - -  - - -  64.1024 71.0909 65.0508 76.2885 - - - - 66.1376 - - - - - - - 139 146 134 71 0 0 0 0
1701449747.495746000  1000.26 0 49.9967  -  nan  -0.301053 0.33809 0.060879  -0.301053 0.33809 0.060879  0.244703 0.0950953 10.1821  0.244703 0.0950953 10.1821  - - -  - - -  64.4798 70.7514 65.0163 76.6552 - - - - - 71.7154 - - - - - - 139 146 134 71 0 0 0 0
1701449747.500743000  1000.27 0 49.998  -  nan  -0.418747 0.325023 0.0678519  -0.418747 0.325023 0.0678519  0.285645 -0.143516 9.462  0.285645 -0.143516 9.462  - - -  - - -  63.901 70.722 65.0533 76.5018 - - - - - - - 77.5555 - - - - 139 146 134 71 0 0 0 0
1701449747.505759000  1000.27 0 49.9985  -  nan  -0.300889 0.337548 0.047312  -0.300889 0.337548 0.047312  0.158578 0.0600214 8.81588  0.158578 0.0600214 8.81588  - - -  - - -  63.2809 71.403 65.159 76.0271 - - - - 64.3501 - 65.7722 - - - - - 139 146 134 71 0 0 0 0
