# logged on Tue Nov 14 13:51:32 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699966292.937072000  1000.85 0 49.9957  -  nan  0.0612535 -0.0244058 -0.000810914  0.0612535 -0.0244058 -0.000810914  0.00937161 -0.00171303 10.2322  0.00937161 -0.00171303 10.2322  - - -  - - -  74.2702 71.8821 67.8412 66.9501 - - - - - 72.3694 - - - - - - 138 146 134 70 0 0 0 0
1699966292.942075000  1000.86 0 49.9957  -  nan  -0.0386848 0.0315694 0.0100408  -0.0386848 0.0315694 0.0100408  -0.0369893 -5.16086e-05 9.83077  -0.0369893 -5.16086e-05 9.83077  - - -  - - -  73.7339 71.876 68.0515 66.9364 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1699966292.947075000  1000.86 0 50.0005  -  nan  0.032961 0.00311015 -0.00195004  0.032961 0.00311015 -0.00195004  -0.0342119 0.0467222 9.59714  -0.0342119 0.0467222 9.59714  - - -  - - -  73.7043 72.644 67.567 66.3962 - - - - 74.173 - 68.2221 66.6933 - - - - 138 146 134 70 0 0 0 0
1699966292.952090000  1000.86 0 50.0005  -  nan  0.0332709 -0.0522213 -0.000453681  0.0332709 -0.0522213 -0.000453681  0.060896 -0.000287183 9.88833  0.060896 -0.000287183 9.88833  - - -  - - -  73.5789 72.3514 67.8704 66.9152 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1699966292.957069000  1000.86 0 49.9995  -  nan  -0.0526761 0.0176616 0.0102195  -0.0526761 0.0176616 0.0102195  -0.0385805 0.0441102 10.2276  -0.0385805 0.0441102 10.2276  - - -  - - -  73.1329 72.4869 68.4013 66.6991 - - - - - 71.7154 - - - - - - 138 146 134 70 0 0 0 0
1699966292.962087000  1000.86 0 49.9995  -  nan  0.0190472 -0.0246305 -0.00139733  0.0190472 -0.0246305 -0.00139733  -0.0805659 0.0483877 9.19475  -0.0805659 0.0483877 9.19475  - - -  - - -  73.2529 72.9635 67.9514 65.93 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1699966292.967067000  1000.85 0 50.0007  -  nan  0.0042653 -0.0525617 -0.0146157  0.0042653 -0.0525617 -0.0146157  0.06129 -5.16086e-05 9.83147  0.06129 -5.16086e-05 9.83147  - - -  - - -  73.1934 72.8377 68.3921 66.2408 - - - - - - 67.6407 66.507 - - - - 138 146 134 70 0 0 0 0
1699966292.972064000  1000.85 0 50.0006  -  nan  -0.0525156 -0.0109922 0.0109944  -0.0525156 -0.0109922 0.0109944  -0.0405643 0.042924 10.5139  -0.0405643 0.042924 10.5139  - - -  - - -  73.026 72.9346 68.6961 66.085 - - - - 75.3466 - - - - - - - 138 146 134 70 0 0 0 0
1699966292.977078000  1000.86 0 50.0006  -  nan  0.0332528 -0.0247409 -0.014959  0.0332528 -0.0247409 -0.014959  -0.0785834 0.0946862 9.07585  -0.0785834 0.0946862 9.07585  - - -  - - -  72.9166 73.3819 68.2268 65.4366 - - - - - 71.9321 - - - - - - 138 146 134 70 0 0 0 0
1699966292.982070000  1000.86 0 50.0006  -  nan  0.0334768 -0.0387722 -0.0293247  0.0334768 -0.0387722 -0.0293247  0.0608562 -0.092417 9.55268  0.0608562 -0.092417 9.55268  - - -  - - -  73.1251 73.0131 68.6393 65.7615 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
