# logged on Fri Jan  5 16:14:48 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704467688.798492000  1000.65 0 50.0032  -  nan  0.0170954 -0.137992 0.0859123  0.0170954 -0.137992 0.0859123  -0.450214 0.0822893 11.3754  -0.450214 0.0822893 11.3754  - - -  - - -  76.7968 69.6662 69.0561 64.2023 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704467688.803535000  1000.65 0 50.001  -  nan  0.0937215 -0.07628 -0.158692  0.0937215 -0.07628 -0.158692  0.24148 0.0417301 10.5281  0.24148 0.0417301 10.5281  - - -  - - -  75.8899 68.0763 70.4516 64.0708 - - - - - - - 64.3501 - - - - 139 0 134 70 0 0 0 0
1704467688.808491000  1000.65 0 50.0049  -  nan  -0.142716 0.0807133 0.122592  -0.142716 0.0807133 0.122592  -0.115864 0.108517 8.92357  -0.115864 0.108517 8.92357  - - -  - - -  78.3803 66.5892 70.7373 63.1195 - - - - 77.5555 68.2221 - - - - - - 139 0 134 70 0 0 0 0
1704467688.813494000  1000.65 0 50.0064  -  nan  -0.0117078 -0.082285 0.0275792  -0.0117078 -0.082285 0.0275792  -0.306386 0.187216 10.8532  -0.306386 0.187216 10.8532  - - -  - - -  77.385 69.2561 69.094 63.7217 - - - - - - 71.7154 - - - - - 139 0 134 70 0 0 0 0
1704467688.818493000  1000.66 0 50.0064  -  nan  0.00488598 -0.015929 -0.11155  0.00488598 -0.015929 -0.11155  0.053786 -0.104782 10.4834  0.053786 -0.104782 10.4834  - - -  - - -  76.8415 67.9547 70.1593 63.1841 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704467688.823537000  1000.66 0 50.0035  -  nan  -0.0975694 0.0341314 0.0311781  -0.0975694 0.0341314 0.0311781  0.159958 0.0630664 8.53094  0.159958 0.0630664 8.53094  - - -  - - -  77.654 66.6891 70.685 62.3877 - - - - - - - 64.1766 - - - - 139 0 134 70 0 0 0 0
1704467688.828559000  1000.66 0 50.0061  -  nan  -0.0692667 0.00570827 0.0613166  -0.0692667 0.00570827 0.0613166  -0.353195 0.139325 10.6866  -0.353195 0.139325 10.6866  - - -  - - -  77.2747 69.6135 69.1531 63.3912 - - - - 75.5858 69.2137 - - - - - - 139 0 134 70 0 0 0 0
1704467688.833411000  1000.66 0 50.0065  -  nan  0.00391609 -0.0562665 -0.0548276  0.00391609 -0.0562665 -0.0548276  -0.177075 -0.0617721 11.1047  -0.177075 -0.0617721 11.1047  - - -  - - -  76.7936 69.2944 69.1953 63.0698 - - - - - - 70.028 - - - - - 139 0 134 70 0 0 0 0
1704467688.838489000  1000.67 0 50.0065  -  nan  -0.0538184 0.0323078 -0.00655412  -0.0538184 0.0323078 -0.00655412  0.256226 0.166773 8.12258  0.256226 0.166773 8.12258  - - -  - - -  76.9173 67.9107 69.829 62.9133 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704467688.843506000  1000.67 0 50.0055  -  nan  -0.0979229 0.0788463 0.0839611  -0.0979229 0.0788463 0.0839611  -0.302242 0.196362 9.99742  -0.302242 0.196362 9.99742  - - -  - - -  78.0444 68.4418 69.721 63.1247 - - - - - - - 62.9882 - - - - 139 0 134 70 0 0 0 0
1704467688.848435000  1000.67 0 50.0089  -  nan  0.0338039 -0.101045 -0.0783914  0.0338039 -0.101045 -0.0783914  -0.0845026 -0.0587271 10.8205  -0.0845026 -0.0587271 10.8205  - - -  - - -  76.9812 68.2542 69.5557 63.4875 - - - - 75.1089 70.028 - - - - - - 139 0 134 70 0 0 0 0
1704467688.853559000  1000.67 0 50.008  -  nan  -0.0240467 0.0436082 -0.073874  -0.0240467 0.0436082 -0.073874  0.298398 0.114002 8.4133  0.298398 0.114002 8.4133  - - -  - - -  77.3451 66.2556 71.0033 63.33 - - - - - - 68.6153 - - - - - 139 0 134 70 0 0 0 0
1704467688.858448000  1000.68 0 50.008  -  nan  -0.0840444 0.0515404 0.114044  -0.0840444 0.0515404 0.114044  -0.444321 0.0490403 9.83905  -0.444321 0.0490403 9.83905  - - -  - - -  78.2262 66.558 70.623 63.3646 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704467688.863543000  1000.68 0 50.0048  -  nan  0.0618867 -0.113189 -0.0216492  0.0618867 -0.113189 -0.0216492  -0.272436 -0.115148 11.451  -0.272436 -0.115148 11.451  - - -  - - -  77.0315 68.0225 69.287 64.1505 - - - - - - - 62.4922 - - - - 139 0 134 70 0 0 0 0
1704467688.868454000  1000.68 0 50.0073  -  nan  -0.0101188 0.0451697 -0.0321834  -0.0101188 0.0451697 -0.0321834  0.20575 0.0624617 8.58787  0.20575 0.0624617 8.58787  - - -  - - -  77.3606 65.8187 70.6528 64.1751 - - - - 78.8395 67.4491 - - - - - - 139 0 134 70 0 0 0 0
1704467688.873500000  1000.67 0 50.0056  -  nan  -0.0557792 -0.00578877 0.131605  -0.0557792 -0.00578877 0.131605  -0.166628 0.0981509 9.89319  -0.166628 0.0981509 9.89319  - - -  - - -  78.034 67.1864 69.5839 64.2845 - - - - - - 71.7154 - - - - - 139 0 134 70 0 0 0 0
1704467688.878426000  1000.68 0 50.0056  -  nan  0.0332188 -0.0400124 0.00196438  0.0332188 -0.0400124 0.00196438  -0.174985 -0.0118512 10.9862  -0.174985 -0.0118512 10.9862  - - -  - - -  77.062 67.9658 68.9577 64.9884 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704467688.883628000  1000.67 0 50.0029  -  nan  -0.0401369 -0.0244135 0.0235847  -0.0401369 -0.0244135 0.0235847  0.021669 0.109121 8.86798  0.021669 0.109121 8.86798  - - -  - - -  76.704 66.2383 69.8984 64.5201 - - - - - - - 65.4108 - - - - 139 0 134 70 0 0 0 0
1704467688.888483000  1000.68 0 50.0066  -  nan  -0.0696698 -0.0510192 0.0632965  -0.0696698 -0.0510192 0.0632965  0.113438 0.154572 9.26329  0.113438 0.154572 9.26329  - - -  - - -  76.7918 67.0994 69.7901 64.5746 - - - - 77.0535 65.7722 - - - - - - 139 0 134 70 0 0 0 0
1704467688.893545000  1000.68 0 50.006  -  nan  -0.0540272 0.00293111 -0.00552881  -0.0540272 0.00293111 -0.00552881  -0.401383 0.0883899 10.8049  -0.401383 0.0883899 10.8049  - - -  - - -  76.5122 67.6154 69.5325 64.446 - - - - - - 70.028 - - - - - 139 0 134 70 0 0 0 0
1704467688.898442000  1000.68 0 50.006  -  nan  -0.0547775 -0.126261 -0.0146056  -0.0547775 -0.126261 -0.0146056  -0.124099 -0.0465258 9.6784  -0.124099 -0.0465258 9.6784  - - -  - - -  76.4103 67.0666 69.6106 63.8635 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704467688.903546000  1000.69 0 50.0031  -  nan  -0.0395702 -0.0408034 -0.0311573  -0.0395702 -0.0408034 -0.0311573  0.397086 0.313479 8.33853  0.397086 0.313479 8.33853  - - -  - - -  76.0092 66.704 70.7513 63.722 - - - - - - - 65.2316 - - - - 139 0 134 70 0 0 0 0
1704467688.908483000  1000.69 0 50.0058  -  nan  -0.171127 0.0213665 0.0537884  -0.171127 0.0213665 0.0537884  -0.678221 0.0853449 11.0878  -0.678221 0.0853449 11.0878  - - -  - - -  76.8502 68.0186 70.0038 63.1372 - - - - 76.8049 65.2316 - - - - - - 139 0 134 70 0 0 0 0
1704467688.913570000  1000.69 0 50.0042  -  nan  -0.0689848 -0.216063 -0.0813587  -0.0689848 -0.216063 -0.0813587  -0.0375195 -0.102957 10.312  -0.0375195 -0.102957 10.312  - - -  - - -  75.4198 68.2221 69.9426 62.6789 - - - - - - 68.6153 - - - - - 139 0 134 70 0 0 0 0
1704467688.918433000  1000.69 0 50.0042  -  nan  -0.0963469 0.0155722 -0.077832  -0.0963469 0.0155722 -0.077832  0.353969 0.366239 8.04879  0.353969 0.366239 8.04879  - - -  - - -  76.001 66.4574 71.7524 62.246 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704467688.923525000  1000.69 0 50.0036  -  nan  -0.275258 0.0546144 0.156204  -0.275258 0.0546144 0.156204  -0.630221 0.08961 10.689  -0.630221 0.08961 10.689  - - -  - - -  76.9005 67.7154 70.6733 61.8331 - - - - - - - 63.6618 - - - - 139 0 134 70 0 0 0 0
1704467688.928445000  1000.69 0 50.0073  -  nan  -0.0108584 -0.202254 -0.106034  -0.0108584 -0.202254 -0.106034  0.0597789 -0.0453057 9.56557  0.0597789 -0.0453057 9.56557  - - -  - - -  74.5234 68.926 69.7562 62.2112 - - - - 75.3466 68.0272 - - - - - - 139 0 134 70 0 0 0 0
1704467688.933587000  1000.69 0 50.0065  -  nan  -0.12604 0.0877019 -0.0552228  -0.12604 0.0877019 -0.0552228  0.303848 0.311039 8.5662  0.303848 0.311039 8.5662  - - -  - - -  74.9267 66.6245 71.7372 62.051 - - - - - - 72.3694 - - - - - 139 0 134 70 0 0 0 0
1704467688.938442000  1000.7 0 50.0065  -  nan  -0.231335 0.0265918 0.1738  -0.231335 0.0265918 0.1738  -0.589262 -0.104782 10.4787  -0.589262 -0.104782 10.4787  - - -  - - -  76.7234 68.5211 69.7323 61.3269 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704467688.943522000  1000.71 0 50.0054  -  nan  0.00362489 -0.144468 -0.078921  0.00362489 -0.144468 -0.078921  -0.0811848 -0.0514064 10.1354  -0.0811848 -0.0514064 10.1354  - - -  - - -  75.1352 69.0823 69.1802 62.2497 - - - - - - - 62.3286 - - - - 139 0 134 70 0 0 0 0
1704467688.948572000  1000.71 0 50.0079  -  nan  -0.110628 0.131301 -0.0275443  -0.110628 0.131301 -0.0275443  0.253461 0.160672 8.69344  0.253461 0.160672 8.69344  - - -  - - -  76.7192 65.8307 71.2226 61.8338 - - - - 76.558 68.8137 - - - - - - 139 0 134 70 0 0 0 0
1704467688.953560000  1000.71 0 50.0081  -  nan  -0.113149 0.0380319 0.126127  -0.113149 0.0380319 0.126127  -0.266358 -0.101737 10.1961  -0.266358 -0.101737 10.1961  - - -  - - -  76.3934 68.8399 68.2909 62.5252 - - - - - - 72.812 - - - - - 139 0 134 70 0 0 0 0
1704467688.958517000  1000.71 0 50.0081  -  nan  0.0351281 0.0127697 -0.124092  0.0351281 0.0127697 -0.124092  -0.0279892 0.101196 9.60927  -0.0279892 0.101196 9.60927  - - -  - - -  75.913 68.0316 68.7343 62.9646 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704467688.963521000  1000.71 0 50.0073  -  nan  -0.0822547 0.0891663 -0.0105132  -0.0822547 0.0891663 -0.0105132  0.199236 0.00277971 9.61979  0.199236 0.00277971 9.61979  - - -  - - -  77.203 65.992 69.848 62.5315 - - - - - - - 62.4922 - - - - 139 0 134 70 0 0 0 0
1704467688.968412000  1000.71 0 50.0079  -  nan  -0.0839691 0.109352 0.139198  -0.0839691 0.109352 0.139198  -0.0297106 0.00583534 9.33218  -0.0297106 0.00583534 9.33218  - - -  - - -  77.1634 67.3841 68.0724 63.1318 - - - - 75.3466 68.4182 - - - - - - 139 0 134 70 0 0 0 0
1704467688.973417000  1000.71 0 50.0091  -  nan  0.00456562 0.0587437 -0.0452557  0.00456562 0.0587437 -0.0452557  -0.304553 0.0987557 9.83559  -0.304553 0.0987557 9.83559  - - -  - - -  76.8713 68.0031 67.4602 63.586 - - - - - - 70.4424 - - - - - 139 0 134 70 0 0 0 0
1704467688.978518000  1000.72 0 50.0091  -  nan  -0.0536545 0.0317655 -0.0201211  -0.0536545 0.0317655 -0.0201211  0.146193 -0.104177 10.4275  0.146193 -0.104177 10.4275  - - -  - - -  77.2714 65.9199 69.1515 62.8863 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704467688.983516000  1000.72 0 50.0075  -  nan  -0.0399161 0.0774995 0.0607855  -0.0399161 0.0774995 0.0607855  0.294896 0.0600214 8.81687  0.294896 0.0600214 8.81687  - - -  - - -  77.1429 66.0608 68.8859 62.7523 - - - - - - - 64.0041 - - - - 139 0 134 70 0 0 0 0
1704467688.988477000  1000.72 0 50.0097  -  nan  -0.0540079 0.0764804 0.0326619  -0.0540079 0.0764804 0.0326619  -0.537446 0.0447751 10.2375  -0.537446 0.0447751 10.2375  - - -  - - -  77.2956 67.1634 68.1074 63.1628 - - - - 77.0535 66.6933 - - - - - - 139 0 134 70 0 0 0 0
1704467688.993531000  1000.71 0 50.0118  -  nan  -0.0249233 -0.0561354 -0.0568068  -0.0249233 -0.0561354 -0.0568068  0.150527 -0.0483613 9.85217  0.150527 -0.0483613 9.85217  - - -  - - -  76.4326 66.9495 68.6689 62.8997 - - - - - - 69.4155 - - - - - 139 0 134 70 0 0 0 0
1704467688.998556000  1000.72 0 50.0118  -  nan  -0.0825826 0.090251 0.0166208  -0.0825826 0.090251 0.0166208  0.116477 0.161277 8.63585  0.116477 0.161277 8.63585  - - -  - - -  76.5275 65.8119 69.5858 62.6099 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704467689.003622000  1000.72 0 50.0097  -  nan  -0.0841527 -0.0362295 0.0753789  -0.0841527 -0.0362295 0.0753789  -0.49347 -0.00514581 10.3564  -0.49347 -0.00514581 10.3564  - - -  - - -  76.426 68.2923 68.2276 62.63 - - - - - - - 63.1552 - - - - 139 0 134 70 0 0 0 0
1704467689.008504000  1000.72 0 50.0107  -  nan  0.0194849 -0.0867981 -0.079876  0.0194849 -0.0867981 -0.079876  0.0593782 -0.000880666 9.96129  0.0593782 -0.000880666 9.96129  - - -  - - -  75.1288 67.8926 69.2272 62.6742 - - - - 76.558 67.6407 - - - - - - 139 0 134 70 0 0 0 0
1704467689.013490000  1000.73 0 50.0117  -  nan  -0.0973047 0.0477709 0.0171161  -0.0973047 0.0477709 0.0171161  0.0677353 0.109121 8.86832  0.0677353 0.109121 8.86832  - - -  - - -  75.8389 66.6073 70.0417 62.2693 - - - - - - 68.6153 - - - - - 139 0 134 70 0 0 0 0
1704467689.018492000  1000.73 0 50.0117  -  nan  -0.0988113 -0.0208587 0.101997  -0.0988113 -0.0208587 0.101997  -0.351356 0.0508758 9.66797  -0.351356 0.0508758 9.66797  - - -  - - -  76.2215 67.4939 69.6399 61.9564 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704467689.023514000  1000.73 0 50.0095  -  nan  -0.0391791 -0.0566122 -0.0713633  -0.0391791 -0.0566122 -0.0713633  -0.0775576 0.0472154 10.0125  -0.0775576 0.0472154 10.0125  - - -  - - -  75.2744 68.2771 69.5421 62.5918 - - - - - - - 62.822 - - - - 139 0 134 70 0 0 0 0
