# logged on Fri Jan  5 15:41:41 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704465701.335534000  1000.11 0 49.9894  -  nan  -0.0546378 0.107594 0.100476  -0.0546378 0.107594 0.100476  -0.545771 -0.0642124 11.3304  -0.545771 -0.0642124 11.3304  - - -  - - -  77.9948 68.882 69.0422 64.9783 - - - - 77.8089 - 70.028 - - - - - 138 146 133 70 0 0 0 0
1704465701.340535000  1000.11 0 49.9894  -  nan  0.108357 0.0266192 -0.119568  0.108357 0.0266192 -0.119568  0.287124 -0.047746 9.79559  0.287124 -0.047746 9.79559  - - -  - - -  76.2958 68.1772 69.7346 65.6995 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1704465701.345534000  1000.11 0 49.9905  -  nan  -0.0239263 0.203914 0.00301697  -0.0239263 0.203914 0.00301697  0.113991 0.155792 9.14912  0.113991 0.155792 9.14912  - - -  - - -  78.3233 65.6004 71.2855 65.1863 - - - - - 68.6153 - - - - - - 138 146 134 70 0 0 0 0
1704465701.350535000  1000.12 0 49.9924  -  nan  -0.069587 0.0803809 0.12761  -0.069587 0.0803809 0.12761  -0.403779 0.0368496 10.9801  -0.403779 0.0368496 10.9801  - - -  - - -  78.2354 67.5408 69.7938 65.4641 - - - - - - - 65.591 - - - - 138 146 134 70 0 0 0 0
1704465701.355534000  1000.12 0 49.9911  -  nan  0.0349269 0.056981 -0.0839069  0.0349269 0.056981 -0.0839069  -0.0356715 -0.0526265 10.2499  -0.0356715 -0.0526265 10.2499  - - -  - - -  76.5063 68.2598 69.5084 65.8974 - - - - 77.3036 - 70.028 - - - - - 138 146 134 70 0 0 0 0
1704465701.360535000  1000.12 0 49.9911  -  nan  -0.0675326 0.131646 -0.0110086  -0.0675326 0.131646 -0.0110086  0.249127 0.104856 9.26876  0.249127 0.104856 9.26876  - - -  - - -  77.8498 66.1802 71.0353 65.1792 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1704465701.365534000  1000.12 0 49.993  -  nan  -0.156568 0.136964 0.106055  -0.156568 0.136964 0.106055  -0.304264 0.238151 10.7346  -0.304264 0.238151 10.7346  - - -  - - -  77.6065 68.2674 69.8457 65.3182 - - - - - 67.4491 - - - - - - 138 146 134 70 0 0 0 0
1704465701.370542000  1000.12 0 49.9957  -  nan  -0.0532517 0.0159179 -0.0612962  -0.0532517 0.0159179 -0.0612962  -0.223052 -0.107827 10.7663  -0.223052 -0.107827 10.7663  - - -  - - -  76.7131 69.1438 69.3799 65.1307 - - - - - - - 65.4108 - - - - 138 146 134 70 0 0 0 0
1704465701.375534000  1000.12 0 49.9936  -  nan  -0.0814864 0.10114 -0.0662453  -0.0814864 0.10114 -0.0662453  0.389425 0.111562 8.64232  0.389425 0.111562 8.64232  - - -  - - -  76.9458 67.4521 71.2171 64.3781 - - - - 77.0535 - 69.8227 - - - - - 138 146 134 70 0 0 0 0
1704465701.380542000  1000.13 0 49.9936  -  nan  -0.244072 0.167281 0.112589  -0.244072 0.167281 0.112589  -0.485935 0.241801 10.3917  -0.485935 0.241801 10.3917  - - -  - - -  78.183 68.3044 70.7535 64.1195 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
