# logged on Wed Nov  8 13:33:03 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699446783.370549000  1000.57 0 50.0105  -  nan  0.0604321 0.0737829 0.024058  0.0604321 0.0737829 0.024058  0.160702 -0.137533 9.15661  0.160702 -0.137533 9.15661  - - -  - - -  71.2341 68.6454 68.4499 68.0285 - - - - - - - 66.8807 - - - - 138 146 134 71 0 0 0 0
1699446783.375550000  1000.56 0 50.0105  -  nan  0.0183034 0.0597253 0.0238456  0.0183034 0.0597253 0.0238456  -0.0397914 -0.04778 10.0645  -0.0397914 -0.04778 10.0645  - - -  - - -  71.5558 70.139 67.8131 67.3101 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1699446783.380551000  1000.57 0 50.0104  -  nan  0.176019 -0.0103469 -0.0280902  0.176019 -0.0103469 -0.0280902  0.110027 0.044821 10.0571  0.110027 0.044821 10.0571  - - -  - - -  71.0795 69.7161 67.9439 67.4794 - - - - - - 69.4155 - - - - - 138 146 134 71 0 0 0 0
1699446783.385549000  1000.57 0 50.0084  -  nan  0.0745602 0.0875054 0.0101222  0.0745602 0.0875054 0.0101222  0.0660197 -0.0893298 8.80747  0.0660197 -0.0893298 8.80747  - - -  - - -  71.1285 68.8086 68.4773 67.8775 - - - - 71.286 69.8227 - - - - - - 138 146 134 71 0 0 0 0
1699446783.390551000  1000.57 0 50.0086  -  nan  0.00381866 0.00295501 -0.00235495  0.00381866 0.00295501 -0.00235495  0.00338981 -0.0513426 10.9248  0.00338981 -0.0513426 10.9248  - - -  - - -  71.566 70.219 68.156 67.0029 - - - - - - - 68.2221 - - - - 138 146 134 71 0 0 0 0
1699446783.395547000  1000.56 0 50.0086  -  nan  0.118876 -0.0108371 -0.0426431  0.118876 -0.0108371 -0.0426431  -0.031812 0.139323 9.5887  -0.031812 0.139323 9.5887  - - -  - - -  70.825 69.4273 68.4475 66.6509 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1699446783.400547000  1000.55 0 50.0097  -  nan  -0.0530041 0.100474 -0.00578219  -0.0530041 0.100474 -0.00578219  0.0644065 -0.136347 8.86959  0.0644065 -0.136347 8.86959  - - -  - - -  71.3635 69.153 68.5724 66.9147 - - - - - - 68.6153 - - - - - 138 146 134 70 0 0 0 0
1699446783.405554000  1000.55 0 50.0098  -  nan  -0.00977975 -0.0811052 -0.000279164  -0.00977975 -0.0811052 -0.000279164  0.054133 0.0858955 11.1988  0.054133 0.0858955 11.1988  - - -  - - -  71.7352 70.5339 68.363 66.0133 - - - - 71.0732 69.6185 - - - - - - 138 146 134 70 0 0 0 0
1699446783.410551000  1000.55 0 50.0088  -  nan  0.0471666 0.00299977 -0.0155117  0.0471666 0.00299977 -0.0155117  -0.0377938 0.0896937 10.2813  -0.0377938 0.0896937 10.2813  - - -  - - -  70.6251 70.2236 68.8052 65.6345 - - - - - - - 67.8334 - - - - 138 146 134 70 0 0 0 0
1699446783.415549000  1000.55 0 50.0088  -  nan  -0.109398 0.0728788 0.0216983  -0.109398 0.0728788 0.0216983  0.0676095 -0.0883792 8.57802  0.0676095 -0.0883792 8.57802  - - -  - - -  70.9449 70.2991 68.4398 65.9315 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
