# logged on Tue Dec  5 10:10:19 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701767419.290671000  1000.34 0 50.0053  -  nan  -0.329092 0.26196 -0.0471259  -0.329092 0.26196 -0.0471259  0.0246229 0.161892 8.57759  0.0246229 0.161892 8.57759  - - -  - - -  71.4406 67.79 71.9661 66.2736 - - - - - - - 66.6933 - - - - 139 146 0 70 0 0 0 0
1701767419.295665000  1000.35 0 50.0068  -  nan  -0.314534 0.232408 -0.0732494  -0.314534 0.232408 -0.0732494  0.147919 -0.00880619 10.7036  0.147919 -0.00880619 10.7036  - - -  - - -  71.8761 68.1606 71.4416 66.2231 - - - - - - 71.7154 - - - - - 139 146 0 70 0 0 0 0
1701767419.300679000  1000.34 0 50.0071  -  nan  -0.255971 0.18804 -0.081267  -0.255971 0.18804 -0.081267  0.206402 0.156407 9.09221  0.206402 0.156407 9.09221  - - -  - - -  71.1511 67.2244 72.014 66.1866 - - - - 72.59 - - - - - - - 139 146 0 70 0 0 0 0
1701767419.305662000  1000.34 0 50.0044  -  nan  -0.372795 0.319321 -0.0667167  -0.372795 0.319321 -0.0667167  0.0709633 0.162497 8.52134  0.0709633 0.162497 8.52134  - - -  - - -  71.3425 66.7486 72.3539 66.5575 - - - - - 68.6153 - - - - - - 139 146 0 70 0 0 0 0
1701767419.310712000  1000.35 0 50.004  -  nan  -0.373306 0.247399 -0.0642064  -0.373306 0.247399 -0.0642064  0.147366 -0.0100263 10.8178  0.147366 -0.0100263 10.8178  - - -  - - -  71.756 67.2827 71.7881 66.2607 - - - - - - - 66.1376 - - - - 139 146 0 70 0 0 0 0
1701767419.315654000  1000.35 0 50.0066  -  nan  -0.31437 0.231865 -0.0868164  -0.31437 0.231865 -0.0868164  0.206402 0.156407 9.09221  0.206402 0.156407 9.09221  - - -  - - -  70.9731 66.6147 72.2479 66.2399 - - - - - - 71.9321 - - - - - 139 146 0 70 0 0 0 0
1701767419.320675000  1000.35 0 50.0079  -  nan  -0.431333 0.392634 -0.0451529  -0.431333 0.392634 -0.0451529  0.118414 0.165553 8.23575  0.118414 0.165553 8.23575  - - -  - - -  70.7802 66.17 72.6091 66.7572 - - - - 72.3694 - - - - - - - 139 146 0 70 0 0 0 0
1701767419.325672000  1000.35 0 50.0061  -  nan  -0.417084 0.319522 -0.0697561  -0.417084 0.319522 -0.0697561  0.150836 0.0429396 10.4143  0.150836 0.0429396 10.4143  - - -  - - -  71.6505 67.1118 71.7422 66.4151 - - - - - 67.4491 - - - - - - 139 146 0 70 0 0 0 0
1701767419.330682000  1000.35 0 50.0065  -  nan  -0.401471 0.31891 -0.0822628  -0.401471 0.31891 -0.0822628  0.20557 0.154572 9.26397  0.20557 0.154572 9.26397  - - -  - - -  71.0704 66.3438 72.3049 66.5586 - - - - - - - 65.4108 - - - - 139 146 0 70 0 0 0 0
1701767419.335667000  1000.35 0 50.0079  -  nan  -0.504051 0.450706 -0.0521868  -0.504051 0.450706 -0.0521868  0.164202 0.164937 8.29367  0.164202 0.164937 8.29367  - - -  - - -  71.4394 66.4688 72.4164 66.4936 - - - - - - 72.812 - - - - - 139 146 0 70 0 0 0 0
