# logged on Tue Dec  5 11:42:46 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701772967.115944000  999.905 0 49.9994  -  nan  0.002939 -0.097617 0.00192978  0.002939 -0.097617 0.00192978  0.0984722 -0.107827 10.7687  0.0984722 -0.107827 10.7687  - - -  - - -  73.1586 68.3921 69.642 70.7582 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772967.120956000  999.905 0 49.9994  -  nan  0.00338696 -0.0109706 0.0124915  0.00338696 -0.0109706 0.0124915  0.0155238 0.00399984 9.50427  0.0155238 0.00399984 9.50427  - - -  - - -  72.4856 67.5719 70.2906 70.8457 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772967.125960000  999.905 0 49.998  -  nan  -0.0540079 0.0764804 0.0326619  -0.0540079 0.0764804 0.0326619  -0.0291576 0.00705546 9.21801  -0.0291576 0.00705546 9.21801  - - -  - - -  73.2456 68.0429 69.7648 70.8531 - - - - - 67.4491 70.4424 70.6514 - - - - 139 146 134 71 0 0 0 0
1701772967.130952000  999.905 0 49.9982  -  nan  -0.0112791 -0.0691878 -4.97753e-05  -0.0112791 -0.0691878 -4.97753e-05  0.10339 0.0398946 10.6989  0.10339 0.0398946 10.6989  - - -  - - -  73.0273 68.1098 69.5229 70.7267 - - - - 71.9321 - - - - - - - 139 146 134 71 0 0 0 0
1701772967.135944000  999.905 0 49.9982  -  nan  -0.0395626 0.0327846 0.00800247  -0.0395626 0.0327846 0.00800247  0.0188417 0.0113206 8.81924  0.0188417 0.0113206 8.81924  - - -  - - -  72.3198 67.2737 70.1572 70.8882 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772967.140963000  999.905 0 49.9982  -  nan  -0.111523 0.0762002 0.0151365  -0.111523 0.0762002 0.0151365  0.10446 -0.0483613 9.85183  0.10446 -0.0483613 9.85183  - - -  - - -  72.8321 67.821 69.8717 70.7204 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772967.145967000  999.905 0 49.9997  -  nan  -0.039973 -0.0249558 0.0100177  -0.039973 -0.0249558 0.0100177  0.106154 0.0459952 10.128  0.106154 0.0459952 10.128  - - -  - - -  72.739 68.0284 69.4475 70.5116 - - - - - 68.4182 69.8227 70.6514 - - - - 139 146 134 71 0 0 0 0
1701772967.150962000  999.905 0 49.9988  -  nan  -0.184203 0.163179 0.0206797  -0.184203 0.163179 0.0206797  0.0225008 0.110957 8.69623  0.0225008 0.110957 8.69623  - - -  - - -  72.3173 67.3692 69.8503 70.7931 - - - - 73.0353 - - - - - - - 139 146 134 71 0 0 0 0
1701772967.155959000  999.905 0 49.9988  -  nan  -0.170131 0.0906489 0.0106125  -0.170131 0.0906489 0.0106125  0.148594 -0.0526265 10.2513  0.148594 -0.0526265 10.2513  - - -  - - -  73.3495 68.4721 68.9546 70.1853 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772967.160961000  999.905 0 49.9988  -  nan  -0.0825571 0.0466207 -0.00902829  -0.0825571 0.0466207 -0.00902829  0.108551 0.0975355 9.95279  0.108551 0.0975355 9.95279  - - -  - - -  72.6624 67.9578 69.2706 70.0432 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
