# logged on Tue Jan  2 11:20:25 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704190825.130880000  1000.82 0 49.9999  -  nan  0.0780146 -0.0162613 -0.106531  0.0780146 -0.0162613 -0.106531  0.33141 -0.00636593 10.4766  0.33141 -0.00636593 10.4766  - - -  - - -  77.0398 66.6616 74.6422 67.93 - - - - - - 74.8727 - - - - - 139 146 134 70 0 0 0 0
1704190825.135885000  1000.81 0 49.9998  -  nan  -0.111018 0.265302 0.0764661  -0.111018 0.265302 0.0764661  0.0181317 -0.0355553 8.65285  0.0181317 -0.0355553 8.65285  - - -  - - -  78.0255 66.4717 74.3683 67.5432 - - - - - 68.6153 - 67.2585 - - - - 139 146 134 70 0 0 0 0
1704190825.140885000  1000.81 0 49.9998  -  nan  0.0483136 0.0313021 -0.0131233  0.0483136 0.0313021 -0.0131233  -0.500456 -0.250883 10.2078  -0.500456 -0.250883 10.2078  - - -  - - -  78.6677 68.479 72.306 68.1534 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704190825.145885000  1000.81 0 49.9998  -  nan  0.0938114 0.0561331 -0.0944139  0.0938114 0.0561331 -0.0944139  0.381962 0.0950953 10.1831  0.381962 0.0950953 10.1831  - - -  - - -  77.8961 66.4499 73.9779 68.7183 - - - - 78.5793 - - - - - - - 139 146 134 70 0 0 0 0
1704190825.150889000  1000.81 0 49.9978  -  nan  -0.0825182 0.266294 0.106548  -0.0825182 0.266294 0.106548  -0.121802 -0.087711 8.88466  -0.121802 -0.087711 8.88466  - - -  - - -  79.0174 66.4033 73.5779 68.2917 - - - - - - 73.2601 - - - - - 139 146 134 70 0 0 0 0
1704190825.155882000  1000.81 0 49.9962  -  nan  0.136018 -0.0432262 -0.0598418  0.136018 -0.0432262 -0.0598418  -0.406679 -0.152673 10.3138  -0.406679 -0.152673 10.3138  - - -  - - -  79.0035 68.03 72.2175 69.0185 - - - - - 67.2585 - 67.6407 - - - - 139 146 134 70 0 0 0 0
1704190825.160879000  1000.81 0 49.9962  -  nan  0.0636024 0.0573922 -0.0683607  0.0636024 0.0573922 -0.0683607  0.335721 0.187216 10.8579  0.335721 0.187216 10.8579  - - -  - - -  78.2245 65.6466 74.2848 69.4805 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704190825.165898000  1000.81 0 49.9956  -  nan  -0.0824809 0.222625 0.0799302  -0.0824809 0.222625 0.0799302  -0.078609 -0.0919761 9.28409  -0.078609 -0.0919761 9.28409  - - -  - - -  78.8008 65.834 73.8793 68.6211 - - - - 79.8977 - - - - - - - 139 146 134 70 0 0 0 0
1704190825.170879000  1000.81 0 49.9951  -  nan  0.121599 -0.0431606 -0.0608314  0.121599 -0.0431606 -0.0608314  -0.40105 -0.047746 9.79055  -0.40105 -0.047746 9.79055  - - -  - - -  78.7748 66.8627 73.0724 69.1356 - - - - - - 73.9426 - - - - - 139 146 134 70 0 0 0 0
1704190825.175884000  1000.81 0 49.9941  -  nan  -0.0245127 0.07418 -0.0196269  -0.0245127 0.07418 -0.0196269  0.156474 0.286647 10.8476  0.156474 0.286647 10.8476  - - -  - - -  78.2318 64.6903 75.0822 69.3085 - - - - - 66.3218 - 69.0131 - - - - 139 146 134 70 0 0 0 0
