# logged on Fri Dec  1 17:10:58 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701447058.916568000  1000.14 0 49.9994  -  nan  -0.446282 0.36542 -0.0180186  -0.446282 0.36542 -0.0180186  0.160057 0.155792 9.14946  0.160057 0.155792 9.14946  - - -  - - -  71.1587 65.6621 70.6011 68.6425 - - - - 71.286 - - - - - - - 139 146 0 70 0 0 0 0
1701447058.921514000  1000.14 0 49.9995  -  nan  -0.387517 0.349416 -0.0270262  -0.387517 0.349416 -0.0270262  0.107998 0.0963154 10.067  0.107998 0.0963154 10.067  - - -  - - -  70.9984 65.5858 70.6992 68.704 - - - - - - 70.2346 - - - - - 139 146 0 70 0 0 0 0
1701447058.926513000  1000.14 0 49.9996  -  nan  -0.387371 0.393517 -0.0149795  -0.387371 0.393517 -0.0149795  0.114544 0.157012 9.03495  0.114544 0.157012 9.03495  - - -  - - -  70.6104 64.726 70.839 69.2872 - - - - - 64.8761 - 68.6153 - - - - 139 146 0 70 0 0 0 0
1701447058.931512000  1000.14 0 49.9996  -  nan  -0.445879 0.422147 -0.0199985  -0.445879 0.422147 -0.0199985  0.158767 0.106692 9.09634  0.158767 0.106692 9.09634  - - -  - - -  70.8684 65.1602 70.4568 69.2593 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701447058.936505000  1000.14 0 50.0006  -  nan  -0.387371 0.393517 -0.0149795  -0.387371 0.393517 -0.0149795  0.108551 0.0975355 9.95279  0.108551 0.0975355 9.95279  - - -  - - -  70.8155 64.9889 70.539 69.4107 - - - - 71.0732 - - - - - - - 139 146 0 70 0 0 0 0
1701447058.941513000  1000.14 0 50.0006  -  nan  -0.387289 0.452342 0.0101393  -0.387289 0.452342 0.0101393  0.114822 0.157627 8.97737  0.114822 0.157627 8.97737  - - -  - - -  70.2462 64.3489 70.7944 69.9913 - - - - - 65.2316 70.8617 - - - - - 139 146 0 70 0 0 0 0
1701447058.946520000  1000.14 0 49.9996  -  nan  -0.474472 0.480561 -0.0104259  -0.474472 0.480561 -0.0104259  0.157935 0.104856 9.2681  0.157935 0.104856 9.2681  - - -  - - -  70.5363 65.0645 70.0971 70.1608 - - - - - - - 70.028 - - - - 139 146 0 70 0 0 0 0
1701447058.951498000  1000.14 0 49.9996  -  nan  -0.431149 0.465641 -0.0205292  -0.431149 0.465641 -0.0205292  0.155449 0.099371 9.78137  0.155449 0.099371 9.78137  - - -  - - -  70.6132 65.0575 70.1232 70.0882 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701447058.956563000  1000.14 0 49.9996  -  nan  -0.473961 0.552484 -0.0129362  -0.473961 0.552484 -0.0129362  0.114822 0.157627 8.97737  0.114822 0.157627 8.97737  - - -  - - -  70.8779 64.6644 70.1282 70.2757 - - - - 70.4424 - - - - - - - 139 146 0 70 0 0 0 0
1701447058.961516000  1000.14 0 49.9976  -  nan  -0.518388 0.509597 -0.0280577  -0.518388 0.509597 -0.0280577  0.157108 0.103031 9.43886  0.157108 0.103031 9.43886  - - -  - - -  71.4251 65.0462 69.8465 69.9481 - - - - - - 70.2346 - - - - - 139 146 0 70 0 0 0 0
1701447058.966521000  1000.14 0 49.9961  -  nan  -0.489221 0.508381 -0.0532125  -0.489221 0.508381 -0.0532125  0.157292 0.149691 9.72032  0.157292 0.149691 9.72032  - - -  - - -  71.0583 64.8598 70.25 69.9111 - - - - - 64.1766 - 71.286 - - - - 139 146 0 70 0 0 0 0
1701447058.971513000  1000.14 0 49.9961  -  nan  -0.562028 0.624808 -0.0215254  -0.562028 0.624808 -0.0215254  0.159504 0.154572 9.26363  0.159504 0.154572 9.26363  - - -  - - -  71.5029 64.7605 70.1517 69.5808 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701447058.976521000  1000.14 0 49.9955  -  nan  -0.576631 0.551867 -0.0471387  -0.576631 0.551867 -0.0471387  0.158398 0.152131 9.49198  0.158398 0.152131 9.49198  - - -  - - -  72.125 65.5143 69.5759 69.0892 - - - - 71.286 - - - - - - - 139 146 0 70 0 0 0 0
1701447058.981531000  1000.14 0 49.9929  -  nan  -0.56211 0.565983 -0.0466441  -0.56211 0.565983 -0.0466441  0.160246 0.202462 9.42993  0.160246 0.202462 9.42993  - - -  - - -  71.8565 65.4261 69.9111 69.0291 - - - - - - 70.4424 - - - - - 139 146 0 70 0 0 0 0
1701447058.986521000  1000.14 0 49.9924  -  nan  -0.635011 0.669242 -0.0144973  -0.635011 0.669242 -0.0144973  0.159504 0.154572 9.26363  0.159504 0.154572 9.26363  - - -  - - -  72.134 65.8407 69.7214 68.8363 - - - - - 64.6998 - 70.6514 - - - - 139 146 0 70 0 0 0 0
1701447058.991516000  1000.14 0 49.9924  -  nan  -0.620009 0.582525 -0.0239988  -0.620009 0.582525 -0.0239988  0.156465 0.147866 9.89108  0.156465 0.147866 9.89108  - - -  - - -  72.5055 66.6456 69.1092 68.5415 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701447058.996524000  1000.14 0 49.9931  -  nan  -0.635194 0.596235 -0.0391211  -0.635194 0.596235 -0.0391211  0.11556 0.205507 9.14466  0.11556 0.205507 9.14466  - - -  - - -  72.1732 66.6282 69.3423 68.4416 - - - - 70.6514 - - - - - - - 139 146 0 70 0 0 0 0
1701447059.001529000  1000.14 0 49.9926  -  nan  -0.692425 0.683143 -0.0325177  -0.692425 0.683143 -0.0325177  0.115286 0.204902 9.20125  0.115286 0.204902 9.20125  - - -  - - -  72.6911 67.2804 69.1741 68.0063 - - - - - 66.6933 70.4424 - - - - - 139 146 0 70 0 0 0 0
1701447059.006521000  1000.14 0 49.9934  -  nan  -0.664242 0.566989 -0.040075  -0.664242 0.566989 -0.040075  0.152684 0.0932704 10.3522  0.152684 0.0932704 10.3522  - - -  - - -  73.026 67.6413 69.0382 67.7603 - - - - - - - 68.6153 - - - - 139 146 0 70 0 0 0 0
1701447059.011517000  1000.14 0 49.9934  -  nan  -0.649412 0.624664 -0.0411006  -0.649412 0.624664 -0.0411006  0.11556 0.205507 9.14466  0.11556 0.205507 9.14466  - - -  - - -  72.5015 67.3789 69.5807 67.4545 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701447059.016501000  1000.14 0 49.995  -  nan  -0.678106 0.668896 -0.0310331  -0.678106 0.668896 -0.0310331  0.111594 0.104252 9.32435  0.111594 0.104252 9.32435  - - -  - - -  73.1505 67.9901 69.073 67.629 - - - - 71.286 - - - - - - - 139 146 0 70 0 0 0 0
1701447059.021500000  1000.14 0 49.9925  -  nan  -0.635403 0.566858 -0.0380958  -0.635403 0.566858 -0.0380958  0.10477 0.0429396 10.4139  0.10477 0.0429396 10.4139  - - -  - - -  73.0172 67.8313 69.224 67.7247 - - - - - - 69.2137 - - - - - 139 146 0 70 0 0 0 0
1701447059.026500000  1000.14 0 49.9921  -  nan  -0.619498 0.654447 -0.0265091  -0.619498 0.654447 -0.0265091  0.0696731 0.113397 8.46822  0.0696731 0.113397 8.46822  - - -  - - -  72.6017 67.4119 69.6052 67.6408 - - - - - 67.4491 - 67.6407 - - - - 139 146 0 70 0 0 0 0
1701447059.031517000  1000.13 0 49.9921  -  nan  -0.634892 0.63878 -0.040606  -0.634892 0.63878 -0.040606  0.110578 0.0557563 9.21464  0.110578 0.0557563 9.21464  - - -  - - -  72.9339 67.5347 69.4951 68.0126 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701447059.036504000  1000.13 0 49.9928  -  nan  -0.576631 0.551867 -0.0471387  -0.576631 0.551867 -0.0471387  0.10477 0.0429396 10.4139  0.10477 0.0429396 10.4139  - - -  - - -  73.4864 67.8102 69.2367 67.8776 - - - - 73.2601 - - - - - - - 139 146 0 70 0 0 0 0
1701447059.041500000  1000.12 0 49.9916  -  nan  -0.576447 0.624874 -0.022515  -0.576447 0.624874 -0.022515  -0.0276205 0.0557563 9.21363  -0.0276205 0.0557563 9.21363  - - -  - - -  73.2167 67.496 69.4146 68.1092 - - - - - - 69.4155 - - - - - 139 146 0 70 0 0 0 0
