# logged on Tue Nov 14 13:36:35 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699965395.856565000  999.681 0 49.9926  -  nan  -0.0381552 -0.0387683 -0.0018191  -0.0381552 -0.0387683 -0.0018191  -0.0413579 -0.0026636 10.4613  -0.0413579 -0.0026636 10.4613  - - -  - - -  72.6417 73.3151 68.4465 65.496 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1699965395.861560000  999.672 0 49.9929  -  nan  0.0335542 -0.0526051 -0.0289506  0.0335542 -0.0526051 -0.0289506  -0.0773711 0.141464 9.07159  -0.0773711 0.141464 9.07159  - - -  - - -  72.6251 73.4812 68.3095 64.9789 - - - - 73.4862 - 68.4182 - - - - - 138 145 0 71 0 0 0 0
1699965395.866618000  999.662 0 49.9926  -  nan  -0.0382326 -0.0249354 -0.00219319  -0.0382326 -0.0249354 -0.00219319  0.0644697 0.00184952 9.37257  0.0644697 0.00184952 9.37257  - - -  - - -  72.7029 73.0391 68.6139 65.2582 - - - - - 75.1089 - - - - - - 138 145 0 71 0 0 0 0
1699965395.871622000  999.658 0 49.9903  -  nan  -0.0382326 -0.0249354 -0.00219319  -0.0382326 -0.0249354 -0.00219319  0.0549376 -0.00384973 10.7483  0.0549376 -0.00384973 10.7483  - - -  - - -  73.0026 73.1985 68.7077 65.3294 - - - - - - - 65.9544 - - - - 138 145 0 71 0 0 0 0
1699965395.876618000  999.66 0 49.9903  -  nan  0.10431 0.00348997 -0.00095871  0.10431 0.00348997 -0.00095871  -0.0762056 0.0961079 8.73267  -0.0762056 0.0961079 8.73267  - - -  - - -  72.7626 73.2208 68.4977 64.8882 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1699965395.881535000  999.658 0 49.993  -  nan  -0.0242414 -0.0110276 -0.00237181  -0.0242414 -0.0110276 -0.00237181  0.113176 -0.0905159 9.09413  0.113176 -0.0905159 9.09413  - - -  - - -  73.0161 72.528 68.6125 65.9725 - - - - 72.59 - 69.2137 - - - - - 138 145 0 71 0 0 0 0
1699965395.886535000  999.66 0 49.9937  -  nan  0.0330385 -0.0107227 -0.00157595  0.0330385 -0.0107227 -0.00157595  0.00619057 0.0414982 10.8585  0.00619057 0.0414982 10.8585  - - -  - - -  73.1045 72.8708 68.6848 65.8651 - - - - - 73.7137 - - - - - - 138 145 0 71 0 0 0 0
1699965395.891557000  999.66 0 49.9923  -  nan  0.11814 0.0460515 -0.00191223  0.11814 0.0460515 -0.00191223  -0.078582 0.0495739 8.90844  -0.078582 0.0495739 8.90844  - - -  - - -  72.7381 72.7584 68.0627 65.4423 - - - - - - - 64.0041 - - - - 138 145 0 71 0 0 0 0
1699965395.896542000  999.662 0 49.9923  -  nan  0.0330148 0.0177458 -0.016108  0.0330148 0.0177458 -0.016108  0.11039 -0.0921815 9.49617  0.11039 -0.0921815 9.49617  - - -  - - -  73.2032 72.2105 68.1419 66.3078 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1699965395.901556000  999.66 0 49.9927  -  nan  0.0327231 0.0455968 -0.00309903  0.0327231 0.0455968 -0.00309903  0.101684 0.0398326 11.2612  0.101684 0.0398326 11.2612  - - -  - - -  73.6546 72.3596 68.2958 66.385 - - - - 74.4048 - 69.0131 - - - - - 138 145 0 71 0 0 0 0
