# logged on Fri Jan  5 15:25:07 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704464707.880125000  1000.11 0 49.9947  -  nan  0.0197506 0.0450339 -0.0301335  0.0197506 0.0450339 -0.0301335  0.162368 0.253398 9.31129  0.162368 0.253398 9.31129  - - -  - - -  77.8563 65.6233 70.5309 63.1043 - - - - - - - - - - - - 139 146 0 71 0 0 0 0
1704464707.885135000  1000.11 0 49.9972  -  nan  -0.011543 0.0353652 0.0778166  -0.011543 0.0353652 0.0778166  -0.122841 0.00155959 9.73161  -0.122841 0.00155959 9.73161  - - -  - - -  77.9751 66.5683 70.029 63.1191 - - - - - 66.1376 - - - - - - 139 146 0 71 0 0 0 0
1704464707.890137000  1000.1 0 49.9943  -  nan  0.0479032 -0.0264384 -0.011108  0.0479032 -0.0264384 -0.011108  -0.171946 -0.00514581 10.3587  -0.171946 -0.00514581 10.3587  - - -  - - -  77.2743 67.5153 69.5258 63.4317 - - - - 78.5793 - 69.2137 64.3501 - - - - 139 146 0 71 0 0 0 0
1704464707.895121000  1000.1 0 49.9943  -  nan  0.00385292 -0.0415423 -0.0417555  0.00385292 -0.0415423 -0.0417555  0.0198352 0.197582 9.8856  0.0198352 0.197582 9.8856  - - -  - - -  77.1852 66.2471 70.5032 62.8163 - - - - - - - - - - - - 139 146 0 71 0 0 0 0
1704464707.900127000  1000.09 0 49.9943  -  nan  -0.0691027 0.00516594 0.0477496  -0.0691027 0.00516594 0.0477496  0.112147 0.105472 9.21018  0.112147 0.105472 9.21018  - - -  - - -  77.2497 66.6188 70.1643 62.6371 - - - - - - - - - - - - 139 146 0 71 0 0 0 0
1704464707.905139000  1000.09 0 49.9958  -  nan  -0.0396634 0.0186027 0.00849745  -0.0396634 0.0186027 0.00849745  -0.487136 0.146646 10.0005  -0.487136 0.146646 10.0005  - - -  - - -  77.2346 67.4083 69.5815 62.8496 - - - - - 67.4491 - - - - - - 139 146 0 71 0 0 0 0
1704464707.910131000  1000.09 0 49.9955  -  nan  -0.0397158 -0.0849043 -0.043204  -0.0397158 -0.0849043 -0.043204  0.195801 0.04051 10.642  0.195801 0.04051 10.642  - - -  - - -  76.7451 67.1713 70.2367 62.2045 - - - - 78.3208 - - 64.1766 - - - - 139 146 0 71 0 0 0 0
1704464707.915129000  1000.09 0 49.994  -  nan  -0.082721 0.0471631 0.0045387  -0.082721 0.0471631 0.0045387  0.394222 0.214653 8.29087  0.394222 0.214653 8.29087  - - -  - - -  77.1843 66.6774 70.3766 61.8918 - - - - - - 70.2346 - - - - - 139 146 0 71 0 0 0 0
1704464707.920125000  1000.09 0 49.994  -  nan  -0.171227 0.0797597 0.0934785  -0.171227 0.0797597 0.0934785  -0.764918 0.143591 10.2845  -0.764918 0.143591 10.2845  - - -  - - -  77.8508 67.6433 69.7826 62.004 - - - - - - - - - - - - 139 146 0 71 0 0 0 0
1704464707.925132000  1000.09 0 49.9966  -  nan  -0.0103472 -0.130331 -0.108544  -0.0103472 -0.130331 -0.108544  0.287433 0.043555 10.3577  0.287433 0.043555 10.3577  - - -  - - -  76.3955 68.3515 69.5442 61.7837 - - - - - 66.8807 - - - - - - 139 146 0 71 0 0 0 0
1704464707.930130000  1000.09 0 49.9942  -  nan  -0.0960069 0.0870238 -0.0667399  -0.0960069 0.0870238 -0.0667399  0.490046 0.315304 8.16844  0.490046 0.315304 8.16844  - - -  - - -  77.065 66.3664 71.0831 61.1455 - - - - 77.0535 - - 62.1659 - - - - 139 146 0 71 0 0 0 0
1704464707.935122000  1000.08 0 49.9918  -  nan  -0.245515 0.0839271 0.184398  -0.245515 0.0839271 0.184398  -0.859954 -0.00270555 10.1253  -0.859954 -0.00270555 10.1253  - - -  - - -  78.1653 68.3968 69.354 61.2296 - - - - - - 69.8227 - - - - - 139 146 0 71 0 0 0 0
1704464707.940126000  1000.08 0 49.9918  -  nan  0.077529 -0.131814 -0.12967  0.077529 -0.131814 -0.12967  0.337555 0.0987557 9.84029  0.337555 0.0987557 9.84029  - - -  - - -  76.1486 68.3411 69.6246 61.9418 - - - - - - - - - - - - 139 146 0 71 0 0 0 0
1704464707.945140000  1000.08 0 49.9936  -  nan  -0.110124 0.129635 -0.0692144  -0.110124 0.129635 -0.0692144  0.535469 0.360139 8.621  0.535469 0.360139 8.621  - - -  - - -  76.9342 66.3183 70.937 61.6828 - - - - - 66.507 - - - - - - 139 146 0 71 0 0 0 0
1704464707.950138000  1000.08 0 49.9907  -  nan  -0.187821 0.0134037 0.232607  -0.187821 0.0134037 0.232607  -0.634411 -0.149012 9.96956  -0.634411 -0.149012 9.96956  - - -  - - -  78.3666 68.4764 68.7701 61.5291 - - - - 76.0688 - 71.0732 61.0501 - - - - 139 146 0 71 0 0 0 0
1704464707.955131000  1000.08 0 49.9907  -  nan  0.0776674 -0.0887259 -0.117588  0.0776674 -0.0887259 -0.117588  0.0153122 0.0950953 10.1805  0.0153122 0.0950953 10.1805  - - -  - - -  76.338 69.3283 68.7623 62.4863 - - - - - - - - - - - - 139 146 0 71 0 0 0 0
1704464707.960124000  1000.08 0 49.9907  -  nan  -0.110326 0.101271 -0.0682244  -0.110326 0.101271 -0.0682244  0.294716 0.152131 9.49297  0.294716 0.152131 9.49297  - - -  - - -  77.7216 66.3538 70.4229 61.6709 - - - - - - - - - - - - 139 146 0 71 0 0 0 0
1704464707.965131000  1000.08 0 49.9937  -  nan  -0.144323 -0.00209819 0.207968  -0.144323 -0.00209819 0.207968  -0.303509 0.00949572 8.98765  -0.303509 0.00949572 8.98765  - - -  - - -  77.912 68.0478 68.6859 61.9163 - - - - - 67.4491 - - - - - - 139 146 0 71 0 0 0 0
1704464707.970137000  1000.08 0 49.9917  -  nan  0.0344907 -0.0297043 -0.0954377  0.0344907 -0.0297043 -0.0954377  -0.214079 0.0950953 10.1788  -0.214079 0.0950953 10.1788  - - -  - - -  76.4368 69.0275 68.679 63.0438 - - - - 78.3208 - 69.6185 62.004 - - - - 139 146 0 71 0 0 0 0
