# logged on Wed Nov 29 16:48:51 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701272931.277693000  1000.05 0 50.0038  -  nan  -0.0399546 -0.069599 -0.015596  -0.0399546 -0.069599 -0.015596  0.0591041 -0.00148542 10.0179  0.0591041 -0.00148542 10.0179  - - -  - - -  81.9337 80.6022 82.2324 79.318 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1701272931.282700000  1000.06 0 50.0024  -  nan  -0.0394435 0.00232325 -0.0181062  -0.0394435 0.00232325 -0.0181062  0.017803 0.100591 9.66619  0.017803 0.100591 9.66619  - - -  - - -  81.7871 80.6994 82.6549 79.0429 - - - - - - 81.8197 - - - - - 138 146 134 70 0 0 0 0
1701272931.287680000  1000.07 0 50.0033  -  nan  -0.0974879 -0.025236 -0.00750764  -0.0974879 -0.025236 -0.00750764  0.0120537 -0.0489661 9.90775  0.0120537 -0.0489661 9.90775  - - -  - - -  82.2122 81.0949 82.4906 78.6776 - - - - 82.3859 80.9848 - 79.8977 - - - - 138 146 134 70 0 0 0 0
1701272931.292696000  1000.08 0 50.0033  -  nan  -0.0253592 -0.0702456 -0.0291424  -0.0253592 -0.0702456 -0.0291424  0.0175241 0.0999758 9.72377  0.0175241 0.0999758 9.72377  - - -  - - -  81.8882 81.4086 82.7511 78.2136 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1701272931.297703000  1000.08 0 50.0033  -  nan  -0.0827586 0.018257 -0.00803833  -0.0827586 0.018257 -0.00803833  0.0595 -0.0459211 9.62315  0.0595 -0.0459211 9.62315  - - -  - - -  81.91 81.376 82.8744 78.4034 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1701272931.302684000  1000.07 0 50.003  -  nan  -0.0833777 -0.0688601 -0.00499775  -0.0833777 -0.0688601 -0.00499775  0.0582722 -0.00332092 10.1896  0.0582722 -0.00332092 10.1896  - - -  - - -  82.2683 81.8129 82.643 78.0843 - - - - - - 82.1018 - - - - - 138 146 134 70 0 0 0 0
1701272931.307703000  1000.07 0 50.003  -  nan  -0.0110072 -0.0545353 -0.0141471  -0.0110072 -0.0545353 -0.0141471  0.0156809 0.0496556 9.78483  0.0156809 0.0496556 9.78483  - - -  - - -  81.7339 82.0774 83.0311 77.7532 - - - - 81.8197 81.2612 - 78.3208 - - - - 138 146 134 70 0 0 0 0
1701272931.312697000  1000.07 0 50.003  -  nan  -0.0974503 0.00367004 0.0050694  -0.0974503 0.00367004 0.0050694  0.056272 -0.0992969 9.97013  0.056272 -0.0992969 9.97013  - - -  - - -  81.8171 82.051 83.1151 77.8861 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1701272931.317696000  1000.07 0 50.003  -  nan  -0.0112791 -0.0691878 -4.97753e-05  -0.0112791 -0.0691878 -4.97753e-05  -0.0310954 0.00277971 9.61811  -0.0310954 0.00277971 9.61811  - - -  - - -  82.0088 82.5993 82.7685 77.463 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1701272931.322699000  1000.06 0 50.0017  -  nan  -0.0256989 -0.0691223 -0.00103937  -0.0256989 -0.0691223 -0.00103937  0.0552559 -0.147792 9.86043  0.0552559 -0.147792 9.86043  - - -  - - -  81.661 82.4103 83.2314 77.757 - - - - - - 82.96 - - - - - 138 146 134 71 0 0 0 0
1701272931.327689000  1000.06 0 50.0031  -  nan  -0.0543927 -0.0248903 0.00902814  -0.0543927 -0.0248903 0.00902814  0.100769 -0.149012 9.97494  0.100769 -0.149012 9.97494  - - -  - - -  81.5492 82.6265 83.3668 77.7084 - - - - 82.1018 82.3859 - 77.5555 - - - - 138 146 134 71 0 0 0 0
1701272931.332704000  1000.05 0 50.0031  -  nan  0.0763771 -0.0543908 0.00542815  0.0763771 -0.0543908 0.00542815  0.0128808 -0.0471412 9.73699  0.0128808 -0.0471412 9.73699  - - -  - - -  81.6238 82.7374 83.2524 77.8196 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701272931.337699000  1000.05 0 50.0031  -  nan  -0.0115439 -0.0828273 0.0140122  -0.0115439 -0.0828273 0.0140122  0.098926 -0.199332 10.036  0.098926 -0.199332 10.036  - - -  - - -  81.3234 82.2481 83.6498 78.5654 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701272931.342699000  1000.04 0 50.0028  -  nan  0.0622598 -0.0117797 0.00295362  0.0622598 -0.0117797 0.00295362  -0.0798047 -0.0483613 9.85049  -0.0798047 -0.0483613 9.85049  - - -  - - -  80.9303 82.5889 83.8819 78.1145 - - - - - - 82.96 - - - - - 138 146 134 71 0 0 0 0
1701272931.347691000  1000.04 0 50.0029  -  nan  0.120722 -0.0703293 -0.00456904  0.120722 -0.0703293 -0.00456904  0.0539657 -0.196892 9.80731  0.0539657 -0.196892 9.80731  - - -  - - -  81.0221 82.3819 83.766 78.3328 - - - - 80.9848 82.672 - 77.0535 - - - - 138 146 134 71 0 0 0 0
1701272931.352702000  1000.04 0 50.0029  -  nan  0.032846 -0.0688468 0.0165567  0.032846 -0.0688468 0.0165567  -0.0377037 -0.149617 10.0305  -0.0377037 -0.149617 10.0305  - - -  - - -  80.5984 82.1746 84.2044 78.5601 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701272931.357699000  1000.03 0 50.0029  -  nan  0.135653 0.00152746 -0.00608969  0.135653 0.00152746 -0.00608969  0.0107587 -0.0980767 9.85563  0.0107587 -0.0980767 9.85563  - - -  - - -  80.502 82.5624 84.1945 78.1586 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701272931.362699000  1000.03 0 50.0036  -  nan  0.106202 -0.0844456 -0.00506366  0.106202 -0.0844456 -0.00506366  0.188473 -0.297543 9.93143  0.188473 -0.297543 9.93143  - - -  - - -  80.8244 82.0316 84.0202 78.5762 - - - - - - 85.3388 - - - - - 138 146 134 71 0 0 0 0
1701272931.367693000  1000.03 0 50.0039  -  nan  0.0924388 0.0316431 0.0034832  0.0924388 0.0316431 0.0034832  -0.0795258 -0.047746 9.7929  -0.0795258 -0.047746 9.7929  - - -  - - -  80.497 81.9537 84.3612 78.5381 - - - - 81.5395 - - 78.5793 - - - - 138 146 134 71 0 0 0 0
1701272931.372703000  1000.04 0 50.0025  -  nan  0.179841 -0.0128557 -0.00255524  0.179841 -0.0128557 -0.00255524  0.187641 -0.299379 10.1032  0.187641 -0.299379 10.1032  - - -  - - -  81.1686 82.1523 83.6353 78.4001 - - - - - 81.8197 - - - - - - 138 146 134 71 0 0 0 0
1701272931.377699000  1000.04 0 50.0025  -  nan  0.106713 -0.0125233 -0.0075739  0.106713 -0.0125233 -0.0075739  0.100032 -0.196892 9.80765  0.100032 -0.196892 9.80765  - - -  - - -  80.9499 81.6846 83.6834 78.6145 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701272931.382702000  1000.04 0 50.0023  -  nan  0.180491 0.102155 0.00701657  0.180491 0.102155 0.00701657  0.0137127 -0.0453057 9.56523  0.0137127 -0.0453057 9.56523  - - -  - - -  81.0547 81.8455 83.583 78.4199 - - - - - - 84.7314 - - - - - 138 146 134 71 0 0 0 0
1701272931.387694000  1000.05 0 50.0009  -  nan  0.149946 -0.0416647 -0.0181512  0.149946 -0.0416647 -0.0181512  0.231662 -0.301819 10.3319  0.231662 -0.301819 10.3319  - - -  - - -  81.8096 81.6859 82.875 78.8003 - - - - 79.8977 - - 79.3651 - - - - 138 146 134 71 0 0 0 0
1701272931.392700000  1000.05 0 50.0008  -  nan  0.16597 0.0880382 0.00652195  0.16597 0.0880382 0.00652195  -0.0353076 -0.0980767 9.85529  -0.0353076 -0.0980767 9.85529  - - -  - - -  81.1665 81.7253 83.3559 78.4339 - - - - - 81.8197 - - - - - - 138 146 134 71 0 0 0 0
1701272931.397698000  1000.05 0 50.0008  -  nan  0.209468 0.0725363 -0.0181173  0.209468 0.0725363 -0.0181173  0.234616 -0.249048 10.0415  0.234616 -0.249048 10.0415  - - -  - - -  81.7506 81.857 82.7004 78.3299 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701272931.402704000  1000.06 0 50.0017  -  nan  0.165862 0.000268323 -0.0321429  0.165862 0.000268323 -0.0321429  0.101875 -0.146572 9.74659  0.101875 -0.146572 9.74659  - - -  - - -  82.0097 81.6242 82.5151 78.286 - - - - - - 83.8364 - - - - - 138 146 134 71 0 0 0 0
