# logged on Thu Dec 21 17:04:03 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1703174643.567789000  1000.2 0 50.0054  -  nan  -0.111497 0.03257 -0.0105125  -0.111497 0.03257 -0.0105125  -0.207803 0.293957 10.1609  -0.207803 0.293957 10.1609  - - -  - - -  77.4597 67.0356 70.7956 65.8975 - - - - - - - - - - - - 139 0 133 70 0 0 0 0
1703174643.572811000  1000.2 0 50.0035  -  nan  -0.0395702 -0.0408034 -0.0311573  -0.0395702 -0.0408034 -0.0311573  -0.310949 -0.144737 9.57181  -0.310949 -0.144737 9.57181  - - -  - - -  77.2034 68.1024 70.2649 65.3804 - - - - 76.8049 - 68.6153 - - - - - 139 0 133 70 0 0 0 0
1703174643.577805000  1000.2 0 50.0031  -  nan  -0.024155 -0.0441616 -0.112539  -0.024155 -0.0441616 -0.112539  0.340684 0.059406 8.87479  0.340684 0.059406 8.87479  - - -  - - -  76.9 67.5491 71.2495 65.6266 - - - - - 67.8334 - - - - - - 139 0 133 70 0 0 0 0
1703174643.582812000  1000.2 0 50.0028  -  nan  -0.184387 0.0901721 -0.00394409  -0.184387 0.0901721 -0.00394409  -0.202574 0.443309 10.0334  -0.202574 0.443309 10.0334  - - -  - - -  77.8387 67.1422 71.891 65.4314 - - - - - - - 65.9544 - - - - 139 0 133 70 0 0 0 0
1703174643.587802000  1000.2 0 50.0025  -  nan  -0.112299 -0.00936164 0.0317088  -0.112299 -0.00936164 0.0317088  -0.677735 -0.00514581 10.355  -0.677735 -0.00514581 10.355  - - -  - - -  77.574 69.1564 70.472 64.8146 - - - - 77.3036 - - - - - - - 139 0 133 70 0 0 0 0
1703174643.592788000  1000.2 0 50.0013  -  nan  0.0348186 -0.0307889 -0.122572  0.0348186 -0.0307889 -0.122572  0.529009 0.114617 8.3574  0.529009 0.114617 8.3574  - - -  - - -  76.8151 68.3714 71.3962 65.2033 - - - - - - 71.5001 - - - - - 139 0 133 70 0 0 0 0
1703174643.597802000  1000.2 0 50.0021  -  nan  -0.243076 0.163988 0.0302176  -0.243076 0.163988 0.0302176  -0.386097 0.491199 10.1984  -0.386097 0.491199 10.1984  - - -  - - -  78.4285 67.5865 71.9351 65.1598 - - - - - 68.0272 - - - - - - 139 0 133 70 0 0 0 0
1703174643.602803000  1000.2 0 50.0029  -  nan  -0.0833146 -0.0835843 -0.0180698  -0.0833146 -0.0835843 -0.0180698  -0.41304 -0.305469 10.6687  -0.41304 -0.305469 10.6687  - - -  - - -  78.003 70.0985 70.0325 64.5071 - - - - - - - 66.507 - - - - 139 0 133 70 0 0 0 0
1703174643.607794000  1000.2 0 50.0036  -  nan  0.0640867 -0.0178228 -0.148221  0.0640867 -0.0178228 -0.148221  0.615558 -0.0324997 8.37128  0.615558 -0.0324997 8.37128  - - -  - - -  77.3415 67.8213 72.2785 65.2136 - - - - 77.5555 - - - - - - - 139 0 133 70 0 0 0 0
1703174643.612789000  1000.2 0 50.0033  -  nan  -0.243367 0.193979 0.0699286  -0.243367 0.193979 0.0699286  -0.47867 0.488154 10.4827  -0.47867 0.488154 10.4827  - - -  - - -  78.7524 67.8569 71.9617 65.4844 - - - - - - 71.9321 - - - - - 139 0 133 70 0 0 0 0
