# logged on Thu Dec 21 15:55:53 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1703170553.675867000  1000.7 0 50.0043  -  nan  -0.0257172 -0.024479 0.0245743  -0.0257172 -0.024479 0.0245743  -0.628099 0.140546 10.5704  -0.628099 0.140546 10.5704  - - -  - - -  74.134 69.5342 67.4514 64.693 - - - - - - 68.0272 - - - - - 139 146 134 71 0 0 0 0
1703170553.680863000  1000.7 0 50.0029  -  nan  0.107171 -0.116683 -0.100981  0.107171 -0.116683 -0.100981  0.00523375 -0.110267 10.9964  0.00523375 -0.110267 10.9964  - - -  - - -  73.0419 69.2999 67.9371 64.1144 - - - - 73.4862 - - - - - - - 139 146 134 71 0 0 0 0
1703170553.685871000  1000.7 0 50.0053  -  nan  -0.00918657 0.0566012 -0.101482  -0.00918657 0.0566012 -0.101482  0.34963 0.171653 7.66656  0.34963 0.171653 7.66656  - - -  - - -  73.9343 67.6142 68.9089 63.7487 - - - - - 68.6153 - 64.3501 - - - - 139 146 134 71 0 0 0 0
1703170553.690867000  1000.71 0 50.0053  -  nan  -0.0249489 -0.0125052 -0.0311577  -0.0249489 -0.0125052 -0.0311577  -0.541591 0.0356295 11.0933  -0.541591 0.0356295 11.0933  - - -  - - -  75.3204 68.3496 68.1903 63.8241 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1703170553.695874000  1000.71 0 50.0048  -  nan  0.150758 -0.117964 -0.125146  0.150758 -0.117964 -0.125146  0.055719 -0.100517 10.0843  0.055719 -0.100517 10.0843  - - -  - - -  74.0865 67.8995 68.6646 63.3482 - - - - - - 68.4182 - - - - - 139 146 134 71 0 0 0 0
1703170553.700872000  1000.71 0 50.0043  -  nan  0.0198514 0.0592158 -0.0306285  0.0198514 0.0592158 -0.0306285  0.163838 0.210388 8.68831  0.163838 0.210388 8.68831  - - -  - - -  74.5356 66.6733 69.4077 63.5364 - - - - 74.8727 - - - - - - - 139 146 134 71 0 0 0 0
1703170553.705872000  1000.71 0 50.0029  -  nan  -0.0253893 -0.0255637 -0.00255966  -0.0253893 -0.0255637 -0.00255966  -0.360234 -0.0593319 10.875  -0.360234 -0.0593319 10.875  - - -  - - -  75.0567 68.1047 68.0364 63.9899 - - - - - - - 63.4921 - - - - 139 146 134 71 0 0 0 0
1703170553.710868000  1000.71 0 50.0046  -  nan  0.121629 -0.0878426 -0.0874142  0.121629 -0.0878426 -0.0874142  -0.0334596 -0.047746 9.79324  -0.0334596 -0.047746 9.79324  - - -  - - -  73.8303 67.9781 68.2789 63.9932 - - - - - 68.2221 - - - - - - 139 146 134 71 0 0 0 0
1703170553.715867000  1000.72 0 50.0051  -  nan  0.00420009 0.0309223 -0.0306988  0.00420009 0.0309223 -0.0306988  0.0675604 0.201242 9.54343  0.0675604 0.201242 9.54343  - - -  - - -  74.1098 67.0257 69.0885 64.1384 - - - - - - 69.2137 - - - - - 139 146 134 71 0 0 0 0
1703170553.720865000  1000.73 0 50.0056  -  nan  -0.0109696 -0.0256292 -0.00157007  -0.0109696 -0.0256292 -0.00157007  -0.173119 -0.0992969 9.96846  -0.173119 -0.0992969 9.96846  - - -  - - -  74.3783 68.0856 68.1463 64.1792 - - - - 74.173 - - - - - - - 139 146 134 71 0 0 0 0
