# logged on Tue Jan  9 15:09:42 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704809382.626147000  1000.94 0 50.0012  -  nan  -0.067671 0.0885585 -0.0230906  -0.067671 0.0885585 -0.0230906  -0.0331855 -0.0471412 9.73665  -0.0331855 -0.0471412 9.73665  - - -  - - -  77.1291 63.2219 71.2462 65.6731 - - - - - - 71.9321 - - - - - 139 146 134 70 0 0 0 0
1704809382.631162000  1000.95 0 50.0011  -  nan  -0.0240091 0.0725143 -0.0612969  -0.0240091 0.0725143 -0.0612969  0.113991 0.155792 9.14912  0.113991 0.155792 9.14912  - - -  - - -  77.6197 62.2427 71.7553 65.5316 - - - - - - - 65.7722 - - - - 139 146 134 70 0 0 0 0
1704809382.636152000  1000.94 0 50.0011  -  nan  -0.184677 0.120163 0.0357669  -0.184677 0.120163 0.0357669  -0.208909 0.291517 10.3893  -0.208909 0.291517 10.3893  - - -  - - -  78.0818 61.7823 72.3037 65.3357 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704809382.641149000  1000.95 0 50.0018  -  nan  -0.111397 0.0467518 -0.0110075  -0.111397 0.0467518 -0.0110075  -0.264236 -0.0508016 10.0775  -0.264236 -0.0508016 10.0775  - - -  - - -  77.6909 63.0324 71.5255 64.699 - - - - 78.3208 62.6566 - - - - - - 139 146 134 70 0 0 0 0
1704809382.646146000  1000.94 0 50.0016  -  nan  -0.0526473 0.0284341 -0.103461  -0.0526473 0.0284341 -0.103461  0.295912 0.108517 8.92658  0.295912 0.108517 8.92658  - - -  - - -  77.0491 62.679 71.9584 64.857 - - - - - - 71.5001 - - - - - 139 146 134 70 0 0 0 0
1704809382.651165000  1000.95 0 50.0005  -  nan  -0.200455 0.121318 0.0618406  -0.200455 0.121318 0.0618406  -0.343722 0.390548 10.3218  -0.343722 0.390548 10.3218  - - -  - - -  77.9098 61.318 72.9514 64.933 - - - - - - - 66.1376 - - - - 139 146 134 70 0 0 0 0
1704809382.656148000  1000.94 0 50.0005  -  nan  -0.112828 -0.0366407 0.0598327  -0.112828 -0.0366407 0.0598327  -0.35978 -0.150837 10.1423  -0.35978 -0.150837 10.1423  - - -  - - -  77.2969 62.8298 72.0709 64.578 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704809382.661152000  1000.95 0 49.9994  -  nan  0.00529632 0.0418115 -0.113565  0.00529632 0.0418115 -0.113565  0.48746 0.217093 8.0632  0.48746 0.217093 8.0632  - - -  - - -  75.379 62.7971 72.4927 65.553 - - - - 77.5555 62.1659 - - - - - - 139 146 134 70 0 0 0 0
1704809382.666147000  1000.94 0 50.0004  -  nan  -0.200749 0.15236 0.102485  -0.200749 0.15236 0.102485  -0.577879 0.288472 10.6715  -0.577879 0.288472 10.6715  - - -  - - -  76.9987 60.9699 73.418 65.6483 - - - - - - 72.59 - - - - - 139 146 134 70 0 0 0 0
1704809382.671154000  1000.95 0 50.0004  -  nan  -0.0703073 -0.0934931 0.0919508  -0.0703073 -0.0934931 0.0919508  -0.180123 -0.207258 10.7756  -0.180123 -0.207258 10.7756  - - -  - - -  75.9869 63.2399 71.7596 65.3485 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
