# logged on Tue Nov 14 14:33:39 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699968819.462791000  1000.38 0 50.0014  -  nan  -0.0382919 -0.038583 0.011938  -0.0382919 -0.038583 0.011938  0.0145255 0.0915948 9.82277  0.0145255 0.0915948 9.82277  - - -  - - -  76.5737 74.435 67.45 64.4361 - - - - 77.0535 - - - - - - - 139 146 0 71 0 0 0 0
1699968819.467788000  1000.37 0 50.0022  -  nan  0.00328902 0.0732927 0.00950499  0.00328902 0.0732927 0.00950499  -0.0322294 0.0930206 9.47824  -0.0322294 0.0930206 9.47824  - - -  - - -  76.2901 74.7798 67.4904 64.3241 - - - - - 73.7137 - - - - - - 139 146 0 71 0 0 0 0
1699968819.472790000  1000.37 0 50.002  -  nan  0.0192852 -0.0671171 -0.000248344  0.0192852 -0.0671171 -0.000248344  0.056504 -0.0489662 10.3515  0.056504 -0.0489662 10.3515  - - -  - - -  76.6489 74.7592 67.1248 64.624 - - - - - - - 64.1766 - - - - 139 146 0 71 0 0 0 0
1699968819.477782000  1000.36 0 49.9998  -  nan  -0.0523607 -0.0386579 0.0117425  -0.0523607 -0.0386579 0.0117425  0.0125416 0.0904087 10.1091  0.0125416 0.0904087 10.1091  - - -  - - -  75.782 74.5302 67.8013 64.5183 - - - - - - 67.8334 - - - - - 139 146 0 71 0 0 0 0
1699968819.482791000  1000.36 0 50.0018  -  nan  -0.0249078 0.0594953 0.0232453  -0.0249078 0.0594953 0.0232453  -0.0785834 0.0946862 9.07585  -0.0785834 0.0946862 9.07585  - - -  - - -  75.7262 74.9036 67.5637 64.1959 - - - - 76.8049 - - - - - - - 139 146 0 71 0 0 0 0
1699968819.487794000  1000.35 0 50.0016  -  nan  0.019422 -0.0673024 -0.0140055  0.019422 -0.0673024 -0.0140055  0.0561265 -0.00313888 10.5767  0.0561265 -0.00313888 10.5767  - - -  - - -  76.466 75.2705 67.0597 64.4416 - - - - - 74.8727 - - - - - - 139 146 0 71 0 0 0 0
1699968819.492778000  1000.35 0 50.0025  -  nan  -0.0384469 -0.0109173 0.0111898  -0.0384469 -0.0109173 0.0111898  0.0145255 0.0915948 9.82277  0.0145255 0.0915948 9.82277  - - -  - - -  76.0531 74.8319 67.6291 64.326 - - - - - - - 64.3501 - - - - 139 146 0 71 0 0 0 0
1699968819.497786000  1000.36 0 50.0012  -  nan  -0.0107204 0.0868654 -0.00482168  -0.0107204 0.0868654 -0.00482168  -0.0326138 0.00256451 9.19928  -0.0326138 0.00256451 9.19928  - - -  - - -  76.0633 75.0427 67.5213 63.9761 - - - - - - 67.8334 - - - - - 139 146 0 71 0 0 0 0
1699968819.502780000  1000.36 0 50.0021  -  nan  0.047623 -0.0525302 -0.0287551  0.047623 -0.0525302 -0.0287551  0.00976425 0.0436349 10.3427  0.00976425 0.0436349 10.3427  - - -  - - -  76.8546 75.1565 67.1084 64.1204 - - - - 77.5555 - - - - - - - 139 146 0 71 0 0 0 0
1699968819.507790000  1000.36 0 50.0029  -  nan  -0.0664476 -0.0112523 -0.00295823  -0.0664476 -0.0112523 -0.00295823  0.107628 -0.04778 10.0655  0.107628 -0.04778 10.0655  - - -  - - -  76.2542 74.3962 67.8424 64.1614 - - - - - 76.3126 - - - - - - 139 146 0 71 0 0 0 0
