# logged on Tue Dec  5 10:59:42 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701770382.533982000  1000.27 0 50.0009  -  nan  0.0324612 -0.170217 -0.00707709  0.0324612 -0.170217 -0.00707709  0.103786 -0.00454105 10.3041  0.103786 -0.00454105 10.3041  - - -  - - -  72.3193 71.7423 71.7789 68.3197 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701770382.538967000  1000.28 0 50.0005  -  nan  0.0323981 -0.155493 0.00599492  0.0323981 -0.155493 0.00599492  0.060606 -0.0434808 9.39481  0.060606 -0.0434808 9.39481  - - -  - - -  71.837 71.2015 71.8785 68.6141 - - - - 72.1501 72.1501 71.5001 67.8334 - - - - 139 146 0 70 0 0 0 0
1701770382.543960000  1000.3 0 50.0005  -  nan  0.0911069 -0.15576 0.010024  0.0911069 -0.15576 0.010024  0.0183559 0.101811 9.55202  0.0183559 0.101811 9.55202  - - -  - - -  71.8944 71.0085 71.9109 69.0634 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701770382.549062000  1000.31 0 50.0005  -  nan  0.0751909 -0.197693 0.0240156  0.0751909 -0.197693 0.0240156  0.0998523 -0.104782 10.4837  0.0998523 -0.104782 10.4837  - - -  - - -  71.7491 70.631 71.9498 69.6612 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701770382.554056000  1000.31 0 50.0044  -  nan  0.11948 -0.197894 0.0270551  0.11948 -0.197894 0.0270551  0.061159 -0.0422607 9.28064  0.061159 -0.0422607 9.28064  - - -  - - -  71.189 70.2402 72.0206 69.952 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701770382.558988000  1000.32 0 50.0002  -  nan  0.119846 -0.170073 0.0124982  0.119846 -0.170073 0.0124982  0.0631272 0.0527006 9.50023  0.0631272 0.0527006 9.50023  - - -  - - -  71.0031 69.9332 72.1435 70.4694 - - - - 71.0732 70.8617 72.1501 69.2137 - - - - 139 146 0 70 0 0 0 0
1701770382.563967000  1000.32 0 50.0002  -  nan  0.105224 -0.198371 0.0124985  0.105224 -0.198371 0.0124985  0.0557862 -0.00880619 10.7029  0.0557862 -0.00880619 10.7029  - - -  - - -  71.0956 69.4539 72.1448 70.8065 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701770382.569029000  1000.34 0 50.0002  -  nan  0.119876 -0.214755 -0.0140846  0.119876 -0.214755 -0.0140846  0.0634061 0.053316 9.44265  0.0634061 0.053316 9.44265  - - -  - - -  70.5653 68.944 72.5591 70.6272 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701770382.574028000  1000.34 0 50.0052  15.738  nan  0.105489 -0.184732 -0.00156345  0.105489 -0.184732 -0.00156345  0.0162338 0.0508758 9.67066  0.0162338 0.0508758 9.67066  - - -  - - -  70.5735 68.5313 73.0437 70.9299 - - - - - 69.4155 - - - - - - 139 146 0 70 0 0 0 0
1701770382.579072000  1000.33 0 50.0019  -  nan  0.0753849 -0.242917 -0.0161341  0.0753849 -0.242917 -0.0161341  0.104617 -0.00270555 10.1324  0.104617 -0.00270555 10.1324  - - -  - - -  70.5895 68.4088 72.8259 70.9119 - - - - 70.6514 - 73.0353 71.286 - - - - 139 146 0 70 0 0 0 0
1701770382.584084000  1000.33 0 50.0019  -  nan  0.0754857 -0.228736 -0.0166291  0.0754857 -0.228736 -0.0166291  0.0634061 0.053316 9.44265  0.0634061 0.053316 9.44265  - - -  - - -  70.236 68.1353 72.9802 70.8475 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701770382.589027000  1000.34 0 50.0019  -  nan  0.0466162 -0.183922 0.00797448  0.0466162 -0.183922 0.00797448  0.0614682 0.0490403 9.84275  0.0614682 0.0490403 9.84275  - - -  - - -  70.0598 68.2226 73.2843 70.853 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701770382.593980000  1000.34 0 50.0019  -  nan  0.0322597 -0.198581 -0.00608714  0.0322597 -0.198581 -0.00608714  0.196902 0.0429396 10.4146  0.196902 0.0429396 10.4146  - - -  - - -  69.8747 68.2013 73.1603 70.6912 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
