# logged on Tue Nov 14 13:17:08 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699964228.948932000  1000.1 0 50.0091  -  nan  0.0189461 0.0176709 -0.0163034  0.0189461 0.0176709 -0.0163034  0.0145338 0.0464866 9.65436  0.0145338 0.0464866 9.65436  - - -  - - -  71.1501 70.6154 68.2988 66.2805 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1699964228.953931000  1000.11 0 50.0103  -  nan  -0.0107616 0.0457373 0.0238148  -0.0107616 0.0457373 0.0238148  0.065255 0.0925454 9.59366  0.065255 0.0925454 9.59366  - - -  - - -  71.0609 70.8518 68.5277 66.2637 - - - - 70.2346 70.6514 69.2137 66.8807 - - - - 139 145 134 71 0 0 0 0
1699964228.958942000  1000.1 0 50.0103  -  nan  -0.0249078 0.0594953 0.0232453  -0.0249078 0.0594953 0.0232453  -0.0385805 0.0441102 10.2276  -0.0385805 0.0441102 10.2276  - - -  - - -  71.1248 71.4579 68.0826 66.0844 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1699964228.963933000  1000.11 0 50.0103  -  nan  -0.0102501 0.00288011 -0.00255042  -0.0102501 0.00288011 -0.00255042  -0.0314262 0.0483877 9.1951  -0.0314262 0.0483877 9.1951  - - -  - - -  70.8761 71.4582 67.9639 65.7714 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1699964228.968934000  1000.1 0 50.0102  -  nan  -0.0386255 0.045217 -0.00409036  -0.0386255 0.045217 -0.00409036  0.0668448 0.0934959 9.36421  0.0668448 0.0934959 9.36421  - - -  - - -  70.9834 71.5916 68.3819 65.824 - - - - - - 69.0131 - - - - - 139 145 134 71 0 0 0 0
1699964228.973935000  1000.11 0 50.0107  -  nan  -0.0245568 0.0452919 -0.00389489  -0.0245568 0.0452919 -0.00389489  -0.0417602 0.042209 10.6865  -0.0417602 0.042209 10.6865  - - -  - - -  71.3839 71.809 68.2247 65.5413 - - - - 70.8617 70.4424 - 65.9544 - - - - 139 145 134 71 0 0 0 0
1699964228.978943000  1000.1 0 50.0107  -  nan  0.0189698 -0.0107976 -0.00177142  0.0189698 -0.0107976 -0.00177142  -0.0773945 0.0953971 8.90426  -0.0773945 0.0953971 8.90426  - - -  - - -  70.946 71.7041 68.2244 65.0464 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1699964228.983931000  1000.11 0 50.0107  -  nan  0.00373566 0.0177759 -0.00275576  0.00373566 0.0177759 -0.00275576  0.0664604 0.00303979 9.08525  0.0664604 0.00303979 9.08525  - - -  - - -  71.0728 71.4341 68.6038 65.6859 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1699964228.988938000  1000.1 0 50.0106  -  nan  0.00373566 0.0177759 -0.00275576  0.00373566 0.0177759 -0.00275576  -0.0445375 -0.00456472 10.9202  -0.0445375 -0.00456472 10.9202  - - -  - - -  71.1361 71.8465 68.6561 65.5282 - - - - 70.4424 - - - - - - - 139 145 134 71 0 0 0 0
1699964228.993931000  1000.11 0 50.0115  -  nan  0.0753222 -0.0243309 -0.00061544  0.0753222 -0.0243309 -0.00061544  -0.127916 0.0939712 9.2481  -0.127916 0.0939712 9.2481  - - -  - - -  70.7093 71.6054 68.6765 65.3569 - - - - - 71.7154 68.4182 65.2316 - - - - 139 145 134 71 0 0 0 0
