# logged on Mon Jan  8 14:29:13 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704720553.637426000  1001.96 0 50.0088  -  nan  -0.0843915 -0.0209242 0.102987  -0.0843915 -0.0209242 0.102987  -0.205047 0.161277 8.63349  -0.205047 0.161277 8.63349  - - -  - - -  77.1582 66.1945 71.6582 61.3085 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704720553.642420000  1001.95 0 50.01  -  nan  -0.0111411 -0.0986749 -0.0271629  -0.0111411 -0.0986749 -0.0271629  -0.309704 0.179895 11.5382  -0.309704 0.179895 11.5382  - - -  - - -  76.266 68.6372 70.2443 62.7285 - - - - - 69.2137 69.8227 - - - - - 139 146 134 70 0 0 0 0
1704720553.647419000  1001.95 0 50.01  -  nan  0.00484836 -0.044835 -0.124127  0.00484836 -0.044835 -0.124127  0.241346 -0.141692 9.29091  0.241346 -0.141692 9.29091  - - -  - - -  76.0605 67.348 71.0088 61.7339 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704720553.652411000  1001.94 0 50.0109  -  nan  -0.0262274 0.0217912 0.090889  -0.0262274 0.0217912 0.090889  0.0740969 0.123158 7.55485  0.0740969 0.123158 7.55485  - - -  - - -  76.7271 66.163 71.8099 60.9937 - - - - 76.0688 - - 61.3648 - - - - 139 146 134 70 0 0 0 0
1704720553.657419000  1001.94 0 50.0109  -  nan  -0.0547206 -0.0238056 0.0361621  -0.0547206 -0.0238056 0.0361621  -0.44735 0.181115 11.4231  -0.44735 0.181115 11.4231  - - -  - - -  76.6807 68.537 70.242 62.9698 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704720553.662406000  1001.94 0 50.0118  -  nan  0.0484252 -0.0727473 -0.0783917  0.0484252 -0.0727473 -0.0783917  0.191059 -0.199332 10.0367  0.191059 -0.199332 10.0367  - - -  - - -  76.024 68.2006 70.1889 62.3462 - - - - - 66.6933 71.286 - - - - - 139 146 134 70 0 0 0 0
1704720553.667416000  1001.94 0 50.0118  -  nan  0.0193854 0.0897875 0.0236186  0.0193854 0.0897875 0.0236186  0.215798 0.177139 7.15229  0.215798 0.177139 7.15229  - - -  - - -  76.5224 66.8121 71.1968 62.0948 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704720553.672412000  1001.94 0 50.0105  -  nan  -0.0258436 0.00496934 0.0507184  -0.0258436 0.00496934 0.0507184  -0.401563 0.1805 11.481  -0.401563 0.1805 11.481  - - -  - - -  77.3613 68.2361 70.0759 63.1424 - - - - 76.0688 - - 62.3286 - - - - 139 146 134 70 0 0 0 0
1704720553.677414000  1001.94 0 50.0105  -  nan  0.0629905 -0.0287119 -0.0653554  0.0629905 -0.0287119 -0.0653554  0.147204 -0.194452 9.57964  0.147204 -0.194452 9.57964  - - -  - - -  76.3265 68.1326 69.7623 62.7504 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704720553.682417000  1001.93 0 50.0114  -  nan  0.0488175 0.102211 -0.0155982  0.0488175 0.102211 -0.0155982  0.121732 0.172874 7.55072  0.121732 0.172874 7.55072  - - -  - - -  76.8883 66.8666 70.8435 62.5613 - - - - - 66.8807 70.8617 - - - - - 139 146 134 70 0 0 0 0
1704720553.687418000  1001.93 0 50.0114  -  nan  0.0188183 0.0336024 0.0391655  0.0188183 0.0336024 0.0391655  -0.17031 0.13628 10.9729  -0.17031 0.13628 10.9729  - - -  - - -  78.1073 67.4589 70.3378 63.2075 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1704720553.692414000  1001.92 0 50.0102  -  nan  0.0778958 0.086775 -0.041227  0.0778958 0.086775 -0.041227  -0.126774 -0.0986815 9.91121  -0.126774 -0.0986815 9.91121  - - -  - - -  77.05 67.9868 69.9099 63.0558 - - - - 75.5858 - - 62.004 - - - - 139 146 134 71 0 0 0 0
1704720553.697411000  1001.91 0 50.0102  -  nan  0.0778582 0.057869 -0.0538041  0.0778582 0.057869 -0.0538041  0.0231436 0.066122 8.24401  0.0231436 0.066122 8.24401  - - -  - - -  77.7227 66.9728 70.2239 62.9371 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1704720553.702417000  1001.9 0 50.0093  -  nan  0.019247 0.0466996 0.0115366  0.019247 0.0466996 0.0115366  0.106528 0.139325 10.6899  0.106528 0.139325 10.6899  - - -  - - -  78.0735 67.0644 70.8139 63.3699 - - - - - 68.6153 70.028 - - - - - 139 146 134 71 0 0 0 0
1704720553.707416000  1001.89 0 50.0093  -  nan  0.0339691 0.0891797 0.0110412  0.0339691 0.0891797 0.0110412  -0.309592 -0.00392568 10.2435  -0.309592 -0.00392568 10.2435  - - -  - - -  77.6854 67.7445 69.7608 63.1325 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1704720553.712410000  1001.88 0 50.0084  -  nan  0.0924312 -0.0419449 -0.0356766  0.0924312 -0.0419449 -0.0356766  0.0160768 0.00521997 9.3901  0.0160768 0.00521997 9.3901  - - -  - - -  77.5884 67.6011 69.797 63.0696 - - - - 78.8395 - - 63.4921 - - - - 139 146 134 71 0 0 0 0
1704720553.717415000  1001.88 0 50.0084  -  nan  0.0201537 0.101761 -0.0321134  0.0201537 0.101761 -0.0321134  0.298223 0.206123 9.08841  0.298223 0.206123 9.08841  - - -  - - -  77.3053 66.9755 71.281 63.1028 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1704720553.722416000  1001.88 0 50.0077  -  nan  -0.054563 0.0928315 0.0864349  -0.054563 0.0928315 0.0864349  -0.540854 0.0835094 11.2606  -0.540854 0.0835094 11.2606  - - -  - - -  78.2137 67.7404 70.4304 62.6214 - - - - - 67.0691 70.2346 - - - - - 139 146 134 71 0 0 0 0
1704720553.727421000  1001.88 0 50.0077  -  nan  0.077063 -0.101242 -0.0754226  0.077063 -0.101242 -0.0754226  0.151358 -0.0465258 9.68042  0.151358 -0.0465258 9.68042  - - -  - - -  76.8061 68.8968 69.8705 62.3436 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1704720553.732417000  1001.88 0 50.0053  -  nan  -0.009287 0.114994 -0.0617923  -0.009287 0.114994 -0.0617923  0.393305 0.258883 8.79968  0.393305 0.258883 8.79968  - - -  - - -  77.102 67.3114 71.8256 62.2697 - - - - 77.0535 - - 62.9882 - - - - 139 146 134 71 0 0 0 0
1704720553.737422000  1001.88 0 50.0053  -  nan  -0.0987288 0.0379664 0.127116  -0.0987288 0.0379664 0.127116  -0.590853 -0.0167317 11.4398  -0.590853 -0.0167317 11.4398  - - -  - - -  78.3043 68.2712 70.8367 61.771 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1704720553.742405000  1001.88 0 50.0053  -  nan  0.0924496 -0.0865881 -0.0612903  0.0924496 -0.0865881 -0.0612903  0.110025 0.0545361 9.32882  0.110025 0.0545361 9.32882  - - -  - - -  76.1612 70.1938 70.0355 61.8721 - - - - - 67.6407 70.2346 - - - - - 139 146 134 71 0 0 0 0
1704720553.747417000  1001.87 0 50.0053  -  nan  -0.00881349 0.158011 -0.0768795  -0.00881349 0.158011 -0.0768795  0.252265 0.204287 9.25983  0.252265 0.204287 9.25983  - - -  - - -  76.7617 68.0179 72.0732 61.8099 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1704720553.752408000  1001.88 0 50.0052  -  nan  -0.0845739 0.0242613 0.142168  -0.0845739 0.0242613 0.142168  -0.451261 -0.0568916 10.646  -0.451261 -0.0568916 10.646  - - -  - - -  78.0355 68.6866 71.3796 60.9975 - - - - 77.3036 - - 62.822 - - - - 139 146 134 71 0 0 0 0
1704720553.757409000  1001.87 0 50.0052  -  nan  0.136283 -0.0295866 -0.0739038  0.136283 -0.0295866 -0.0739038  0.110952 0.149086 9.77657  0.110952 0.149086 9.77657  - - -  - - -  75.9463 70.5852 70.4364 61.6912 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1704720553.762413000  1001.88 0 50.0033  -  nan  0.00503193 0.100747 -0.0603077  0.00503193 0.100747 -0.0603077  0.0616573 0.0957106 10.1232  0.0616573 0.0957106 10.1232  - - -  - - -  76.8839 68.2664 71.9583 61.5308 - - - - - 70.028 71.0732 - - - - - 139 146 134 71 0 0 0 0
1704720553.767412000  1001.87 0 50.0033  -  nan  -0.0123113 0.0233913 0.133549  -0.0123113 0.0233913 0.133549  -0.0797149 -0.0944164 9.51244  -0.0797149 -0.0944164 9.51244  - - -  - - -  77.5906 68.6357 71.3583 60.9645 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1704720553.772410000  1001.87 0 50.0017  -  nan  0.137096 0.0848812 -0.077899  0.137096 0.0848812 -0.077899  -0.119082 0.193921 10.2271  -0.119082 0.193921 10.2271  - - -  - - -  76.2017 70.1752 70.5179 62.3052 - - - - 77.0535 - - 61.3648 - - - - 139 146 134 71 0 0 0 0
1704720553.777415000  1001.87 0 50.0017  -  nan  0.0778582 0.057869 -0.0538041  0.0778582 0.057869 -0.0538041  0.0504681 -0.112103 11.1684  0.0504681 -0.112103 11.1684  - - -  - - -  76.9829 68.7648 71.3357 61.8226 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1704720553.782412000  1001.86 0 50.0023  -  nan  0.0921861 0.0905398 0.0557713  0.0921861 0.0905398 0.0557713  0.208479 -0.0221339 7.39831  0.208479 -0.0221339 7.39831  - - -  - - -  77.2306 67.8661 71.1826 61.2371 - - - - - 70.8617 71.0732 - - - - - 139 146 134 71 0 0 0 0
1704720553.787426000  1001.86 0 50.0023  -  nan  0.136743 0.129596 -0.0251159  0.136743 0.129596 -0.0251159  -0.448735 0.17806 11.709  -0.448735 0.17806 11.709  - - -  - - -  77.536 68.937 70.7203 62.7531 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1704720553.792415000  1001.86 0 49.999  -  nan  0.180718 0.014313 -0.0588176  0.180718 0.014313 -0.0588176  0.13891 -0.212754 11.2922  0.13891 -0.212754 11.2922  - - -  - - -  77.4535 67.9147 70.7849 62.0755 - - - - 77.8089 - - 61.3648 - - - - 139 146 134 71 0 0 0 0
1704720553.797412000  1001.86 0 49.999  -  nan  0.166582 0.174142 0.00351673  0.166582 0.174142 0.00351673  0.347994 0.0302273 7.05242  0.347994 0.0302273 7.05242  - - -  - - -  77.2023 66.7608 71.0962 62.1597 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1704720553.802408000  1001.86 0 49.9983  -  nan  0.15013 0.103917 0.0456677  0.15013 0.103917 0.0456677  -0.543983 0.122859 12.2261  -0.543983 0.122859 12.2261  - - -  - - -  78.3529 67.6443 70.6252 63.2382 - - - - - 69.4155 71.0732 - - - - - 139 146 134 71 0 0 0 0
1704720553.807417000  1001.86 0 49.9983  -  nan  0.223768 -0.0152603 -0.0548235  0.223768 -0.0152603 -0.0548235  0.138172 -0.260634 11.1249  0.138172 -0.260634 11.1249  - - -  - - -  77.1632 67.423 70.2172 62.7871 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1704720553.812411000  1001.86 0 49.9976  -  nan  0.196026 0.186527 -0.0366691  0.196026 0.186527 -0.0366691  0.30614 0.131084 6.8149  0.30614 0.131084 6.8149  - - -  - - -  77.0086 65.9055 71.4241 62.294 - - - - 75.8265 - - 61.8429 - - - - 139 146 134 71 0 0 0 0
1704720553.817416000  1001.85 0 49.9976  -  nan  0.149865 0.0902777 0.0597296  0.149865 0.0902777 0.0597296  -0.455928 0.0234282 12.2357  -0.455928 0.0234282 12.2357  - - -  - - -  78.5294 66.8348 70.9362 63.3228 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1704720553.822409000  1001.86 0 49.9991  -  nan  0.26843 0.0133728 -0.0663763  0.26843 0.0133728 -0.0663763  0.0521271 -0.108443 10.8259  0.0521271 -0.108443 10.8259  - - -  - - -  76.9994 67.2127 70.2224 63.0638 - - - - - 66.1376 69.2137 - - - - - 139 146 134 71 0 0 0 0
1704720553.827417000  1001.85 0 49.9991  -  nan  0.181304 0.144047 -0.0361738  0.181304 0.144047 -0.0361738  0.164292 0.118882 7.95562  0.164292 0.118882 7.95562  - - -  - - -  76.7886 65.8774 71.124 62.6893 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1704720553.832411000  1001.86 0 50.0001  -  nan  0.120698 0.0914934 0.0848844  0.120698 0.0914934 0.0848844  -0.312357 -0.0100263 10.8144  -0.312357 -0.0100263 10.8144  - - -  - - -  78.1383 66.3286 70.9003 63.1034 - - - - 78.5793 - - 63.3232 - - - - 139 146 134 71 0 0 0 0
