# logged on Thu Dec 21 15:43:52 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1703169832.885017000  1001.17 0 49.999  -  nan  -0.127503 -0.0692012 -0.0216042  -0.127503 -0.0692012 -0.0216042  -0.181598 -0.164259 11.3996  -0.181598 -0.164259 11.3996  - - -  - - -  77.0406 71.1676 71.5138 62.3945 - - - - - 72.3694 71.0732 - - - - - 139 0 134 71 0 0 0 0
1703169832.890041000  1001.18 0 49.9971  -  nan  0.00491153 -0.0595592 -0.137199  0.00491153 -0.0595592 -0.137199  0.0560877 -0.145957 9.68867  0.0560877 -0.145957 9.68867  - - -  - - -  76.7361 70.2219 71.4857 61.775 - - - - 76.8049 - - - - - - - 139 0 134 71 0 0 0 0
1703169832.895037000  1001.19 0 49.9971  -  nan  -0.0679178 -0.0422993 -0.0738375  -0.0679178 -0.0422993 -0.0738375  -0.112626 0.300673 9.53315  -0.112626 0.300673 9.53315  - - -  - - -  77.4434 68.9479 72.3464 61.9451 - - - - - - - - - - - - 139 0 134 71 0 0 0 0
1703169832.900044000  1001.19 0 49.9964  -  nan  -0.127093 -0.0114607 -0.0236195  -0.127093 -0.0114607 -0.0236195  -0.0366876 -0.101122 10.1402  -0.0366876 -0.101122 10.1402  - - -  - - -  77.1041 70.1396 71.8553 61.9233 - - - - - - - 62.822 - - - - 139 0 134 71 0 0 0 0
1703169832.905040000  1001.19 0 49.998  -  nan  -0.0102088 -0.0872434 -0.0964619  -0.0102088 -0.0872434 -0.0964619  -0.0833069 -0.102342 10.2541  -0.0833069 -0.102342 10.2541  - - -  - - -  76.9703 69.8754 71.6128 62.0127 - - - - - 70.4424 70.8617 - - - - - 139 0 134 71 0 0 0 0
1703169832.910041000  1001.19 0 49.9972  -  nan  -0.0969843 -0.0269017 -0.0491777  -0.0969843 -0.0269017 -0.0491777  -0.0240192 0.202462 9.42858  -0.0240192 0.202462 9.42858  - - -  - - -  77.0703 68.7017 72.5158 61.7181 - - - - 75.8265 - - - - - - - 139 0 134 71 0 0 0 0
1703169832.915017000  1001.19 0 49.9972  -  nan  -0.155887 0.0185894 -0.013057  -0.155887 0.0185894 -0.013057  -0.081284 -0.144132 9.5169  -0.081284 -0.144132 9.5169  - - -  - - -  77.1881 70.0573 71.6918 61.7295 - - - - - - - - - - - - 139 0 134 71 0 0 0 0
1703169832.919996000  1001.19 0 49.9955  -  nan  -0.0534349 -0.057089 -0.0859199  -0.0534349 -0.057089 -0.0859199  -0.0821337 -0.00819082 10.6443  -0.0821337 -0.00819082 10.6443  - - -  - - -  77.2106 70.2772 71.5438 61.7793 - - - - - - - 62.822 - - - - 139 0 134 71 0 0 0 0
1703169832.924998000  1001.19 0 49.9993  -  nan  -0.155723 0.0180471 -0.026624  -0.155723 0.0180471 -0.026624  -0.024109 0.248517 9.76663  -0.024109 0.248517 9.76663  - - -  - - -  77.1084 69.1067 72.1174 61.7263 - - - - - 70.4424 71.9321 - - - - - 139 0 134 71 0 0 0 0
1703169832.930000000  1001.2 0 49.9993  -  nan  -0.126992 0.00272114 -0.0241145  -0.126992 0.00272114 -0.0241145  0.101781 -0.239287 9.12708  0.101781 -0.239287 9.12708  - - -  - - -  77.2465 70.0811 71.4607 61.6899 - - - - 76.3126 - - - - - - - 139 0 134 71 0 0 0 0
