# logged on Tue Jan  2 13:17:51 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704197871.598989000  1001.24 0 50.0101  -  nan  -0.0243743 0.117268 -0.0075448  -0.0243743 0.117268 -0.0075448  0.22113 0.557986 8.60089  0.22113 0.557986 8.60089  - - -  - - -  78.791 65.2938 72.1835 64.5345 - - - - - - - - - - - - 139 0 134 71 0 0 0 0
1704197871.603991000  1001.25 0 50.0092  -  nan  -0.142413 0.123259 0.121107  -0.142413 0.123259 0.121107  -0.50211 -0.254533 10.5494  -0.50211 -0.254533 10.5494  - - -  - - -  79.848 67.2196 70.7191 64.142 - - - - - - 70.4424 62.6566 - - - - 139 0 134 71 0 0 0 0
1704197871.608983000  1001.24 0 50.0082  -  nan  0.180867 -0.133405 -0.150704  0.180867 -0.133405 -0.150704  0.101232 -0.101737 10.1988  0.101232 -0.101737 10.1988  - - -  - - -  79.2018 68.1111 69.9386 64.2248 - - - - - 67.0691 - - - - - - 139 0 134 71 0 0 0 0
1704197871.613988000  1001.25 0 50.0104  -  nan  -0.126341 0.235924 0.0492618  -0.126341 0.235924 0.0492618  0.130845 0.608316 8.53816  0.130845 0.608316 8.53816  - - -  - - -  79.4301 64.936 72.4643 64.1377 - - - - 79.1014 - - - - - - - 139 0 134 71 0 0 0 0
1704197871.618988000  1001.24 0 50.0104  -  nan  -0.142186 0.107992 0.0944677  -0.142186 0.107992 0.0944677  -0.361714 -0.155102 10.5414  -0.361714 -0.155102 10.5414  - - -  - - -  80.5302 67.9304 69.9613 63.7886 - - - - - - - - - - - - 139 0 134 71 0 0 0 0
1704197871.623992000  1001.25 0 50.0113  -  nan  0.0779769 -0.0451674 -0.119108  0.0779769 -0.0451674 -0.119108  -0.0327544 -0.000880666 9.96062  -0.0327544 -0.000880666 9.96062  - - -  - - -  79.5122 68.7956 69.3986 64.2506 - - - - - - 71.286 63.3232 - - - - 139 0 134 71 0 0 0 0
1704197871.628981000  1001.24 0 50.0092  -  nan  -0.16991 0.192562 0.0478133  -0.16991 0.192562 0.0478133  0.075648 0.449409 9.4646  0.075648 0.449409 9.4646  - - -  - - -  79.8798 66.3137 71.4378 64.175 - - - - - 67.0691 - - - - - - 139 0 134 71 0 0 0 0
1704197871.633988000  1001.25 0 50.0103  -  nan  -0.111548 0.11983 0.0407856  -0.111548 0.11983 0.0407856  -0.128622 -0.149012 9.97326  -0.128622 -0.149012 9.97326  - - -  - - -  80.5364 68.5281 69.6566 63.6349 - - - - 80.4376 - - - - - - - 139 0 134 71 0 0 0 0
1704197871.638987000  1001.24 0 50.0103  -  nan  -0.0386304 0.0442161 -0.0612966  -0.0386304 0.0442161 -0.0612966  -0.307228 0.0466 10.0684  -0.307228 0.0466 10.0684  - - -  - - -  80.2994 68.5851 69.5294 64.0832 - - - - - - - - - - - - 139 0 134 71 0 0 0 0
1704197871.643992000  1001.25 0 50.0093  -  nan  -0.140926 0.118339 -0.00196526  -0.140926 0.118339 -0.00196526  0.344847 0.346113 9.93213  0.344847 0.346113 9.93213  - - -  - - -  80.2015 67.542 70.7288 63.9027 - - - - - - 70.4424 65.0533 - - - - 139 0 134 71 0 0 0 0
