# logged on Mon Nov 20 15:45:31 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1700491531.436139000  1000.45 0 50.0005  -  nan  0.362059 -0.163871 -0.0488669  0.362059 -0.163871 -0.0488669  0.358167 0.276805 10.267  0.358167 0.276805 10.267  - - -  - - -  76.9987 75.2086 76.2764 71.8599 - - - - 76.8049 74.173 - - - - - - 139 145 134 71 0 0 0 0
1700491531.441134000  1000.45 0 50.0005  -  nan  -0.0807306 0.00269092 0.0102293  -0.0807306 0.00269092 0.0102293  -0.0486701 -0.420573 9.98378  -0.0486701 -0.420573 9.98378  - - -  - - -  74.8641 71.8161 79.0489 74.1011 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1700491531.446137000  1000.46 0 50.0005  -  nan  -0.167517 0.198243 0.031266  -0.167517 0.198243 0.031266  -0.131488 0.0467222 9.59645  -0.131488 0.0467222 9.59645  - - -  - - -  75.9446 74.6723 77.0682 72.0876 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1700491531.451137000  1000.45 0 50.0011  -  nan  0.406038 -0.276465 -0.0589775  0.406038 -0.276465 -0.0589775  0.306563 0.0911195 9.93958  0.306563 0.0911195 9.93958  - - -  - - -  75.762 74.0549 77.1615 72.4498 - - - - - - 77.5555 72.59 - - - - 139 145 134 71 0 0 0 0
1700491531.456138000  1000.45 0 50.0029  -  nan  -0.252994 0.184141 0.0442104  -0.252994 0.184141 0.0442104  -0.288636 -0.509851 8.95804  -0.288636 -0.509851 8.95804  - - -  - - -  74.4518 72.0402 78.944 73.6597 - - - - 76.558 73.0353 - - - - - - 139 145 134 71 0 0 0 0
1700491531.461131000  1000.45 0 50.0029  -  nan  0.118378 0.00356486 -0.000763237  0.118378 0.00356486 -0.000763237  0.0669643 0.369885 10.3712  0.0669643 0.369885 10.3712  - - -  - - -  76.067 75.2781 76.5602 71.3371 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1700491531.466131000  1000.45 0 50.0029  -  nan  0.3341 -0.220155 -0.0339776  0.3341 -0.220155 -0.0339776  0.201435 -0.280719 9.8581  0.201435 -0.280719 9.8581  - - -  - - -  74.1876 71.9026 79.0006 73.6389 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1700491531.471130000  1000.45 0 50.0049  -  nan  -0.296972 0.296735 0.054321  -0.296972 0.296735 0.054321  -0.187097 -0.32369 9.17113  -0.187097 -0.32369 9.17113  - - -  - - -  74.4356 74.0449 77.9775 72.35 - - - - - - 78.3208 73.0353 - - - - 139 145 134 71 0 0 0 0
1700491531.476138000  1000.44 0 50.0059  -  nan  0.405407 -0.163826 -0.0620236  0.405407 -0.163826 -0.0620236  0.312648 0.371076 10.0856  0.312648 0.371076 10.0856  - - -  - - -  75.2438 75.0714 76.9328 71.4313 - - - - 74.638 74.638 - - - - - - 139 145 134 71 0 0 0 0
1700491531.481130000  1000.45 0 50.0059  -  nan  0.104986 -0.0670462 -0.0275584  0.104986 -0.0670462 -0.0275584  0.0495295 -0.604833 9.31318  0.0495295 -0.604833 9.31318  - - -  - - -  73.2899 70.9598 79.7382 73.9737 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1700491531.486184000  1000.44 0 50.0059  -  nan  -0.139855 0.283366 0.029359  -0.139855 0.283366 0.029359  -0.0817631 0.0927851 9.53475  -0.0817631 0.0927851 9.53475  - - -  - - -  74.1854 74.0045 78.3293 71.7642 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1700491531.491130000  1000.45 0 50.0083  -  nan  0.477149 -0.233599 -0.0591351  0.477149 -0.233599 -0.0591351  0.310995 0.231928 9.81206  0.310995 0.231928 9.81206  - - -  - - -  74.6514 73.863 77.6918 71.8029 - - - - - - - 72.59 - - - - 139 145 134 71 0 0 0 0
1700491531.496138000  1000.44 0 50.0082  -  nan  -0.167499 0.170763 0.0457713  -0.167499 0.170763 0.0457713  -0.096323 -0.649949 8.91536  -0.096323 -0.649949 8.91536  - - -  - - -  72.8859 71.4132 79.5938 73.5429 - - - - 73.9426 72.812 79.1014 - - - - - 139 145 134 71 0 0 0 0
1700491531.501137000  1000.44 0 50.0082  -  nan  0.0177967 0.198672 -0.00743621  0.0177967 0.198672 -0.00743621  0.170406 0.418085 9.79406  0.170406 0.418085 9.79406  - - -  - - -  73.9823 74.7669 77.7622 71.1944 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1700491531.506130000  1000.43 0 50.0082  -  nan  0.376526 -0.07962 -0.0371716  0.376526 -0.07962 -0.0371716  0.35291 -0.0468295 9.83782  0.35291 -0.0468295 9.83782  - - -  - - -  74.0013 72.8687 78.0779 72.3266 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1700491531.511157000  1000.43 0 50.0075  -  nan  -0.311493 0.353165 0.0663596  -0.311493 0.353165 0.0663596  -0.14483 -0.604118 9.1392  -0.14483 -0.604118 9.1392  - - -  - - -  73.2157 72.2443 78.7977 72.5693 - - - - - - 78.3208 72.3694 - - - - 139 145 134 71 0 0 0 0
1700491531.516145000  1000.43 0 50.01  -  nan  0.433051 -0.0512224 -0.0784359  0.433051 -0.0512224 -0.0784359  0.270067 0.419511 9.45057  0.270067 0.419511 9.45057  - - -  - - -  74.7544 75.4431 76.5648 69.841 - - - - 73.7137 72.812 - - - - - - 139 145 134 71 0 0 0 0
1700491531.521134000  1000.43 0 50.01  -  nan  0.217814 0.0875107 -0.0439062  0.217814 0.0875107 -0.0439062  0.301274 -0.369753 9.00629  0.301274 -0.369753 9.00629  - - -  - - -  73.6096 72.5219 78.5571 71.6287 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
