# logged on Fri Dec  1 18:10:03 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701450603.979326000  1001.29 0 50.0007  -  nan  -0.636544 0.453475 -0.0069666  -0.636544 0.453475 -0.0069666  0.252355 0.158232 8.92178  0.252355 0.158232 8.92178  - - -  - - -  69.2709 66.3961 70.168 75.1528 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701450603.984322000  1001.28 0 50.0006  -  nan  -0.606511 0.452797 -0.0184837  -0.606511 0.452797 -0.0184837  0.250885 0.201242 9.54477  0.250885 0.201242 9.54477  - - -  - - -  69.6563 66.6746 69.9731 75.0818 - - - - 68.2221 - - - - - - - 139 146 134 71 0 0 0 0
1701450603.989328000  1001.29 0 50.0015  -  nan  -0.650661 0.496086 -0.00944114  -0.650661 0.496086 -0.00944114  0.253282 0.252782 9.36954  0.253282 0.252782 9.36954  - - -  - - -  69.6158 66.3927 70.2454 75.0754 - - - - - 66.6933 - 75.3466 - - - - 139 146 134 71 0 0 0 0
1701450603.994327000  1001.28 0 50.0023  -  nan  -0.693813 0.511477 -0.0129403  -0.693813 0.511477 -0.0129403  0.250975 0.155187 9.20672  0.250975 0.155187 9.20672  - - -  - - -  69.8882 66.7007 69.9229 74.9114 - - - - - - 70.8617 - - - - - 139 146 134 71 0 0 0 0
1701450603.999327000  1001.29 0 50.0023  -  nan  -0.636343 0.481839 -0.00795656  -0.636343 0.481839 -0.00795656  0.297581 0.250957 9.54063  0.297581 0.250957 9.54063  - - -  - - -  69.9123 66.9524 69.7175 74.9937 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701450604.004323000  1001.28 0 50.0011  -  nan  -0.709288 0.555178 0.0116485  -0.709288 0.555178 0.0116485  0.20557 0.154572 9.26397  0.20557 0.154572 9.26397  - - -  - - -  69.6439 66.7586 69.8829 75.2322 - - - - 70.028 - - - - - - - 139 146 134 71 0 0 0 0
1701450604.009327000  1001.29 0 50.0018  -  nan  -0.693977 0.51202 0.000626738  -0.693977 0.51202 0.000626738  0.247747 0.101811 9.5537  0.247747 0.101811 9.5537  - - -  - - -  69.8899 67.3874 69.4312 75.0564 - - - - - 67.2585 - 74.638 - - - - 139 146 134 71 0 0 0 0
1701450604.014329000  1001.28 0 50.0016  -  nan  -0.679292 0.525594 -0.0124456  -0.679292 0.525594 -0.0124456  0.296839 0.203067 9.37433  0.296839 0.203067 9.37433  - - -  - - -  69.6546 67.3776 69.5986 75.135 - - - - - - 70.6514 - - - - - 139 146 134 71 0 0 0 0
1701450604.019307000  1001.29 0 50.0016  -  nan  -0.752237 0.598933 0.00715944  -0.752237 0.598933 0.00715944  0.161905 0.206123 9.08741  0.161905 0.206123 9.08741  - - -  - - -  69.6931 67.3177 69.7602 75.174 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701450604.024307000  1001.28 0 50.0015  -  nan  -0.709162 0.52573 -0.0144955  -0.709162 0.52573 -0.0144955  0.245072 0.0496556 9.78651  0.245072 0.0496556 9.78651  - - -  - - -  70.1276 67.9858 69.3504 74.8778 - - - - 70.4424 - - - - - - - 139 146 134 71 0 0 0 0
1701450604.029308000  1001.29 0 50.0002  -  nan  -0.737736 0.5395 -0.0305367  -0.737736 0.5395 -0.0305367  0.249316 0.151527 9.54923  0.249316 0.151527 9.54923  - - -  - - -  69.661 67.7213 69.8042 75.013 - - - - - 67.6407 - 74.638 - - - - 139 146 134 71 0 0 0 0
1701450604.034306000  1001.28 0 50.0012  -  nan  -0.781477 0.64053 -0.0235094  -0.781477 0.64053 -0.0235094  0.209625 0.209772 8.74623  0.209625 0.209772 8.74623  - - -  - - -  69.8467 67.8036 69.9167 74.8049 - - - - - - 70.028 - - - - - 139 146 134 71 0 0 0 0
