# logged on Tue Jan  9 13:33:49 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704803629.443992000  999.601 0 50.0013  -  nan  -0.0292307 -0.351892 0.132074  -0.0292307 -0.351892 0.132074  -0.230061 -0.215799 11.5745  -0.230061 -0.215799 11.5745  - - -  - - -  77.3632 67.6834 69.1658 64.5487 - - - - - - - 64.1766 - - - - 138 146 134 70 0 0 0 0
1704803629.448991000  999.602 0 50.0011  -  nan  0.0639784 -0.105593 -0.186886  0.0639784 -0.105593 -0.186886  0.57913 0.169818 7.84  0.57913 0.169818 7.84  - - -  - - -  74.0229 67.7084 69.8475 65.3662 - - - - 76.558 - - - - - - - 138 146 134 70 0 0 0 0
1704803629.453989000  999.601 0 50.002  -  nan  -0.172532 -0.0330812 0.138175  -0.172532 -0.0330812 0.138175  -0.618505 0.346728 9.8675  -0.618505 0.346728 9.8675  - - -  - - -  77.4669 64.9246 71.7249 64.1551 - - - - - 66.6933 - - - - - - 138 146 134 70 0 0 0 0
1704803629.458985000  999.602 0 50.0018  -  nan  -0.0722179 -0.337043 0.115008  -0.0722179 -0.337043 0.115008  -0.0887694 -0.0228323 12.0144  -0.0887694 -0.0228323 12.0144  - - -  - - -  75.7147 68.9656 69.4764 64.2324 - - - - - - 70.8617 - - - - - 138 146 134 70 0 0 0 0
1704803629.463990000  999.601 0 50.0016  -  nan  -0.0233684 -0.076831 -0.193884  -0.0233684 -0.076831 -0.193884  0.296951 0.0192461 8.07963  0.296951 0.0192461 8.07963  - - -  - - -  74.0575 67.7383 70.7938 64.279 - - - - - - - 64.8761 - - - - 138 146 134 70 0 0 0 0
1704803629.468991000  999.601 0 50.0025  -  nan  -0.143876 -0.106219 0.11553  -0.143876 -0.106219 0.11553  -0.344806 0.250342 9.59352  -0.344806 0.250342 9.59352  - - -  - - -  76.6493 66.116 71.7409 63.414 - - - - 77.0535 - - - - - - - 138 146 134 70 0 0 0 0
1704803629.473982000  999.601 0 50.0022  -  nan  -0.114828 -0.221836 0.121611  -0.114828 -0.221836 0.121611  -0.400083 0.27627 11.8146  -0.400083 0.27627 11.8146  - - -  - - -  76.0632 68.3465 70.4055 63.8767 - - - - - 68.2221 - - - - - - 138 146 134 70 0 0 0 0
1704803629.478996000  999.599 0 50.003  -  nan  -0.0675974 -0.116972 -0.140131  -0.0675974 -0.116972 -0.140131  0.104087 -0.141692 9.28991  0.104087 -0.141692 9.28991  - - -  - - -  74.4955 68.21 70.426 63.7095 - - - - - - 69.8227 - - - - - 138 146 134 70 0 0 0 0
1704803629.484002000  999.597 0 50.0037  -  nan  -0.098718 -0.0802648 0.0623426  -0.098718 -0.0802648 0.0623426  -0.109776 0.260708 8.62524  -0.109776 0.260708 8.62524  - - -  - - -  76.2796 66.5803 71.6341 62.6608 - - - - - - - 63.6618 - - - - 138 146 134 70 0 0 0 0
1704803629.489001000  999.599 0 50.0033  -  nan  -0.142982 -0.123694 0.0336541  -0.142982 -0.123694 0.0336541  -0.445129 0.324776 11.9229  -0.445129 0.324776 11.9229  - - -  - - -  76.3582 67.9262 70.6254 63.5496 - - - - 76.0688 - - - - - - - 138 146 134 70 0 0 0 0
