# logged on Mon Jan  8 11:15:00 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704708900.582810000  1000.29 0 49.9936  -  nan  0.121863 -0.0295211 -0.0748934  0.121863 -0.0295211 -0.0748934  -0.174432 -0.0106311 10.872  -0.174432 -0.0106311 10.872  - - -  - - -  76.0254 68.7954 69.7812 64.4141 - - - - - 67.6407 71.0732 - - - - - 138 0 0 71 0 0 0 0
1704708900.587810000  1000.29 0 49.9939  -  nan  0.0774478 0.000128571 -0.0517888  0.0774478 0.000128571 -0.0517888  0.200743 -0.0392051 8.99572  0.200743 -0.0392051 8.99572  - - -  - - -  76.6195 66.5569 71.0192 63.632 - - - - 77.5555 - - 63.4921 - - - - 138 0 0 71 0 0 0 0
1704708900.592811000  1000.28 0 49.9939  -  nan  -0.0120466 0.0370309 0.119487  -0.0120466 0.0370309 0.119487  -0.0244823 0.155187 9.2047  -0.0244823 0.155187 9.2047  - - -  - - -  77.336 66.2104 70.9141 64.164 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
1704708900.597820000  1000.28 0 49.9939  -  nan  0.0478401 -0.0117142 0.00196402  0.0478401 -0.0117142 0.00196402  -0.452057 0.0319691 11.4365  -0.452057 0.0319691 11.4365  - - -  - - -  76.6087 68.1678 69.6308 64.6804 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
1704708900.602811000  1000.27 0 49.9941  -  nan  0.077813 -0.044625 -0.105541  0.077813 -0.044625 -0.105541  0.247406 0.00949572 8.99168  0.247406 0.00949572 8.99168  - - -  - - -  76.1388 67.546 69.7459 64.2082 - - - - - 66.3218 71.5001 - - - - - 138 0 0 71 0 0 0 0
1704708900.607809000  1000.26 0 49.9942  -  nan  -0.0686924 0.0629064 0.0457343  -0.0686924 0.0629064 0.0457343  0.0724426 0.258268 8.85492  0.0724426 0.258268 8.85492  - - -  - - -  77.1916 66.2433 71.2846 63.7398 - - - - 75.8265 - - 63.6618 - - - - 138 0 0 71 0 0 0 0
1704708900.612811000  1000.25 0 49.9942  -  nan  -0.0115878 0.00544613 0.0652749  -0.0115878 0.00544613 0.0652749  -0.453442 0.0289135 11.7224  -0.453442 0.0289135 11.7224  - - -  - - -  77.3649 68.0229 69.8354 63.7834 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
1704708900.617821000  1000.25 0 49.9942  -  nan  0.0783425 -0.017346 -0.133665  0.0783425 -0.017346 -0.133665  0.156762 0.0107052 8.87783  0.156762 0.0107052 8.87783  - - -  - - -  76.2015 67.8184 69.6735 63.5489 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
1704708900.622813000  1000.25 0 49.9942  -  nan  -0.0972671 0.076677 0.0296931  -0.0972671 0.076677 0.0296931  0.0276713 0.307378 8.90671  0.0276713 0.307378 8.90671  - - -  - - -  77.4144 66.2864 71.2223 62.9778 - - - - - 68.8137 70.028 - - - - - 138 0 0 71 0 0 0 0
1704708900.627812000  1000.25 0 49.9924  -  nan  -0.0837872 -0.00840806 0.0608219  -0.0837872 -0.00840806 0.0608219  -0.314412 0.030749 11.5516  -0.314412 0.030749 11.5516  - - -  - - -  77.4764 67.9375 70.062 62.9802 - - - - 76.8049 - - 63.4921 - - - - 138 0 0 71 0 0 0 0
