# logged on Tue Nov 21 15:13:44 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1700576024.378487000  1000.87 0 100.001  -  nan  0.0327231 0.0455968 -0.00309903  0.0327231 0.0455968 -0.00309903  0.112412 0.0462469 9.71292  0.112412 0.0462469 9.71292  - - -  - - -  78.7479 78.9197 80.1151 77.706 - - - - - 77.5555 - - - - - - 139 146 134 70 0 0 0 0
1700576024.383488000  1000.88 0 100.001  -  nan  -0.123864 -0.011372 0.010003  -0.123864 -0.011372 0.010003  0.157562 -0.0473047 9.95116  0.157562 -0.0473047 9.95116  - - -  - - -  78.8981 78.5762 80.0017 78.0109 - - - - 78.064 - 80.9848 80.1667 - - - - 139 146 134 70 0 0 0 0
1700576024.388483000  1000.87 0 100.001  -  nan  -0.0248485 0.0731429 0.00911405  -0.0248485 0.0731429 0.00911405  -0.0797394 0.186101 9.58409  -0.0797394 0.186101 9.58409  - - -  - - -  78.5855 79.4166 80.055 77.3333 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1700576024.393483000  1000.88 0 100.002  -  nan  -0.0665069 -0.0248999 0.011173  -0.0665069 -0.0248999 0.011173  0.252036 -0.0950332 10.1856  0.252036 -0.0950332 10.1856  - - -  - - -  78.9589 79.2939 79.7515 77.6528 - - - - 78.3208 77.0535 80.1667 79.1014 - - - - 139 146 134 70 0 0 0 0
1700576024.398500000  1000.87 0 100.002  -  nan  -0.0949361 0.00280129 0.023791  -0.0949361 0.00280129 0.023791  -0.0338193 0.0920701 9.70769  -0.0338193 0.0920701 9.70769  - - -  - - -  78.5238 79.4926 80.0831 77.4448 - - - - - 78.064 - - - - - - 139 146 134 70 0 0 0 0
1700576024.403495000  1000.88 0 100.004  -  nan  0.00336648 0.0594598 0.00987908  0.00336648 0.0594598 0.00987908  0.0169102 0.0930206 9.47859  0.0169102 0.0930206 9.47859  - - -  - - -  78.4588 79.9354 79.9941 77.2752 - - - - 79.3651 - 79.8977 77.3036 - - - - 139 146 134 70 0 0 0 0
1700576024.408501000  1000.87 0 100.003  -  nan  -0.0943527 -0.0529007 -0.00222691  -0.0943527 -0.0529007 -0.00222691  0.157145 -0.0936073 9.8407  0.157145 -0.0936073 9.8407  - - -  - - -  78.6242 79.6073 79.9573 77.6134 - - - - - 78.3208 - - - - - - 139 146 134 70 0 0 0 0
1700576024.413496000  1000.88 0 100.002  -  nan  -0.0247117 0.0729576 -0.00464307  -0.0247117 0.0729576 -0.00464307  -0.0813292 0.18515 9.81354  -0.0813292 0.18515 9.81354  - - -  - - -  78.1198 80.0906 80.6023 77.0689 - - - - 78.064 - 78.5793 76.3126 - - - - 139 146 134 70 0 0 0 0
1700576024.418501000  1000.87 0 100.002  -  nan  -0.0100951 -0.0247856 -0.00180224  -0.0100951 -0.0247856 -0.00180224  0.155555 -0.0945579 10.0701  0.155555 -0.0945579 10.0701  - - -  - - -  78.5586 80.0142 80.3862 77.1898 - - - - - 79.3651 - - - - - - 139 146 134 70 0 0 0 0
1700576024.423482000  1000.88 0 100.003  -  nan  -0.0662926 -0.0389181 -0.00221005  -0.0662926 -0.0389181 -0.00221005  -0.085334 0.000423674 9.71569  -0.085334 0.000423674 9.71569  - - -  - - -  78.1078 80.0395 81.0156 77.0875 - - - - 78.8395 - 79.3651 77.5555 - - - - 139 146 134 70 0 0 0 0
