# logged on Fri Jan  5 14:24:50 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704461090.786125000  1001.37 0 49.9992  -  nan  -0.0704561 0.0542252 0.183837  -0.0704561 0.0542252 0.183837  -0.586776 -0.0992969 9.96543  -0.586776 -0.0992969 9.96543  - - -  - - -  78.6147 67.1703 69.722 63.3057 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704461090.791126000  1001.38 0 49.9992  -  nan  0.16588 -0.11695 -0.0969517  0.16588 -0.11695 -0.0969517  0.105323 0.0441598 10.2998  0.105323 0.0441598 10.2998  - - -  - - -  76.4609 69.5997 68.6312 64.1474 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704461090.796133000  1001.37 0 49.9985  -  nan  -0.0097157 0.101897 -0.0341633  -0.0097157 0.101897 -0.0341633  0.202068 0.100591 9.66754  0.202068 0.100591 9.66754  - - -  - - -  76.9196 66.7194 71.0973 63.539 - - - - 78.3208 68.0272 - 63.4921 - - - - 139 0 134 70 0 0 0 0
1704461090.801130000  1001.38 0 49.9966  -  nan  -0.0708033 -0.0182394 0.172781  -0.0708033 -0.0182394 0.172781  -0.259102 0.00583534 9.3305  -0.259102 0.00583534 9.3305  - - -  - - -  77.5969 67.8065 70.179 62.9793 - - - - - - 70.028 - - - - - 139 0 134 70 0 0 0 0
1704461090.806137000  1001.37 0 49.9966  -  nan  0.121893 -0.074203 -0.101476  0.121893 -0.074203 -0.101476  -0.12231 0.140546 10.5741  -0.12231 0.140546 10.5741  - - -  - - -  75.7605 70.0026 69.2504 64.0582 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704461090.811131000  1001.38 0 49.9966  -  nan  0.00371487 -0.0120552 -0.0146424  0.00371487 -0.0120552 -0.0146424  0.102801 -0.0520217 10.1943  0.102801 -0.0520217 10.1943  - - -  - - -  76.2453 67.5944 71.4364 62.9692 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704461090.816142000  1001.37 0 49.9959  -  nan  -0.0121922 -0.00707002 0.10744  -0.0121922 -0.00707002 0.10744  -0.0240286 0.0636818 8.47201  -0.0240286 0.0636818 8.47201  - - -  - - -  76.7527 67.9176 70.5581 62.7974 - - - - 76.8049 68.8137 - 63.1552 - - - - 139 0 134 70 0 0 0 0
1704461090.821127000  1001.38 0 49.9954  -  nan  0.0345166 -0.000759474 -0.0818916  0.0345166 -0.000759474 -0.0818916  -0.444765 0.279326 11.5283  -0.444765 0.279326 11.5283  - - -  - - -  76.2471 69.4566 70.0538 63.6266 - - - - - - 70.6514 - - - - - 139 0 134 70 0 0 0 0
1704461090.826137000  1001.37 0 49.9954  -  nan  0.0193026 -0.0416125 -0.0406953  0.0193026 -0.0416125 -0.0406953  0.191796 -0.151453 10.204  0.191796 -0.151453 10.204  - - -  - - -  76.9063 67.6333 70.0306 62.9131 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704461090.831124000  1001.38 0 49.9958  -  nan  -0.0105848 0.0757414 0.0220637  -0.0105848 0.0757414 0.0220637  0.302179 0.168598 7.95215  0.302179 0.168598 7.95215  - - -  - - -  77.1016 67.3396 70.246 62.7389 - - - - - - - 64.6998 - - - - 139 0 134 70 0 0 0 0
1704461090.836143000  1001.37 0 49.9957  -  nan  -0.0109879 0.019014 0.0240436  -0.0109879 0.019014 0.0240436  -0.589406 0.0780241 11.7735  -0.589406 0.0780241 11.7735  - - -  - - -  77.7014 68.5718 69.5258 63.2466 - - - - 75.8265 69.6185 - - - - - - 139 0 134 70 0 0 0 0
1704461090.841126000  1001.38 0 49.9957  -  nan  0.0480972 -0.0716626 -0.0512578  0.0480972 -0.0716626 -0.0512578  0.194471 -0.0992969 9.97115  0.194471 -0.0992969 9.97115  - - -  - - -  76.7877 68.6666 69.358 62.8908 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704461090.846128000  1001.37 0 49.9941  -  nan  0.00452836 0.102413 -0.0186376  0.00452836 0.102413 -0.0186376  0.30458 0.220149 7.77593  0.30458 0.220149 7.77593  - - -  - - -  77.0325 67.53 70.3119 62.7637 - - - - - - 70.6514 - - - - - 139 0 134 70 0 0 0 0
1704461090.851130000  1001.38 0 49.9937  -  nan  -0.0260635 0.0212488 0.077322  -0.0260635 0.0212488 0.077322  -0.590701 0.0289135 11.7214  -0.590701 0.0289135 11.7214  - - -  - - -  78.1454 68.5012 69.863 62.7204 - - - - - - - 62.6566 - - - - 139 0 134 70 0 0 0 0
1704461090.856148000  1001.37 0 49.9959  16.028  nan  0.107619 -0.0300366 -0.090419  0.107619 -0.0300366 -0.090419  0.194197 -0.0999016 10.0277  0.194197 -0.0999016 10.0277  - - -  - - -  76.7121 69.2046 69.6016 62.6768 - - - - 76.558 67.8334 - - - - - - 139 0 134 70 0 0 0 0
1704461090.861108000  1001.38 0 49.9959  -  nan  0.00470402 0.101832 -0.0331737  0.00470402 0.101832 -0.0331737  0.16614 0.169213 7.89357  0.16614 0.169213 7.89357  - - -  - - -  76.9704 67.7395 70.8724 62.5547 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704461090.866128000  1001.37 0 49.9953  -  nan  -0.0261083 -0.0086702 0.0647803  -0.0261083 -0.0086702 0.0647803  -0.355591 0.0877851 10.8618  -0.355591 0.0877851 10.8618  - - -  - - -  78.0673 68.6123 70.2952 62.5768 - - - - - - 70.2346 - - - - - 139 0 134 70 0 0 0 0
1704461090.871111000  1001.38 0 49.9953  -  nan  0.0774102 -0.0287775 -0.0643658  0.0774102 -0.0287775 -0.0643658  0.00956293 -0.054462 10.422  0.00956293 -0.054462 10.422  - - -  - - -  76.6027 69.5756 70.0907 62.6929 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704461090.876136000  1001.37 0 49.9941  -  nan  0.0482504 0.0460262 -5.12459e-05  0.0482504 0.0460262 -5.12459e-05  0.113338 0.0618463 8.64478  0.113338 0.0618463 8.64478  - - -  - - -  76.8438 68.4827 71.0643 62.1065 - - - - 78.3208 68.6153 - 63.8325 - - - - 139 0 134 70 0 0 0 0
1704461090.881121000  1001.38 0 49.9947  -  nan  0.00283192 0.00538059 0.0662645  0.00283192 0.00538059 0.0662645  -0.119456 0.100591 9.66519  -0.119456 0.100591 9.66519  - - -  - - -  77.0949 69.141 70.8508 62.4701 - - - - - - 70.6514 - - - - - 139 0 134 70 0 0 0 0
1704461090.886105000  1001.37 0 49.9947  -  nan  0.0479408 0.00246768 0.00146904  0.0479408 0.00246768 0.00146904  -0.358976 -0.0112464 10.9282  -0.358976 -0.0112464 10.9282  - - -  - - -  76.3138 70.1365 70.5166 62.5596 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704461090.891185000  1001.38 0 49.9942  -  nan  0.0926328 -0.0135812 -0.0366666  0.0926328 -0.0135812 -0.0366666  0.289889 -0.0416453 9.22473  0.289889 -0.0416453 9.22473  - - -  - - -  75.9321 69.5873 71.1465 62.0759 - - - - - - - 62.822 - - - - 139 0 134 70 0 0 0 0
1704461090.896179000  1001.37 0 49.9945  -  nan  0.00350701 0.0767606 0.0501873  0.00350701 0.0767606 0.0501873  0.162732 0.207947 8.91665  0.162732 0.207947 8.91665  - - -  - - -  76.2938 69.2909 71.529 62.3643 - - - - 76.558 69.4155 - - - - - - 139 0 134 70 0 0 0 0
1704461090.901179000  1001.38 0 49.9945  -  nan  0.0328653 0.00470251 0.0547474  0.0328653 0.00470251 0.0547474  -0.594238 -0.115763 11.5063  -0.594238 -0.115763 11.5063  - - -  - - -  76.4599 70.5912 70.5928 62.4008 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704461090.906182000  1001.37 0 49.9941  -  nan  0.180602 -0.0744699 -0.0974471  0.180602 -0.0744699 -0.0974471  0.430574 -0.0361601 8.71246  0.430574 -0.0361601 8.71246  - - -  - - -  75.2838 70.3757 70.9446 62.2606 - - - - - - 70.4424 - - - - - 139 0 134 70 0 0 0 0
1704461090.911110000  1001.38 0 49.9941  -  nan  0.048736 0.161579 0.0230876  0.048736 0.161579 0.0230876  0.165128 0.259488 8.74142  0.165128 0.259488 8.74142  - - -  - - -  76.0715 68.8278 72.5018 62.3846 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704461090.916198000  1001.37 0 49.9931  -  nan  0.0759605 0.00504823 0.0712832  0.0759605 0.00504823 0.0712832  -0.552048 -0.263074 11.3482  -0.552048 -0.263074 11.3482  - - -  - - -  77.2013 69.7725 70.1126 62.7409 - - - - 76.0688 68.0272 - 62.9882 - - - - 139 0 134 70 0 0 0 0
1704461090.921178000  1001.38 0 49.9938  -  nan  0.284159 0.0525214 -0.150212  0.284159 0.0525214 -0.150212  0.474792 -0.0864908 8.77484  0.474792 -0.0864908 8.77484  - - -  - - -  75.7039 70.4537 69.8878 63.0059 - - - - - - 70.6514 - - - - - 139 0 134 70 0 0 0 0
1704461090.926155000  1001.37 0 49.9938  -  nan  0.0933723 0.233842 0.0371838  0.0933723 0.233842 0.0371838  0.0692193 0.204902 9.20091  0.0692193 0.204902 9.20091  - - -  - - -  77.4055 67.4922 71.4262 63.2269 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704461090.931117000  1001.38 0 49.9934  -  nan  0.10527 0.0223154 0.12804  0.10527 0.0223154 0.12804  -0.411561 -0.209698 11.0023  -0.411561 -0.209698 11.0023  - - -  - - -  78.0016 69.25 69.2797 63.5064 - - - - - - - 62.6566 - - - - 139 0 134 70 0 0 0 0
1704461090.936115000  1001.37 0 49.9957  -  nan  0.314394 0.080207 -0.162719  0.314394 0.080207 -0.162719  0.335123 -0.0434808 9.39682  0.335123 -0.0434808 9.39682  - - -  - - -  76.267 70.2708 69.0693 64.0671 - - - - 76.558 68.0272 - - - - - - 139 0 134 70 0 0 0 0
