# logged on Tue Jan  2 13:28:09 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704198489.252821000  1001.03 0 49.9793  -  nan  -0.0393431 -0.0560699 -0.0577963  -0.0393431 -0.0560699 -0.0577963  -0.170287 -0.00148542 10.0162  -0.170287 -0.00148542 10.0162  - - -  - - -  79.4529 67.6325 72.7261 63.0503 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
1704198489.257819000  1001.03 0 49.9796  -  nan  -0.155976 0.0769438 0.0256641  -0.155976 0.0769438 0.0256641  0.106339 0.092655 10.4095  0.106339 0.092655 10.4095  - - -  - - -  79.5439 66.4379 73.6917 63.0737 - - - - 78.8395 67.2585 73.7137 62.4922 - - - - 138 0 0 70 0 0 0 0
1704198489.262818000  1001.03 0 49.9796  -  nan  -0.0973423 0.0188649 0.00453906  -0.0973423 0.0188649 0.00453906  -0.0213441 0.254618 9.19577  -0.0213441 0.254618 9.19577  - - -  - - -  79.9426 67.6245 72.4215 62.5344 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
1704198489.267817000  1001.03 0 49.9796  -  nan  -0.170496 0.0628275 0.0251695  -0.170496 0.0628275 0.0251695  -0.309318 -0.00332092 10.187  -0.309318 -0.00332092 10.187  - - -  - - -  80.1025 67.7425 72.487 62.9607 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
1704198489.272819000  1001.04 0 49.9796  -  nan  -0.0682081 -0.0123086 -0.0341265  -0.0682081 -0.0123086 -0.0341265  0.102248 -0.0532418 10.3085  0.102248 -0.0532418 10.3085  - - -  - - -  80.0775 67.9313 72.2955 62.845 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
1704198489.277816000  1001.05 0 49.9811  -  nan  -0.15551 0.118947 0.0106121  -0.15551 0.118947 0.0106121  0.0295145 0.357698 8.84565  0.0295145 0.357698 8.84565  - - -  - - -  80.3138 66.6861 73.0498 62.7894 - - - - 79.8977 65.591 71.9321 62.6566 - - - - 138 0 0 70 0 0 0 0
1704198489.282818000  1001.05 0 49.9811  -  nan  -0.155938 0.10585 0.0382411  -0.155938 0.10585 0.0382411  -0.35849 -0.101737 10.1955  -0.35849 -0.101737 10.1955  - - -  - - -  80.9958 67.879 72.0683 62.3675 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
1704198489.287815000  1001.05 0 49.9811  -  nan  0.0200709 -0.0296387 -0.0964273  0.0200709 -0.0296387 -0.0964273  0.0536962 -0.0587271 10.8215  0.0536962 -0.0587271 10.8215  - - -  - - -  80.6503 67.9883 71.8232 62.6693 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
1704198489.292826000  1001.06 0 49.9811  -  nan  -0.1552 0.162506 0.00909185  -0.1552 0.162506 0.00909185  -0.0162729 0.358314 8.78773  -0.0162729 0.358314 8.78773  - - -  - - -  80.7679 65.7542 73.18 62.771 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
1704198489.297829000  1001.07 0 49.9808  -  nan  -0.111624 0.0620183 0.0156315  -0.111624 0.0620183 0.0156315  -0.267464 -0.104177 10.4245  -0.267464 -0.104177 10.4245  - - -  - - -  81.4604 67.5064 72.0102 62.5973 - - - - 79.8977 69.0131 71.286 62.9882 - - - - 138 0 0 70 0 0 0 0
