# logged on Mon Dec  4 14:28:01 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701696482.035194000  1001.19 0 50.0027  -  nan  0.0631109 0.131594 0.0115355  0.0631109 0.131594 0.0115355  -0.0745187 0.0539208 9.38505  -0.0745187 0.0539208 9.38505  - - -  - - -  75.0701 69.1866 73.3838 66.875 - - - - - 68.2221 73.2601 - - - - - 139 146 134 71 0 0 0 0
1701696482.040174000  1001.18 0 50.0034  -  nan  0.0617859 -0.127371 -0.0211543  0.0617859 -0.127371 -0.0211543  0.236899 -0.0136867 11.1609  0.236899 -0.0136867 11.1609  - - -  - - -  75.4345 69.1484 72.7606 66.9094 - - - - 75.1089 - - - - - - - 139 146 134 71 0 0 0 0
1701696482.045161000  1001.17 0 50.0034  -  nan  0.0191014 0.00259875 -0.000510146  0.0191014 0.00259875 -0.000510146  -0.0694426 0.157627 8.97602  -0.0694426 0.157627 8.97602  - - -  - - -  73.8499 68.4414 74.0758 66.4779 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701696482.050180000  1001.17 0 50.0051  -  nan  -0.0104208 0.0751991 0.00849672  -0.0104208 0.0751991 0.00849672  0.0620212 0.0502604 9.72858  0.0620212 0.0502604 9.72858  - - -  - - -  74.3296 69.0914 73.8588 66.4927 - - - - - - - 66.8807 - - - - 139 146 134 71 0 0 0 0
1701696482.055180000  1001.17 0 50.0031  -  nan  0.0470825 -0.141919 -0.00707745  0.0470825 -0.141919 -0.00707745  0.149366 0.0859496 11.0373  0.149366 0.0859496 11.0373  - - -  - - -  74.3079 69.2135 73.4949 66.4164 - - - - - 68.2221 73.9426 - - - - - 139 146 134 71 0 0 0 0
1701696482.060186000  1001.17 0 50.0028  -  nan  -0.0682005 0.0612794 0.00503332  -0.0682005 0.0612794 0.00503332  -0.0227384 0.112782 8.52513  -0.0227384 0.112782 8.52513  - - -  - - -  72.9286 68.5065 74.4813 66.4299 - - - - 73.9426 - - - - - - - 139 146 134 71 0 0 0 0
1701696482.065151000  1001.17 0 50.0028  -  nan  -0.0536168 0.0606715 -0.00754408  -0.0536168 0.0606715 -0.00754408  0.154617 0.0975355 9.95313  0.154617 0.0975355 9.95313  - - -  - - -  73.9898 69.509 73.8124 66.1166 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701696482.070181000  1001.17 0 50.0035  -  nan  0.00358818 -0.0551819 -0.0276936  0.00358818 -0.0551819 -0.0276936  0.108929 0.190876 10.5137  0.108929 0.190876 10.5137  - - -  - - -  73.9915 69.2746 73.7766 65.8414 - - - - - - - 66.1376 - - - - 139 146 134 71 0 0 0 0
1701696482.075177000  1001.17 0 50.0019  -  nan  -0.155346 0.118405 -0.00295485  -0.155346 0.118405 -0.00295485  0.11417 0.0636818 8.47302  0.11417 0.0636818 8.47302  - - -  - - -  73.3353 68.518 74.4072 65.7039 - - - - - 69.4155 74.4048 - - - - - 139 146 134 71 0 0 0 0
1701696482.080179000  1001.17 0 50.0027  -  nan  -0.067835 0.0891008 -0.00952363  -0.067835 0.0891008 -0.00952363  0.156465 0.147866 9.89108  0.156465 0.147866 9.89108  - - -  - - -  74.1856 69.7214 73.7074 65.2417 - - - - 72.812 - - - - - - - 139 146 134 71 0 0 0 0
