# logged on Wed Nov 29 16:02:23 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701270143.822436000  1000.7 0 50.0026  -  nan  0.0620582 -0.0401434 0.00394358  0.0620582 -0.0401434 0.00394358  0.0990158 -0.245387 9.69794  0.0990158 -0.245387 9.69794  - - -  - - -  79.6549 78.9294 81.5214 79.0525 - - - - 79.1014 - - 77.8089 - - - - 139 0 133 70 0 0 0 0
1701270143.827429000  1000.7 0 50.0026  -  nan  0.106511 -0.040887 -0.00658395  0.106511 -0.040887 -0.00658395  0.0558088 -0.146572 9.74626  0.0558088 -0.146572 9.74626  - - -  - - -  79.17 78.1971 82.3339 79.9423 - - - - - - - - - - - - 139 0 133 70 0 0 0 0
1701270143.832416000  1000.7 0 50.005  15.222  nan  0.0196125 0.074521 -0.00302039  0.0196125 0.074521 -0.00302039  0.00420819 -0.297543 9.93008  0.00420819 -0.297543 9.93008  - - -  - - -  79.4042 78.1432 82.2247 80.0644 - - - - - 79.1014 81.5395 - - - - - 139 0 133 70 0 0 0 0
1701270143.837430000  1000.7 0 50.005  -  nan  0.16481 -0.0988943 -0.000539609  0.16481 -0.0988943 -0.000539609  0.0547029 -0.149012 9.9746  0.0547029 -0.149012 9.9746  - - -  - - -  80.1953 78.3031 81.6565 79.7485 - - - - - - - - - - - - 139 0 133 70 0 0 0 0
1701270143.842434000  1000.7 0 50.004  -  nan  0.0334652 0.0182704 0.0135161  0.0334652 0.0182704 0.0135161  0.00596156 -0.201168 10.2071  0.00596156 -0.201168 10.2071  - - -  - - -  79.4097 77.7625 82.282 80.367 - - - - 78.5793 - - 78.3208 - - - - 139 0 133 70 0 0 0 0
1701270143.847416000  1000.7 0 50.004  -  nan  0.00332379 0.00375362 0.0255636  0.00332379 0.00375362 0.0255636  0.10326 -0.143516 9.46067  0.10326 -0.143516 9.46067  - - -  - - -  79.7594 78.717 81.4315 79.7053 - - - - - - - - - - - - 139 0 133 70 0 0 0 0
1701270143.852417000  1000.7 0 50.0043  -  nan  0.134978 -0.0698525 0.00998755  0.134978 -0.0698525 0.00998755  0.0120537 -0.0489661 9.90775  0.0120537 -0.0489661 9.90775  - - -  - - -  79.5306 78.6493 81.8258 80.0623 - - - - - 78.8395 82.3859 - - - - - 139 0 133 70 0 0 0 0
1701270143.857431000  1000.7 0 50.0043  -  nan  -0.0393987 0.0322423 -0.00556453  -0.0393987 0.0322423 -0.00556453  0.0051345 -0.202993 10.3778  0.0051345 -0.202993 10.3778  - - -  - - -  79.1748 78.3654 82.1354 80.0727 - - - - - - - - - - - - 139 0 133 70 0 0 0 0
1701270143.862445000  1000.71 0 50.0054  -  nan  0.0620582 -0.0401434 0.00394358  0.0620582 -0.0401434 0.00394358  0.0117748 -0.0495815 9.96533  0.0117748 -0.0495815 9.96533  - - -  - - -  79.4852 79.3206 81.8023 79.0379 - - - - 80.7103 - - 79.8977 - - - - 139 0 133 70 0 0 0 0
1701270143.867422000  1000.72 0 50.0054  -  nan  0.0762132 -0.0538485 0.0189951  0.0762132 -0.0538485 0.0189951  0.0522169 -0.154498 10.4879  0.0522169 -0.154498 10.4879  - - -  - - -  78.9051 78.7863 82.2989 79.3927 - - - - - - - - - - - - 139 0 133 70 0 0 0 0
