# logged on Fri Jan  5 14:43:08 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704462188.939327000  1000.1 0 49.9999  -  nan  -0.0126477 -0.167304 0.0577184  -0.0126477 -0.167304 0.0577184  -0.448187 0.04051 10.6373  -0.448187 0.04051 10.6373  - - -  - - -  75.8725 69.3863 68.3157 64.4428 - - - - - - - - - - - - 139 146 133 71 0 0 0 0
1704462188.944339000  1000.1 0 50.0009  -  nan  0.0209656 -0.0471133 -0.178303  0.0209656 -0.0471133 -0.178303  0.245809 0.0975355 9.9538  0.245809 0.0975355 9.9538  - - -  - - -  74.9347 68.0918 69.7807 64.1094 - - - - 76.0688 - - - - - - - 139 146 133 71 0 0 0 0
1704462188.949342000  1000.1 0 50.0017  -  nan  -0.11269 0.0064472 0.0719148  -0.11269 0.0064472 0.0719148  -0.0267935 0.0575811 9.04287  -0.0267935 0.0575811 9.04287  - - -  - - -  76.7907 66.3723 70.6706 62.6266 - - - - - 68.4182 69.4155 63.8325 - - - - 139 146 133 71 0 0 0 0
1704462188.954348000  1000.1 0 50.0017  -  nan  -0.0109771 -0.0992172 -0.0407299  -0.0109771 -0.0992172 -0.0407299  -0.256728 0.195141 10.1119  -0.256728 0.195141 10.1119  - - -  - - -  76.1268 68.4125 69.3617 63.3483 - - - - - - - - - - - - 139 146 133 71 0 0 0 0
1704462188.959339000  1000.1 0 50.0017  -  nan  -0.009553 -0.0894127 -0.15073  -0.009553 -0.0894127 -0.15073  -0.0348092 0.0398946 10.6979  -0.0348092 0.0398946 10.6979  - - -  - - -  76.4858 67.1825 70.1561 62.73 - - - - - - - - - - - - 139 146 133 71 0 0 0 0
1704462188.964339000  1000.1 0 50.0035  -  nan  -0.0984716 -0.0219821 0.0738943  -0.0984716 -0.0219821 0.0738943  0.163186 0.116442 8.18396  0.163186 0.116442 8.18396  - - -  - - -  77.4334 65.3367 71.0596 61.2307 - - - - 77.8089 - - - - - - - 139 146 133 71 0 0 0 0
1704462188.969334000  1000.1 0 50.0026  -  nan  -0.0543551 0.00401576 0.0216052  -0.0543551 0.00401576 0.0216052  -0.204206 0.301893 9.41831  -0.204206 0.301893 9.41831  - - -  - - -  76.949 67.8284 69.4135 62.7293 - - - - - 67.8334 70.2346 63.4921 - - - - 139 146 133 71 0 0 0 0
1704462188.974345000  1000.09 0 50.0026  -  nan  -0.0394511 -0.0712648 -0.057266  -0.0394511 -0.0712648 -0.057266  -0.131288 -0.0623875 11.1626  -0.131288 -0.0623875 11.1626  - - -  - - -  76.9658 67.8132 69.2061 62.6478 - - - - - - - - - - - - 139 146 133 71 0 0 0 0
1704462188.979321000  1000.1 0 50.0026  -  nan  -0.0254525 -0.0108395 0.0105124  -0.0254525 -0.0108395 0.0105124  0.484691 0.0722227 7.6765  0.484691 0.0722227 7.6765  - - -  - - -  77.0503 66.2094 69.5482 61.8444 - - - - - - - - - - - - 139 146 133 71 0 0 0 0
1704462188.984336000  1000.1 0 50.0054  -  nan  -0.0980237 0.0646644 0.0844561  -0.0980237 0.0646644 0.0844561  -0.485103 0.243637 10.22  -0.485103 0.243637 10.22  - - -  - - -  77.6818 67.2623 69.0249 62.945 - - - - 75.1089 - - - - - - - 139 146 133 71 0 0 0 0
1704462188.989338000  1000.1 0 50.0029  -  nan  -0.0259004 -0.097486 -4.94141e-05  -0.0259004 -0.097486 -4.94141e-05  -0.319244 -0.163038 11.2844  -0.319244 -0.163038 11.2844  - - -  - - -  76.7895 68.3228 67.7893 63.3189 - - - - - 66.6933 70.2346 63.1552 - - - - 139 146 133 71 0 0 0 0
1704462188.994337000  1000.1 0 50.0029  -  nan  -0.053214 0.044824 -0.0487192  -0.053214 0.044824 -0.0487192  0.442316 0.172874 7.55306  0.442316 0.172874 7.55306  - - -  - - -  76.6712 66.3764 68.8557 62.7125 - - - - - - - - - - - - 139 146 133 71 0 0 0 0
1704462188.999323000  1000.1 0 50.0029  -  nan  -0.142652 0.0659891 0.10952  -0.142652 0.0659891 0.10952  -0.344716 0.204287 9.25547  -0.344716 0.204287 9.25547  - - -  - - -  78.397 67.2397 68.6171 62.9479 - - - - - - - - - - - - 139 146 133 71 0 0 0 0
