# logged on Tue Dec  5 13:17:51 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701778671.243319000  1000.1 0 50.002  -  nan  -0.0827842 0.0618873 0.0176107  -0.0827842 0.0618873 0.0176107  -0.11968 -0.0367754 8.76602  -0.11968 -0.0367754 8.76602  - - -  - - -  74.7902 66.2035 72.287 69.3354 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701778671.248327000  1000.1 0 50.0026  -  nan  -0.0111712 -0.0539929 -0.000580109  -0.0111712 -0.0539929 -0.000580109  0.102684 -0.00697069 10.5315  0.102684 -0.00697069 10.5315  - - -  - - -  75.2891 67.0678 71.694 69.268 - - - - - 66.507 71.7154 - - - - - 139 146 134 71 0 0 0 0
1701778671.253312000  1000.1 0 50.0026  -  nan  0.0330732 -0.0841133 -0.0100823  0.0330732 -0.0841133 -0.0100823  0.013469 0.0447751 10.2415  0.013469 0.0447751 10.2415  - - -  - - -  74.3025 65.9088 72.3845 69.7205 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701778671.258317000  1000.1 0 50.003  -  nan  -0.0249414 0.0610828 0.00800211  -0.0249414 0.0610828 0.00800211  -0.119523 0.00888035 9.04658  -0.119523 0.00888035 9.04658  - - -  - - -  74.541 65.762 72.3993 69.7974 - - - - 74.8727 - - 69.2137 - - - - 139 146 134 71 0 0 0 0
1701778671.263318000  1000.1 0 50.003  -  nan  0.047467 -0.113124 -0.0226388  0.047467 -0.113124 -0.0226388  0.00944589 -0.00941095 10.7592  0.00944589 -0.00941095 10.7592  - - -  - - -  74.929 66.0499 72.0382 69.7254 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701778671.268327000  1000.1 0 50.0036  -  nan  0.0478024 -0.0406202 -0.010613  0.0478024 -0.0406202 -0.010613  -0.0310954 0.00277971 9.61811  -0.0310954 0.00277971 9.61811  - - -  - - -  73.9626 65.0012 72.792 69.9927 - - - - - 66.1376 72.1501 - - - - - 139 146 134 71 0 0 0 0
1701778671.273312000  1000.1 0 50.0052  -  nan  0.0037973 0.0467699 0.0104763  0.0037973 0.0467699 0.0104763  -0.0751068 -0.0379956 8.88052  -0.0751068 -0.0379956 8.88052  - - -  - - -  74.3593 65.1629 72.5603 70.3359 - - - - - - - 69.8227 - - - - 139 146 134 71 0 0 0 0
1701778671.278318000  1000.1 0 50.0057  -  nan  0.120621 -0.0845112 -0.00407406  0.120621 -0.0845112 -0.00407406  -0.0339773 0.0417301 10.5261  -0.0339773 0.0417301 10.5261  - - -  - - -  74.4767 65.2 72.3856 70.4513 - - - - 74.8727 - - - - - - - 139 146 134 71 0 0 0 0
1701778671.283318000  1000.1 0 50.0057  -  nan  0.062159 -0.0259616 0.0034486  0.062159 -0.0259616 0.0034486  0.0152497 0.00339508 9.56086  0.0152497 0.00339508 9.56086  - - -  - - -  73.3903 63.7521 73.027 71.1492 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701778671.288326000  1000.1 0 50.0056  -  nan  0.0191462 0.0325178 0.0120315  0.0191462 0.0325178 0.0120315  -0.0286046 0.00827559 9.10384  -0.0286046 0.00827559 9.10384  - - -  - - -  73.5063 64.0934 72.8293 71.1753 - - - - - 64.3501 71.9321 - - - - - 139 146 134 71 0 0 0 0
1701778671.293311000  1000.1 0 50.006  -  nan  0.106511 -0.040887 -0.00658395  0.106511 -0.040887 -0.00658395  -0.0332401 0.08961 10.6934  -0.0332401 0.08961 10.6934  - - -  - - -  73.672 63.9312 72.6708 71.3145 - - - - - - - 71.286 - - - - 139 146 134 71 0 0 0 0
1701778671.298317000  1000.1 0 50.0054  -  nan  0.0036517 0.00266897 -0.00157043  0.0036517 0.00266897 -0.00157043  0.061316 0.00339508 9.5612  0.061316 0.00339508 9.5612  - - -  - - -  73.1955 62.9696 72.992 71.4921 - - - - 75.1089 - - - - - - - 139 146 134 71 0 0 0 0
1701778671.303318000  1000.1 0 50.0054  -  nan  0.0339315 0.0602736 -0.00153582  0.0339315 0.0602736 -0.00153582  -0.0262405 0.0588013 8.9287  -0.0262405 0.0588013 8.9287  - - -  - - -  73.5083 63.7456 72.717 70.8686 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701778671.308329000  1000.1 0 50.0053  -  nan  0.0768435 -0.0123876 -0.00962378  0.0768435 -0.0123876 -0.00962378  0.012363 0.0423349 10.4699  0.012363 0.0423349 10.4699  - - -  - - -  73.7476 63.4391 72.704 71.2794 - - - - - 63.4921 73.0353 - - - - - 139 146 134 71 0 0 0 0
1701778671.313312000  1000.1 0 50.0048  -  nan  -0.0108872 0.0331959 0.0235487  -0.0108872 0.0331959 0.0235487  0.107813 0.0496556 9.7855  0.107813 0.0496556 9.7855  - - -  - - -  73.0979 62.9863 72.7206 71.3827 - - - - - - - 71.9321 - - - - 139 146 134 71 0 0 0 0
