# logged on Tue Dec  5 13:02:42 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701777763.051566000  1000.47 0 100.004  -  nan  0.106713 -0.0125233 -0.0075739  0.106713 -0.0125233 -0.0075739  -0.0296482 0.0975355 9.95178  -0.0296482 0.0975355 9.95178  - - -  - - -  74.5843 68.1019 70.5934 70.7039 - - - - - - 71.5001 71.5001 - - - - 139 146 0 70 0 0 0 0
1701777763.056589000  1000.46 0 100.004  -  nan  0.0192395 -0.0268884 -0.0276232  0.0192395 -0.0268884 -0.0276232  0.152774 0.0472154 10.0142  0.152774 0.0472154 10.0142  - - -  - - -  74.7687 67.7706 70.6162 70.8116 - - - - 74.173 67.4491 - - - - - - 139 146 0 70 0 0 0 0
1701777763.061585000  1000.47 0 100.003  -  nan  0.0191646 -0.0121254 -0.0135822  0.0191646 -0.0121254 -0.0135822  0.021584 0.155187 9.20504  0.021584 0.155187 9.20504  - - -  - - -  74.9904 68.0242 70.7857 69.9698 - - - - - - 71.0732 71.286 - - - - 139 146 0 70 0 0 0 0
1701777763.066599000  1000.46 0 100.003  -  nan  0.0334835 -0.0263728 -0.0120976  0.0334835 -0.0263728 -0.0120976  0.016144 0.0969308 10.0087  0.016144 0.0969308 10.0087  - - -  - - -  75.2672 68.3386 70.8128 69.8734 - - - - 74.4048 66.8807 - - - - - - 139 146 0 70 0 0 0 0
1701777763.071582000  1000.47 0 100.005  -  nan  -0.0108056 -0.0261715 -0.0151371  -0.0108056 -0.0261715 -0.0151371  0.107171 0.0944905 10.2377  0.107171 0.0944905 10.2377  - - -  - - -  75.1907 68.4902 70.7744 69.7097 - - - - - - 69.6185 70.2346 - - - - 139 146 0 70 0 0 0 0
1701777763.076597000  1000.46 0 100.005  -  nan  -0.0104961 0.017387 -0.0166574  -0.0104961 0.017387 -0.0166574  0.0245331 0.207947 8.91564  0.0245331 0.207947 8.91564  - - -  - - -  75.1756 68.8565 70.7108 69.1752 - - - - 75.5858 66.8807 - - - - - - 139 146 0 70 0 0 0 0
1701777763.081578000  1000.47 0 100.004  -  nan  -0.0397082 -0.0113163 -0.00404424  -0.0397082 -0.0113163 -0.00404424  0.0140219 0.0459952 10.1273  0.0140219 0.0459952 10.1273  - - -  - - -  75.4995 69.3801 70.5872 69.0627 - - - - - - 69.6185 69.2137 - - - - 139 146 0 70 0 0 0 0
1701777763.086586000  1000.46 0 100.004  -  nan  -0.0399098 -0.03968 -0.00305428  -0.0399098 -0.03968 -0.00305428  0.104891 -0.00210079 10.0758  0.104891 -0.00210079 10.0758  - - -  - - -  75.2177 69.5825 70.5746 68.7625 - - - - 74.173 67.6407 - - - - - - 139 146 0 70 0 0 0 0
1701777763.091607000  1000.47 0 100.001  -  nan  -0.0253517 0.00334236 0.0100174  -0.0253517 0.00334236 0.0100174  -0.0231023 0.158232 8.91977  -0.0231023 0.158232 8.91977  - - -  - - -  75.1035 69.7209 70.6381 68.6884 - - - - - - 71.0732 70.6514 - - - - 139 146 0 70 0 0 0 0
1701777763.096605000  1000.46 0 100.002  -  nan  -0.0401746 -0.0533195 0.0110077  -0.0401746 -0.0533195 0.0110077  0.012363 0.0423349 10.4699  0.012363 0.0423349 10.4699  - - -  - - -  75.2612 70.0437 70.5801 68.9639 - - - - 75.8265 70.028 - - - - - - 139 146 0 70 0 0 0 0
1701777763.101579000  1000.47 0 99.9998  -  nan  0.0184895 -0.0835054 0.00249508  0.0184895 -0.0835054 0.00249508  0.0602101 0.000954829 9.78954  0.0602101 0.000954829 9.78954  - - -  - - -  74.6926 69.9571 70.7158 68.8662 - - - - - - 70.6514 69.2137 - - - - 139 146 0 70 0 0 0 0
1701777763.106575000  1000.46 0 100.001  -  nan  0.0190454 0.0183359 0.0125265  0.0190454 0.0183359 0.0125265  -0.0704636 0.109121 8.86731  -0.0704636 0.109121 8.86731  - - -  - - -  74.332 69.4768 71.1405 69.3382 - - - - 76.558 70.2346 - - - - - - 139 146 0 70 0 0 0 0
1701777763.111577000  1000.47 0 100.001  -  nan  0.0474297 -0.0694546 0.00397929  0.0474297 -0.0694546 0.00397929  0.0545281 -0.0568916 10.6497  0.0545281 -0.0568916 10.6497  - - -  - - -  74.6113 69.4574 70.9549 69.8746 - - - - - - 70.6514 68.6153 - - - - 139 146 0 70 0 0 0 0
1701777763.116586000  1000.46 0 100.003  -  nan  0.091782 -0.0843801 -0.00605325  0.091782 -0.0843801 -0.00605325  0.0163557 0.00583534 9.33252  0.0163557 0.00583534 9.33252  - - -  - - -  73.871 68.3953 71.4343 70.2366 - - - - 74.8727 68.0272 - - - - - - 139 146 0 70 0 0 0 0
1701777763.121597000  1000.47 0 100.005  -  nan  0.0623606 0.00240214 0.00245864  0.0623606 0.00240214 0.00245864  -0.076208 -0.0404252 9.10787  -0.076208 -0.0404252 9.10787  - - -  - - -  73.8515 67.8974 71.8263 70.6165 - - - - - - 71.5001 68.2221 - - - - 139 146 0 70 0 0 0 0
1701777763.126583000  1000.46 0 100.007  -  nan  0.135078 -0.128246 -0.0297026  0.135078 -0.128246 -0.0297026  0.0566181 -0.00697069 10.5312  0.0566181 -0.00697069 10.5312  - - -  - - -  74.1967 67.8453 71.7828 70.9205 - - - - 75.8265 70.028 - - - - - - 139 146 0 70 0 0 0 0
1701777763.131568000  1000.47 0 100.005  -  nan  0.0921665 -0.0555844 -0.0216146  0.0921665 -0.0555844 -0.0216146  -0.0308165 0.00339508 9.56052  -0.0308165 0.00339508 9.56052  - - -  - - -  73.3913 66.8058 72.4836 71.1815 - - - - - - 71.5001 71.9321 - - - - 139 146 0 70 0 0 0 0
1701777763.136593000  1000.46 0 100.007  -  nan  0.0623606 0.00240214 0.00245864  0.0623606 0.00240214 0.00245864  -0.0345655 -0.0501862 10.0216  -0.0345655 -0.0501862 10.0216  - - -  - - -  73.8432 66.8524 72.3559 71.3217 - - - - 73.4862 67.6407 - - - - - - 139 146 0 70 0 0 0 0
1701777763.141573000  1000.47 0 100.006  -  nan  0.120596 -0.113456 -0.0176202  0.120596 -0.113456 -0.0176202  0.0587034 0.0429396 10.4136  0.0587034 0.0429396 10.4136  - - -  - - -  73.6796 66.5883 72.2511 71.4784 - - - - - - 70.6514 70.8617 - - - - 139 146 0 70 0 0 0 0
1701777763.146577000  1000.46 0 100.007  -  nan  0.0333572 0.00307554 0.0140464  0.0333572 0.00307554 0.0140464  -0.0270675 0.0569764 9.09946  -0.0270675 0.0569764 9.09946  - - -  - - -  72.9267 65.6779 72.8043 71.7881 - - - - 74.638 66.507 - - - - - - 139 146 0 70 0 0 0 0
1701777763.151595000  1000.46 0 100.006  -  nan  0.0187735 0.0036834 0.0266238  0.0187735 0.0036834 0.0266238  0.0579982 -0.00392568 10.2462  0.0579982 -0.00392568 10.2462  - - -  - - -  73.3135 66.3303 72.3043 71.9317 - - - - - - 72.3694 71.0732 - - - - 139 146 0 70 0 0 0 0
1701777763.156585000  1000.45 0 100.008  -  nan  0.0919908 -0.0550034 -0.00707856  0.0919908 -0.0550034 -0.00707856  0.0630374 0.0987557 9.83828  0.0630374 0.0987557 9.83828  - - -  - - -  72.9745 66.4289 72.1068 71.7965 - - - - 73.9426 65.0533 - - - - - - 139 146 0 70 0 0 0 0
1701777763.161586000  1000.45 0 100.008  -  nan  -0.0534153 0.0890353 -0.00853404  -0.0534153 0.0890353 -0.00853404  -0.0265146 0.0581965 8.98529  -0.0265146 0.0581965 8.98529  - - -  - - -  72.6724 65.6477 72.5149 72.1068 - - - - - - 72.59 70.6514 - - - - 139 146 0 70 0 0 0 0
1701777763.166586000  1000.45 0 100.009  -  nan  -0.0391339 0.0458818 -0.0196265  -0.0391339 0.0458818 -0.0196265  0.103943 0.0411147 10.5847  0.103943 0.0411147 10.5847  - - -  - - -  73.7407 66.5491 71.7678 71.5505 - - - - 71.9321 66.8807 - - - - - - 139 146 0 70 0 0 0 0
1701777763.171564000  1000.45 0 100.01  -  nan  -0.0104961 0.017387 -0.0166574  -0.0104961 0.017387 -0.0166574  0.107724 0.0957106 10.1236  0.107724 0.0957106 10.1236  - - -  - - -  73.1976 65.9514 72.1596 71.3256 - - - - - - 72.59 71.7154 - - - - 139 146 0 70 0 0 0 0
1701777763.176592000  1000.45 0 100.011  -  nan  -0.169418 0.190935 0.0071123  -0.169418 0.190935 0.0071123  0.0236068 0.113397 8.46788  0.0236068 0.113397 8.46788  - - -  - - -  73.0653 65.4908 72.3449 71.3461 - - - - 73.0353 66.3218 - - - - - - 139 146 0 70 0 0 0 0
