# logged on Wed Jan  3 14:53:02 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704289983.085082000  1000.83 0 49.9983  -  nan  -0.0258704 -0.142168 -0.0266322  -0.0258704 -0.142168 -0.0266322  0.206213 0.109737 8.81175  0.206213 0.109737 8.81175  - - -  - - -  75.9343 64.9234 71.1061 59.8269 - - - - 77.3036 66.1376 - - - - - - 139 146 134 70 0 0 0 0
1704289983.090086000  1000.83 0 49.9983  -  nan  -0.127912 -0.0087491 0.0442155  -0.127912 -0.0087491 0.0442155  -0.240049 0.324449 7.30728  -0.240049 0.324449 7.30728  - - -  - - -  76.86 64.97 71.2629 60.4393 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704289983.095083000  1000.83 0 49.9985  -  nan  -0.041096 -0.182982 0.0155332  -0.041096 -0.182982 0.0155332  -0.322184 -0.0770184 12.5304  -0.322184 -0.0770184 12.5304  - - -  - - -  76.6144 66.1938 70.7663 60.5985 - - - - - - 70.8617 - - - - - 139 146 134 70 0 0 0 0
1704289983.100083000  1000.83 0 49.9987  -  nan  0.0187467 -0.143454 -0.0507267  0.0187467 -0.143454 -0.0507267  0.483127 0.161277 8.63853  0.483127 0.161277 8.63853  - - -  - - -  75.439 63.9095 71.5893 60.309 - - - - - - - 60.1251 - - - - 139 146 134 70 0 0 0 0
1704289983.105069000  1000.84 0 49.9999  -  nan  -0.171391 0.080302 0.107046  -0.171391 0.080302 0.107046  -0.330244 0.328725 6.90651  -0.330244 0.328725 6.90651  - - -  - - -  76.8808 64.6455 71.11 60.7605 - - - - 77.3036 64.8761 - - - - - - 139 146 134 70 0 0 0 0
1704289983.110076000  1000.84 0 49.9999  -  nan  -0.0120926 -0.183656 0.00394541  -0.0120926 -0.183656 0.00394541  -0.279535 -0.177065 12.5972  -0.279535 -0.177065 12.5972  - - -  - - -  76.6533 66.5415 70.1447 61.3965 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704289983.115075000  1000.84 0 50.0009  -  nan  0.00364415 -0.070919 -0.0407302  0.00364415 -0.070919 -0.0407302  0.437712 0.255223 9.14254  0.437712 0.255223 9.14254  - - -  - - -  75.8264 63.2485 70.9502 61.3529 - - - - - - 70.8617 - - - - - 139 146 134 70 0 0 0 0
1704289983.120094000  1000.84 0 50.0008  -  nan  -0.171618 0.0955685 0.133685  -0.171618 0.0955685 0.133685  -0.288701 0.226239 7.2017  -0.288701 0.226239 7.2017  - - -  - - -  77.0805 64.2869 70.0724 61.2991 - - - - 77.8089 - - 60.8939 - - - - 139 146 134 70 0 0 0 0
1704289983.125084000  1000.84 0 50.0008  -  nan  0.0475485 -0.172491 -0.0613245  0.0475485 -0.172491 -0.0613245  -0.229697 -0.261249 11.1798  -0.229697 -0.261249 11.1798  - - -  - - -  76.7864 65.6968 69.6143 62.1892 - - - - - 65.4108 - - - - - - 139 146 134 70 0 0 0 0
1704289983.130092000  1000.84 0 50.0008  -  nan  -0.0243563 4.9673e-05 -0.0723537  -0.0243563 4.9673e-05 -0.0723537  0.120334 0.446364 9.74987  0.120334 0.446364 9.74987  - - -  - - -  76.6057 62.1755 71.2485 62.0414 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704289983.135090000  1000.84 0 50.0007  -  nan  -0.171089 0.0502726 0.0663654  -0.171089 0.0502726 0.0663654  -0.116606 0.0606262 8.75727  -0.116606 0.0606262 8.75727  - - -  - - -  77.3728 63.2281 70.2347 61.3241 - - - - - - 70.2346 - - - - - 139 146 134 70 0 0 0 0
1704289983.140095000  1000.83 0 50.0026  -  nan  0.00391609 -0.0562665 -0.0548276  0.00391609 -0.0562665 -0.0548276  -0.124198 -0.139251 9.05988  -0.124198 -0.139251 9.05988  - - -  - - -  77.1968 63.9894 70.1081 61.8453 - - - - 78.064 - - 62.1659 - - - - 139 146 134 70 0 0 0 0
1704289983.145085000  1000.83 0 50.0033  -  nan  -0.127048 0.0184583 -0.0110778  -0.127048 0.0184583 -0.0110778  -0.161849 0.477778 11.456  -0.161849 0.477778 11.456  - - -  - - -  77.4895 62.5855 70.8643 62.0047 - - - - - 65.4108 - - - - - - 139 146 134 70 0 0 0 0
1704289983.150091000  1000.83 0 50.0033  -  nan  -0.142004 -0.00976821 0.0160919  -0.142004 -0.00976821 0.0160919  0.15108 -0.0471412 9.738  0.15108 -0.0471412 9.738  - - -  - - -  76.8935 63.157 69.8621 60.6818 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704289983.155091000  1000.83 0 50.004  -  nan  -0.0970776 0.0325044 -0.00952291  -0.0970776 0.0325044 -0.00952291  -0.061805 0.0819731 6.76009  -0.061805 0.0819731 6.76009  - - -  - - -  77.1989 63.2466 69.9942 61.3785 - - - - - - 71.7154 - - - - - 139 146 134 70 0 0 0 0
1704289983.160094000  1000.83 0 50.0033  -  nan  -0.229918 -0.0371917 0.0246406  -0.229918 -0.0371917 0.0246406  -0.310096 0.363101 12.8905  -0.310096 0.363101 12.8905  - - -  - - -  77.8547 63.0976 70.119 61.7721 - - - - 77.5555 - - 61.6827 - - - - 139 146 134 70 0 0 0 0
1704289983.165089000  1000.83 0 50.003  -  nan  -0.170881 -0.0385432 0.00153567  -0.170881 -0.0385432 0.00153567  0.334107 -0.0919761 9.28711  0.334107 -0.0919761 9.28711  - - -  - - -  76.6051 63.0883 69.6475 60.3774 - - - - - 62.9882 - - - - - - 139 146 134 70 0 0 0 0
1704289983.170090000  1000.83 0 50.003  -  nan  -0.200366 0.0629632 0.0231196  -0.200366 0.0629632 0.0231196  -0.190849 0.28511 6.34113  -0.190849 0.28511 6.34113  - - -  - - -  77.1689 63.115 69.6395 60.5716 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704289983.175088000  1000.83 0 50.0027  -  nan  -0.274416 -0.0663671 0.0226264  -0.274416 -0.0663671 0.0226264  -0.266304 0.26652 12.728  -0.266304 0.26652 12.728  - - -  - - -  77.5821 64.3692 69.8633 61.0531 - - - - - - 69.8227 - - - - - 139 146 134 70 0 0 0 0
1704289983.180089000  1000.83 0 50.0024  -  nan  -0.229061 -0.0109973 -0.0306173  -0.229061 -0.0109973 -0.0306173  0.246731 0.053316 9.44399  0.246731 0.053316 9.44399  - - -  - - -  76.2702 63.4484 69.7032 59.6201 - - - - - - - 60.2773 - - - - 139 146 134 70 0 0 0 0
1704289983.185085000  1000.83 0 50.003  -  nan  -0.28828 0.0355397 0.0316683  -0.28828 0.0355397 0.0316683  -0.145705 0.32933 6.85127  -0.145705 0.32933 6.85127  - - -  - - -  77.2436 63.5804 69.7724 59.7939 - - - - 77.8089 62.9882 - - - - - - 139 146 134 70 0 0 0 0
