# logged on Tue Nov  7 14:59:09 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699365549.386550000  1000.55 0 49.998  -  nan  0.0470298 0.00318504 -0.00175457  0.0470298 0.00318504 -0.00175457  0.161079 -0.183361 8.93142  0.161079 -0.183361 8.93142  - - -  - - -  69.5479 69.2507 69.9598 65.8697 - - - - - - - - - - - - 139 145 0 70 0 0 0 0
1699365549.391548000  1000.55 0 50.0002  -  nan  0.104054 0.0734571 -0.016613  0.104054 0.0734571 -0.016613  0.0489558 -0.0534793 11.4409  0.0489558 -0.0534793 11.4409  - - -  - - -  69.2609 69.5043 70.7518 65.9194 - - - - 69.8227 - - - - - - - 139 145 0 70 0 0 0 0
1699365549.396544000  1000.55 0 50.0012  -  nan  0.118122 0.073532 -0.0164175  0.118122 0.073532 -0.0164175  0.0588654 -0.0936073 9.84  0.0588654 -0.0936073 9.84  - - -  - - -  69.2518 68.7789 70.2875 65.9867 - - - - - 68.8137 - - - - - - 139 145 0 70 0 0 0 0
1699365549.401588000  1000.55 0 49.9964  -  nan  0.0903777 0.0032298 -0.0149113  0.0903777 0.0032298 -0.0149113  0.159072 -0.230614 9.05041  0.159072 -0.230614 9.05041  - - -  - - -  69.3276 69.2403 70.7926 66.2153 - - - - - - 69.2137 65.2316 - - - - 139 145 0 70 0 0 0 0
1699365549.406549000  1000.56 0 49.9964  -  nan  0.161197 0.0739473 -0.00206002  0.161197 0.0739473 -0.00206002  0.00100505 -0.0527684 11.269  0.00100505 -0.0527684 11.269  - - -  - - -  69.0493 69.1974 71.2919 66.1025 - - - - - - - - - - - - 139 145 0 70 0 0 0 0
1699365549.411547000  1000.57 0 49.9977  -  nan  0.145986 0.0740523 0.0114877  0.145986 0.0740523 0.0114877  0.109956 -0.184547 9.21738  0.109956 -0.184547 9.21738  - - -  - - -  69.0712 68.8797 70.7537 66.2566 - - - - 69.4155 - - - - - - - 139 145 0 70 0 0 0 0
1699365549.416548000  1000.57 0 49.9952  -  nan  0.132227 0.018646 0.0127885  0.132227 0.018646 0.0127885  0.210196 -0.229428 8.76444  0.210196 -0.229428 8.76444  - - -  - - -  69.307 69.3499 70.8354 66.6425 - - - - - 68.8137 - 65.591 - - - - 139 145 0 70 0 0 0 0
1699365549.421556000  1000.57 0 49.9936  -  nan  0.20317 0.115671 -0.00259587  0.20317 0.115671 -0.00259587  0.00179997 -0.0522931 11.1542  0.00179997 -0.0522931 11.1542  - - -  - - -  69.2241 69.3308 71.1249 66.7617 - - - - - - 71.5001 - - - - - 139 145 0 70 0 0 0 0
1699365549.426548000  1000.57 0 49.9936  -  nan  0.189102 0.115596 -0.00279135  0.189102 0.115596 -0.00279135  0.109956 -0.184547 9.21738  0.109956 -0.184547 9.21738  - - -  - - -  69.7003 68.8239 70.463 66.9232 - - - - - - - - - - - - 139 145 0 70 0 0 0 0
1699365549.431549000  1000.57 0 49.9943  -  nan  0.189489 0.0464313 -0.000920896  0.189489 0.0464313 -0.000920896  0.205032 -0.232515 9.50966  0.205032 -0.232515 9.50966  - - -  - - -  70.0965 69.1313 70.6459 67.1727 - - - - 69.2137 - - - - - - - 139 145 0 70 0 0 0 0
1699365549.436543000  1000.57 0 49.9943  -  nan  0.216942 0.144585 0.0105818  0.216942 0.144585 0.0105818  0.0513405 -0.0520534 11.0967  0.0513405 -0.0520534 11.0967  - - -  - - -  69.71 69.2447 71.0201 67.1031 - - - - - 69.0131 - 67.4491 - - - - 139 145 0 70 0 0 0 0
1699365549.441553000  1000.57 0 49.9938  -  nan  0.20301 0.144324 -0.00337077  0.20301 0.144324 -0.00337077  0.109956 -0.184547 9.21738  0.109956 -0.184547 9.21738  - - -  - - -  70.414 69.0258 70.0391 67.2147 - - - - - - 71.0732 - - - - - 139 145 0 70 0 0 0 0
1699365549.446549000  1000.58 0 49.9938  -  nan  0.217608 0.0740616 -0.0150352  0.217608 0.0740616 -0.0150352  0.201475 -0.188589 10.1938  0.201475 -0.188589 10.1938  - - -  - - -  70.8401 69.2659 70.5127 67.3327 - - - - - - - - - - - - 139 145 0 70 0 0 0 0
1699365549.451542000  1000.59 0 49.9935  -  nan  0.25998 0.199961 -0.00407127  0.25998 0.199961 -0.00407127  0.0509396 -0.0522931 11.1546  0.0509396 -0.0522931 11.1546  - - -  - - -  70.5133 69.2361 70.88 67.0921 - - - - 70.8617 - - - - - - - 139 145 0 70 0 0 0 0
1699365549.456544000  1000.59 0 49.9941  -  nan  0.202718 0.172175 0.00963816  0.202718 0.172175 0.00963816  0.105186 -0.187399 9.90574  0.105186 -0.187399 9.90574  - - -  - - -  71.1283 69.0141 69.9272 66.9132 - - - - - 69.0131 - - - - - - 139 145 0 70 0 0 0 0
1699365549.461552000  1000.59 0 49.9925  -  nan  0.260683 0.0744769 -0.000677745  0.260683 0.0744769 -0.000677745  0.150746 -0.189539 10.4229  0.150746 -0.189539 10.4229  - - -  - - -  71.1657 69.4479 70.2871 66.9182 - - - - - - 70.6514 66.8807 - - - - 139 145 0 70 0 0 0 0
1699365549.466552000  1000.59 0 49.9925  -  nan  0.231801 0.158683 0.0241743  0.231801 0.158683 0.0241743  0.0517345 -0.0518179 11.0399  0.0517345 -0.0518179 11.0399  - - -  - - -  70.4175 69.4295 70.6723 66.8257 - - - - - - - - - - - - 139 145 0 70 0 0 0 0
1699365549.471543000  1000.59 0 49.9933  -  nan  0.217102 0.115931 0.0113567  0.217102 0.115931 0.0113567  0.0600379 -0.138959 9.50008  0.0600379 -0.138959 9.50008  - - -  - - -  70.658 69.797 69.7668 66.4653 - - - - 69.4155 - - - - - - - 139 145 0 70 0 0 0 0
1699365549.476557000  1000.6 0 49.9917  -  nan  0.274906 0.0468861 0.000265908  0.274906 0.0468861 0.000265908  0.151941 -0.188824 10.2503  0.151941 -0.188824 10.2503  - - -  - - -  70.637 69.9169 70.4445 66.59 - - - - - 69.4155 - 67.4491 - - - - 139 145 0 70 0 0 0 0
1699365549.481553000  1000.6 0 49.9935  -  nan  0.232099 0.129844 0.0111921  0.232099 0.129844 0.0111921  0.0046021 -0.00456472 10.9205  0.0046021 -0.00456472 10.9205  - - -  - - -  70.2108 69.8363 70.9099 66.2852 - - - - - - 69.8227 - - - - - 139 145 0 70 0 0 0 0
1699365549.486548000  1000.61 0 49.9935  -  nan  0.232623 0.0604942 -0.000694603  0.232623 0.0604942 -0.000694603  0.0600613 -0.0928923 9.66741  0.0600613 -0.0928923 9.66741  - - -  - - -  70.4952 70.2376 70.4023 65.7088 - - - - - - - - - - - - 139 145 0 70 0 0 0 0
1699365549.491543000  1000.62 0 49.9951  -  nan  0.26129 -0.00969364 -0.0121636  0.26129 -0.00969364 -0.0121636  0.104408 -0.141811 10.1888  0.104408 -0.141811 10.1888  - - -  - - -  70.3228 70.2921 71.0025 65.6282 - - - - 71.7154 - - - - - - - 139 145 0 70 0 0 0 0
