# logged on Tue Nov  7 15:17:06 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699366626.292481000  1000.01 0 50.0561  -  nan  0.0700656 0.171485 0.120678  0.0700656 0.171485 0.120678  1.14258 -1.65848 7.99643  1.14258 -1.65848 7.99643  - - -  - - -  67.3991 70.1898 70.8427 66.7603 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.297483000  1000.01 0 50.0561  -  nan  0.0767134 0.174776 -0.0667854  0.0767134 0.174776 -0.0667854  0.265188 2.05431 8.83339  0.265188 2.05431 8.83339  - - -  - - -  67.769 70.2896 69.8455 68.0869 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.302470000  1000.01 0 50.0561  -  nan  0.14754 0.257532 0.0304244  0.14754 0.257532 0.0304244  -1.79271 -0.358567 11.4205  -1.79271 -0.358567 11.4205  - - -  - - -  68.8815 70.5331 70.3929 66.3329 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.307500000  1000.01 0 50.0561  -  nan  0.149198 0.247751 0.0851715  0.149198 0.247751 0.0851715  2.31152 -0.563096 10.0639  2.31152 -0.563096 10.0639  - - -  - - -  67.785 70.4892 70.9027 66.8815 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.312469000  1000.01 0 50.0561  -  nan  0.119337 0.208173 -0.0660403  0.119337 0.208173 -0.0660403  0.444015 2.12863 9.65431  0.444015 2.12863 9.65431  - - -  - - -  67.8998 70.7788 70.3068 67.8554 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.317499000  1000.01 0 50.0561  -  nan  0.171006 0.247532 0.0996223  0.171006 0.247532 0.0996223  -1.03122 -1.69481 10.6809  -1.03122 -1.69481 10.6809  - - -  - - -  69.1439 70.8089 71.1285 65.9815 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.322473000  1000.01 0 50.057  -  nan  0.176224 0.262366 0.104532  0.176224 0.262366 0.104532  2.31575 -0.717127 10.281  2.31575 -0.717127 10.281  - - -  - - -  67.9502 70.6617 71.0184 67.4062 - - - - 69.4155 71.0732 70.4424 66.3218 - - - - 0 0 0 0 0 0 0 0
1699366626.327483000  1000.01 0 50.057  -  nan  0.165157 0.240563 -0.0631285  0.165157 0.240563 -0.0631285  -1.25987 1.6985 10.3025  -1.25987 1.6985 10.3025  - - -  - - -  68.7141 70.8943 69.8149 67.9322 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.332470000  1000.01 0 50.057  -  nan  0.232062 0.28541 0.0743225  0.232062 0.28541 0.0743225  -1.20459 -1.68401 9.72805  -1.20459 -1.68401 9.72805  - - -  - - -  69.5462 71.0806 70.9772 66.0029 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.337482000  1000.02 0 50.057  -  nan  0.262239 0.316631 0.0356775  0.262239 0.316631 0.0356775  2.52498 0.96254 9.78041  2.52498 0.96254 9.78041  - - -  - - -  68.818 71.0831 70.9254 67.1413 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.342471000  1000.02 0 50.0541  -  nan  0.212644 0.255644 -0.0560611  0.212644 0.255644 -0.0560611  -1.13119 2.03165 10.9847  -1.13119 2.03165 10.9847  - - -  - - -  69.9402 71.2525 69.4679 67.4166 - - - - 69.4155 71.5001 70.8617 67.2585 - - - - 0 0 0 0 0 0 0 0
1699366626.347505000  1000.03 0 50.0541  -  nan  0.242043 0.255426 0.111403  0.242043 0.255426 0.111403  0.33585 -2.31175 10.1021  0.33585 -2.31175 10.1021  - - -  - - -  70.1875 71.4442 70.9314 65.4155 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.352481000  1000.03 0 50.0541  -  nan  0.303895 0.319591 0.0440373  0.303895 0.319591 0.0440373  2.79713 0.698376 10.1026  2.79713 0.698376 10.1026  - - -  - - -  69.5025 71.4377 70.8066 67.0757 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.357484000  1000.04 0 50.0541  -  nan  0.305036 0.315639 -0.0150132  0.305036 0.315639 -0.0150132  -2.40139 0.688389 11.9248  -2.40139 0.688389 11.9248  - - -  - - -  70.8423 71.6192 69.3567 67.0402 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.362497000  1000.05 0 50.0557  -  nan  0.317647 0.262437 0.094995  0.317647 0.262437 0.094995  -0.0329939 -2.48671 9.29856  -0.0329939 -2.48671 9.29856  - - -  - - -  70.6285 71.6808 70.6492 65.7686 - - - - 70.6514 71.286 69.6185 66.6933 - - - - 0 0 0 0 0 0 0 0
1699366626.367524000  1000.04 0 50.0557  -  nan  0.370389 0.290846 -0.00452506  0.370389 0.290846 -0.00452506  1.86813 2.41238 7.92597  1.86813 2.41238 7.92597  - - -  - - -  70.1941 71.2426 69.8699 67.5367 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.372490000  1000.03 0 50.0557  -  nan  0.365018 0.303377 -0.0101749  0.365018 0.303377 -0.0101749  -2.42745 1.1206 12.4178  -2.42745 1.1206 12.4178  - - -  - - -  71.8469 71.8137 69.4032 66.5394 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.377488000  1000.03 0 50.0557  -  nan  0.400244 0.250111 0.0865374  0.400244 0.250111 0.0865374  1.84823 -2.1432 11.908  1.84823 -2.1432 11.908  - - -  - - -  70.9925 71.782 70.5302 66.0043 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.382506000  1000.03 0 50.0601  -  nan  0.409905 0.292748 0.00435683  0.409905 0.292748 0.00435683  2.332 2.17047 8.39563  2.332 2.17047 8.39563  - - -  - - -  71.0577 71.1072 69.5797 67.5773 - - - - 71.5001 71.9321 70.8617 65.4108 - - - - 0 0 0 0 0 0 0 0
1699366626.387525000  1000.02 0 50.0601  -  nan  0.42871 0.306536 0.0435231  0.42871 0.306536 0.0435231  -2.70131 -0.70707 10.5764  -2.70131 -0.70707 10.5764  - - -  - - -  72.4682 71.911 69.4395 66.3552 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.392504000  1000.01 0 50.0601  -  nan  0.473403 0.22859 0.0635329  0.473403 0.22859 0.0635329  1.39715 -2.49776 10.8742  1.39715 -2.49776 10.8742  - - -  - - -  71.2704 71.7056 70.4439 66.4766 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.397516000  999.993 0 50.0601  -  nan  0.481577 0.210474 0.00548684  0.481577 0.210474 0.00548684  0.451226 3.06426 8.89773  0.451226 3.06426 8.89773  - - -  - - -  71.8635 70.6969 69.3066 67.7373 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.402502000  999.984 0 50.0596  -  nan  0.488621 0.28497 0.0611789  0.488621 0.28497 0.0611789  -2.86891 -0.151771 11.1479  -2.86891 -0.151771 11.1479  - - -  - - -  72.6395 71.7201 69.4935 66.4235 - - - - 70.6514 72.1501 69.6185 67.8334 - - - - 0 0 0 0 0 0 0 0
