# logged on Mon Nov 13 16:50:43 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699890643.777489000  999.873 0 100.013  -  nan  -0.0534326 0.12851 0.0209839  -0.0534326 0.12851 0.0209839  0.00774194 -0.0947934 10.126  0.00774194 -0.0947934 10.126  - - -  - - -  71.7449 69.6965 68.9327 66.84 - - - - 71.5001 69.6185 69.6185 64.6998 - - - - 139 146 134 71 0 0 0 0
1699890643.782485000  999.874 0 100.013  -  nan  0.00328902 0.0732927 0.00950499  0.00328902 0.0732927 0.00950499  -0.0326221 0.0476727 9.36769  -0.0326221 0.0476727 9.36769  - - -  - - -  72.0818 70.8338 67.7868 65.9785 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1699890643.787502000  999.866 0 100.015  -  nan  0.118515 0.00337959 -0.0145204  0.118515 0.00337959 -0.0145204  0.109241 -0.000762466 10.0034  0.109241 -0.000762466 10.0034  - - -  - - -  72.1313 70.6781 68.2016 66.2102 - - - - 71.9321 - 68.2221 65.0533 - - - - 139 146 134 71 0 0 0 0
1699890643.792493000  999.862 0 100.012  -  nan  -0.0249259 0.0869758 0.00873996  -0.0249259 0.0869758 0.00873996  -0.0405863 -0.0482553 10.1792  -0.0405863 -0.0482553 10.1792  - - -  - - -  71.9769 69.9227 68.7111 66.3601 - - - - - 70.8617 - - - - - - 139 146 134 71 0 0 0 0
1699890643.797481000  999.855 0 100.015  -  nan  0.0613819 0.00287616 -0.030056  0.0613819 0.00287616 -0.030056  -0.0342036 0.00161395 9.42873  -0.0342036 0.00161395 9.42873  - - -  - - -  72.0881 70.549 68.2239 65.656 - - - - 71.9321 70.6514 68.8137 67.0691 - - - - 139 146 134 71 0 0 0 0
1699890643.802492000  999.856 0 100.015  -  nan  0.118894 -0.0383175 -0.0281378  0.118894 -0.0383175 -0.0281378  0.0600928 0.0443457 10.1715  0.0600928 0.0443457 10.1715  - - -  - - -  71.9168 69.8935 69.0628 66.0958 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1699890643.807502000  999.853 0 100.017  -  nan  -0.0107023 0.0593849 0.00968361  -0.0107023 0.0593849 0.00968361  -0.0385956 -0.047065 9.8919  -0.0385956 -0.047065 9.8919  - - -  - - -  71.6906 69.2905 69.3496 66.3693 - - - - 72.1501 70.2346 67.8334 67.0691 - - - - 139 146 134 71 0 0 0 0
1699890643.812496000  999.854 0 100.017  -  nan  0.0906101 -0.0382688 -0.013789  0.0906101 -0.0382688 -0.013789  -0.131881 0.00137424 9.4859  -0.131881 0.00137424 9.4859  - - -  - - -  71.8253 70.1639 68.778 65.7886 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1699890643.817496000  999.851 0 100.019  -  nan  0.162036 -0.0517219 -0.0124236  0.162036 -0.0517219 -0.0124236  0.0612886 0.0450607 9.99888  0.0612886 0.0450607 9.99888  - - -  - - -  71.4453 69.8541 69.3338 66.1798 - - - - 71.9321 - 67.6407 66.6933 - - - - 139 146 134 71 0 0 0 0
1699890643.822491000  999.853 0 100.015  -  nan  -0.0387441 0.0179218 0.024172  -0.0387441 0.0179218 0.024172  0.00853686 -0.0943182 10.0112  0.00853686 -0.0943182 10.0112  - - -  - - -  71.0633 69.6198 69.7361 66.3899 - - - - - 70.4424 - - - - - - 139 146 134 71 0 0 0 0
