    ts      x      y      z   roll  pitch    yaw     vx     vy     vz     wx     wy     wz     ax     ay     az    dwx    dwy    dwz
 3.5750000  -0.1881840   0.3929680   1.2609500   0.0000000   0.0000000  -0.6459860   1.0335600  -0.4969620   0.0381604   0.0000000   0.0000000   0.0000000  -0.0759102   0.0440356   0.0000000   0.0000000   0.0000000   0.0000000
 3.5800000  -0.1830170   0.3904840   1.2611400   0.0000000   0.0000000  -0.6471700   1.0331700  -0.4967300   0.0381604   0.0000000   0.0000000   0.0000000  -0.0821960   0.0488529   0.0000000   0.0000000   0.0000000   0.0000000
 3.5850000  -0.1778520   0.3880010   1.2613300   0.0000000   0.0000000  -0.6483470   1.0327400  -0.4964740   0.0381604   0.0000000   0.0000000   0.0000000  -0.0887318   0.0539202   0.0000000   0.0000000   0.0000000   0.0000000
 3.5900000  -0.1726890   0.3855190   1.2615200   0.0000000   0.0000000  -0.6495190   1.0322800  -0.4961910   0.0381604   0.0000000   0.0000000   0.0000000  -0.0955176   0.0592375   0.0000000   0.0000000   0.0000000   0.0000000
 3.5950000  -0.1675290   0.3830390   1.2617100   0.0000000   0.0000000  -0.6506830   1.0317800  -0.4958810   0.0381604   0.0000000   0.0000000   0.0000000  -0.1025530   0.0648048   0.0000000   0.0000000   0.0000000   0.0000000
 3.6000000  -0.1623720   0.3805610   1.2619000   0.0000000   0.0000000  -0.6518420   1.0312500  -0.4955420   0.0381604   0.0000000   0.0000000   0.0000000  -0.1098390   0.0706221   0.0000000   0.0000000   0.0000000   0.0000000
 3.6050000  -0.1572170   0.3780840   1.2620900   0.0000000   0.0000000  -0.6529950   1.0306900  -0.4951740   0.0381604   0.0000000   0.0000000   0.0000000  -0.1173750   0.0766894   0.0000000   0.0000000   0.0000000   0.0000000
 3.6100000  -0.1520650   0.3756090   1.2622800   0.0000000   0.0000000  -0.6541410   1.0300800  -0.4947750   0.0381604   0.0000000   0.0000000   0.0000000  -0.1251610   0.0830067   0.0000000   0.0000000   0.0000000   0.0000000
 3.6150000  -0.1469160   0.3731360   1.2624700   0.0000000   0.0000000  -0.6552810   1.0294300  -0.4943440   0.0381604   0.0000000   0.0000000   0.0000000  -0.1331960   0.0895740   0.0000000   0.0000000   0.0000000   0.0000000
 3.6200000  -0.1417710   0.3706660   1.2626600   0.0000000   0.0000000  -0.6564140   1.0287500  -0.4938790   0.0381604   0.0000000   0.0000000   0.0000000  -0.1414820   0.0963913   0.0000000   0.0000000   0.0000000   0.0000000
