# logged on Tue Jan  2 13:31:51 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704198711.818731000  1000.06 0 100.016  -  nan  -0.273293 0.0916593 0.017111  -0.273293 0.0916593 0.017111  0.202895 0.102416 9.49678  0.202895 0.102416 9.49678  - - -  - - -  79.4379 69.0183 74.984 63.6278 - - - - 78.5793 - - 63.4921 - - - - 139 145 0 70 0 0 0 0
1704198711.823727000  1000.06 0 100.014  -  nan  -0.200284 0.00359582 -0.0155661  -0.200284 0.00359582 -0.0155661  -0.256818 0.241196 10.45  -0.256818 0.241196 10.45  - - -  - - -  79.9127 70.0093 73.8143 63.7314 - - - - - 70.8617 74.638 - - - - - 139 145 0 70 0 0 0 0
1704198711.828739000  1000.05 0 100.016  -  nan  -0.214868 0.00420368 -0.00298874  -0.214868 0.00420368 -0.00298874  -0.170566 -0.00210079 10.0738  -0.170566 -0.00210079 10.0738  - - -  - - -  79.7431 69.4348 74.2176 63.7958 - - - - 79.6305 - - 63.3232 - - - - 138 145 0 70 0 0 0 0
1704198711.833727000  1000.05 0 100.014  -  nan  -0.169803 0.0169892 -0.0557166  -0.169803 0.0169892 -0.0557166  0.33737 0.0520959 9.55883  0.33737 0.0520959 9.55883  - - -  - - -  79.803 69.2707 74.4294 63.7048 - - - - - 69.6185 74.4048 - - - - - 138 145 0 70 0 0 0 0
1704198711.838731000  1000.05 0 100.015  -  nan  -0.242995 0.104621 -0.00846813  -0.242995 0.104621 -0.00846813  -0.339851 0.399089 9.52263  -0.339851 0.399089 9.52263  - - -  - - -  80.8071 68.6324 74.4025 63.6769 - - - - 80.7103 - - 64.1766 - - - - 138 145 0 70 0 0 0 0
1704198711.843726000  1000.05 0 100.013  -  nan  -0.214906 -0.0247024 -0.0155658  -0.214906 -0.0247024 -0.0155658  -0.455505 -0.158763 10.8833  -0.455505 -0.158763 10.8833  - - -  - - -  80.6264 69.6915 73.9392 63.5504 - - - - - 68.8137 74.4048 - - - - - 138 145 0 70 0 0 0 0
1704198711.848756000  1000.06 0 100.013  -  nan  -0.0527481 0.0142522 -0.102966  -0.0527481 0.0142522 -0.102966  0.523294 0.0557563 9.21766  0.523294 0.0557563 9.21766  - - -  - - -  80.052 68.5456 75.0174 63.7605 - - - - 80.9848 - - 64.8761 - - - - 138 145 0 70 0 0 0 0
1704198711.853735000  1000.06 0 100.011  -  nan  -0.287857 0.165816 0.0678791  -0.287857 0.165816 0.0678791  -0.476373 0.446969 9.68891  -0.476373 0.446969 9.68891  - - -  - - -  81.2141 68.0978 75.0047 64.2631 - - - - - 70.028 75.1089 - - - - - 138 145 0 70 0 0 0 0
1704198711.858749000  1000.05 0 100.011  -  nan  -0.142187 -0.0827752 -0.00853184  -0.142187 -0.0827752 -0.00853184  -0.229971 -0.261854 11.2364  -0.229971 -0.261854 11.2364  - - -  - - -  80.8889 70.0226 73.6231 64.386 - - - - 79.1014 - - 64.1766 - - - - 138 145 0 70 0 0 0 0
1704198711.863737000  1000.04 0 100.008  -  nan  -0.0381644 0.0136443 -0.115544  -0.0381644 0.0136443 -0.115544  0.432664 0.0137609 8.59391  0.432664 0.0137609 8.59391  - - -  - - -  79.7426 68.0501 75.3372 65.0213 - - - - - 67.4491 74.638 - - - - - 138 145 0 70 0 0 0 0
