# logged on Fri Jan  5 16:00:36 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704466836.311556000  1000.93 0 50.0051  -  nan  -0.0835032 0.0787807 0.0849507  -0.0835032 0.0787807 0.0849507  0.119615 0.260708 8.62691  0.119615 0.260708 8.62691  - - -  - - -  77.2752 68.7525 69.4758 63.9866 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1704466836.316550000  1000.93 0 50.0051  -  nan  -0.0402825 -0.0685144 0.011538  -0.0402825 -0.0685144 0.011538  -0.590148 0.0301336 11.6072  -0.590148 0.0301336 11.6072  - - -  - - -  77.4227 70.5877 67.8432 64.0494 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1704466836.321555000  1000.93 0 50.0056  -  nan  0.0199253 -0.0737396 -0.108474  0.0199253 -0.0737396 -0.108474  0.424369 -0.00454105 10.3065  0.424369 -0.00454105 10.3065  - - -  - - -  76.3575 69.1523 69.5635 63.401 - - - - - 69.0131 - - - - - - 138 146 0 70 0 0 0 0
1704466836.326543000  1000.93 0 50.0064  -  nan  -0.141776 0.165733 0.0924525  -0.141776 0.165733 0.0924525  -0.0614223 0.314084 8.27859  -0.0614223 0.314084 8.27859  - - -  - - -  77.6616 68.6008 69.743 63.0114 - - - - - - 68.8137 64.5245 - - - - 138 146 0 70 0 0 0 0
1704466836.331548000  1000.92 0 50.0048  -  nan  -0.0991768 -0.0486801 0.116554  -0.0991768 -0.0486801 0.116554  -0.779263 -0.0258774 12.2943  -0.779263 -0.0258774 12.2943  - - -  - - -  77.7891 71.1733 67.1917 63.2558 - - - - 77.0535 - - - - - - - 138 146 0 70 0 0 0 0
1704466836.336546000  1000.91 0 50.0048  -  nan  0.0493315 -0.0902606 -0.161237  0.0493315 -0.0902606 -0.161237  0.563059 -0.0950211 9.57373  0.563059 -0.0950211 9.57373  - - -  - - -  75.929 69.7026 69.1458 63.0132 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1704466836.341544000  1000.91 0 50.0063  -  nan  -0.141335 0.178791 0.0638544  -0.141335 0.178791 0.0638544  0.219673 0.324449 7.31064  0.219673 0.324449 7.31064  - - -  - - -  78.0885 68.0321 69.8719 62.6345 - - - - - 67.8334 - - - - - - 138 146 0 70 0 0 0 0
1704466836.346537000  1000.91 0 50.0046  -  nan  -0.144424 -0.01628 0.208463  -0.144424 -0.01628 0.208463  -0.863105 0.17441 12.0475  -0.863105 0.17441 12.0475  - - -  - - -  77.567 71.3445 67.1441 63.0045 - - - - 76.8049 - 68.6153 63.6618 - - - - 138 146 0 70 0 0 0 0
1704466836.351555000  1000.91 0 50.0046  -  nan  0.0936462 -0.134092 -0.183846  0.0936462 -0.134092 -0.183846  0.606705 -0.190792 9.24047  0.606705 -0.190792 9.24047  - - -  - - -  75.6533 69.4307 69.6631 63.0804 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1704466836.356554000  1000.91 0 50.0046  -  nan  -0.0972478 0.150226 0.0678839  -0.0972478 0.150226 0.0678839  0.0376873 0.421041 7.47122  0.0376873 0.421041 7.47122  - - -  - - -  77.8418 66.971 70.6171 62.8239 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
