# logged on Wed Nov 29 17:35:52 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701275752.303470000  1000.17 0 50.0256  -  nan  0.121215 0.0462362 0.0185344  0.121215 0.0462362 0.0185344  -0.0353974 -0.0520217 10.1933  -0.0353974 -0.0520217 10.1933  - - -  - - -  80.4653 82.4377 84.2763 80.2098 - - - - - - - 79.8977 - - - - 139 0 0 70 0 0 0 0
1701275752.308469000  1000.15 0 50.0274  -  nan  0.0768251 0.0322556 0.0159899  0.0768251 0.0322556 0.0159899  0.101322 -0.147792 9.86077  0.101322 -0.147792 9.86077  - - -  - - -  80.4192 82.7866 84.2377 80.0535 - - - - - 82.672 84.4309 - - - - - 139 0 0 70 0 0 0 0
1701275752.313484000  1000.15 0 50.0274  -  nan  0.135597 0.0172646 0.00694697  0.135597 0.0172646 0.00694697  -0.0330284 -0.00148542 10.0172  -0.0330284 -0.00148542 10.0172  - - -  - - -  80.2169 83.152 84.5928 79.9714 - - - - - - - - - - - - 139 0 0 70 0 0 0 0
1701275752.318475000  1000.14 0 50.0267  -  nan  0.0771275 0.0748012 0.014505  0.0771275 0.0748012 0.014505  0.0523067 -0.200553 10.1498  0.0523067 -0.200553 10.1498  - - -  - - -  80.0806 83.0947 84.8188 80.149 - - - - 79.8977 - - - - - - - 139 0 0 70 0 0 0 0
1701275752.323473000  1000.14 0 50.024  -  nan  0.121278 0.031512 0.0054624  0.121278 0.031512 0.0054624  0.105292 -0.0465258 9.68008  0.105292 -0.0465258 9.68008  - - -  - - -  80.1164 83.6136 84.9348 79.7836 - - - - - - - 79.8977 - - - - 139 0 0 70 0 0 0 0
1701275752.328468000  1000.14 0 50.0243  -  nan  0.136467 0.115995 -0.0100849  0.136467 0.115995 -0.0100849  0.055166 -0.101737 10.1985  0.055166 -0.101737 10.1985  - - -  - - -  80.0631 83.6481 85.3604 79.8466 - - - - - 82.1018 84.1326 - - - - - 139 0 0 70 0 0 0 0
1701275752.333486000  1000.14 0 50.0243  -  nan  0.107362 0.102487 0.00199791  0.107362 0.102487 0.00199791  0.193734 -0.147177 9.80386  0.193734 -0.147177 9.80386  - - -  - - -  80.3772 83.8316 85.2943 79.6832 - - - - - - - - - - - - 139 0 0 70 0 0 0 0
1701275752.338472000  1000.13 0 50.0228  -  nan  0.195351 0.115147 -0.0205919  0.195351 0.115147 -0.0205919  0.149147 -0.0514064 10.1371  0.149147 -0.0514064 10.1371  - - -  - - -  80.5665 84.1628 85.4267 79.6513 - - - - 79.6305 - - - - - - - 139 0 0 70 0 0 0 0
1701275752.343483000  1000.13 0 50.0195  -  nan  0.137023 0.217837 -5.34389e-05  0.137023 0.217837 -5.34389e-05  0.145545 -0.198112 9.92216  0.145545 -0.198112 9.92216  - - -  - - -  80.8603 83.9248 85.4301 79.8201 - - - - - - - 80.4376 - - - - 139 0 0 70 0 0 0 0
1701275752.348495000  1000.12 0 50.0187  -  nan  0.180964 0.145171 -0.00807071  0.180964 0.145171 -0.00807071  0.194471 -0.0992969 9.97115  0.194471 -0.0992969 9.97115  - - -  - - -  81.4521 84.3449 85.2065 79.6437 - - - - - 84.7314 85.3388 - - - - - 139 0 0 70 0 0 0 0
1701275752.353492000  1000.12 0 50.0187  -  nan  0.181412 0.231817 0.00249105  0.181412 0.231817 0.00249105  0.144624 -0.153893 10.432  0.144624 -0.153893 10.432  - - -  - - -  81.4321 84.3521 85.4771 79.8839 - - - - - - - - - - - - 139 0 0 70 0 0 0 0
1701275752.358500000  1000.11 0 50.0169  -  nan  0.167295 0.274428 1.65241e-05  0.167295 0.274428 1.65241e-05  0.238671 -0.193847 9.52372  0.238671 -0.193847 9.52372  - - -  - - -  81.7436 84.6323 85.2905 79.7389 - - - - 80.9848 - - - - - - - 139 0 0 70 0 0 0 0
1701275752.363479000  1000.1 0 50.0152  -  nan  0.254604 0.216761 -0.0055623  0.254604 0.216761 -0.0055623  0.191711 -0.105387 10.541  0.191711 -0.105387 10.541  - - -  - - -  82.3294 85.0192 85.1378 79.934 - - - - - - - 79.1014 - - - - 139 0 0 70 0 0 0 0
1701275752.368496000  1000.11 0 50.0171  -  nan  0.19628 0.318398 0.0140424  0.19628 0.318398 0.0140424  0.143697 -0.248443 9.98421  0.143697 -0.248443 9.98421  - - -  - - -  82.1291 84.9364 85.3651 80.0282 - - - - - 83.8364 85.955 - - - - - 139 0 0 70 0 0 0 0
1701275752.373489000  1000.11 0 50.0171  -  nan  0.269535 0.288617 -0.00708295  0.269535 0.288617 -0.00708295  0.193918 -0.100517 10.0853  0.193918 -0.100517 10.0853  - - -  - - -  82.7575 85.3718 84.9995 79.8941 - - - - - - - - - - - - 139 0 0 70 0 0 0 0
1701275752.378494000  1000.11 0 50.0164  -  nan  0.269472 0.303342 0.00598907  0.269472 0.303342 0.00598907  0.186535 -0.301819 10.3315  0.186535 -0.301819 10.3315  - - -  - - -  82.7048 85.2738 85.3363 80.2309 - - - - 82.1018 - - - - - - - 139 0 0 70 0 0 0 0
1701275752.383488000  1000.11 0 50.0157  -  nan  0.269774 0.345887 0.00450413  0.269774 0.345887 0.00450413  0.239966 -0.144737 9.57584  0.239966 -0.144737 9.57584  - - -  - - -  82.8514 85.3538 85.2146 80.4119 - - - - - - - 79.6305 - - - - 139 0 0 70 0 0 0 0
1701275752.388486000  1000.11 0 50.0177  -  nan  0.3426 0.303009 0.0110077  0.3426 0.303009 0.0110077  0.23204 -0.208478 10.8928  0.23204 -0.208478 10.8928  - - -  - - -  83.3678 85.4407 85.1809 80.8348 - - - - - 86.5801 85.034 - - - - - 139 0 0 70 0 0 0 0
1701275752.393472000  1000.11 0 50.0177  -  nan  0.298658 0.375675 0.019025  0.298658 0.375675 0.019025  0.141301 -0.299983 10.1594  0.141301 -0.299983 10.1594  - - -  - - -  83.184 85.2441 85.4621 81.0134 - - - - - - - - - - - - 139 0 0 70 0 0 0 0
1701275752.398487000  1000.11 0 50.0159  -  nan  0.416095 0.330498 0.00146944  0.416095 0.330498 0.00146944  0.192075 -0.150837 10.1464  0.192075 -0.150837 10.1464  - - -  - - -  83.7699 85.4235 85.2213 81.1476 - - - - 83.2501 - - - - - - - 139 0 0 70 0 0 0 0
1701275752.403482000  1000.1 0 50.0163  -  nan  0.343175 0.360207 -0.00457453  0.343175 0.360207 -0.00457453  0.139179 -0.350919 10.2781  0.139179 -0.350919 10.2781  - - -  - - -  83.8132 84.7978 85.4499 81.9163 - - - - - - - 82.1018 - - - - 139 0 0 70 0 0 0 0
1701275752.408484000  1000.11 0 50.0162  -  nan  0.387565 0.374188 -0.00203004  0.387565 0.374188 -0.00203004  0.146835 -0.149012 9.97527  0.146835 -0.149012 9.97527  - - -  - - -  83.8115 85.084 85.6035 81.7445 - - - - - 86.2664 84.7314 - - - - - 139 0 0 70 0 0 0 0
