    ts      x      y      z   roll  pitch    yaw     vx     vy     vz     wx     wy     wz     ax     ay     az    dwx    dwy    dwz
10.6550000   0.9637250  -0.4185000   1.3337800   0.0000000   0.0000000  -0.7279940   0.3495180   0.0000000   0.1823410   0.0000000   0.0000000   0.0000000  -0.5565590   0.0000000   0.8205590   0.0000000   0.0000000   0.0000000
10.6600000   0.9654650  -0.4185000   1.3347000   0.0000000   0.0000000  -0.7279940   0.3467400   0.0000000   0.1864530   0.0000000   0.0000000   0.0000000  -0.5548770   0.0000000   0.8243640   0.0000000   0.0000000   0.0000000
10.6650000   0.9671920  -0.4185000   1.3356400   0.0000000   0.0000000  -0.7279940   0.3439700   0.0000000   0.1905840   0.0000000   0.0000000   0.0000000  -0.5529460   0.0000000   0.8279180   0.0000000   0.0000000   0.0000000
10.6700000   0.9689050  -0.4185000   1.3366000   0.0000000   0.0000000  -0.7279940   0.3412100   0.0000000   0.1947320   0.0000000   0.0000000   0.0000000  -0.5507650   0.0000000   0.8312230   0.0000000   0.0000000   0.0000000
10.6750000   0.9706040  -0.4185000   1.3375900   0.0000000   0.0000000  -0.7279940   0.3384630   0.0000000   0.1988960   0.0000000   0.0000000   0.0000000  -0.5483340   0.0000000   0.8342770   0.0000000   0.0000000   0.0000000
10.6800000   0.9722900  -0.4185000   1.3385900   0.0000000   0.0000000  -0.7279940   0.3357280   0.0000000   0.2030740   0.0000000   0.0000000   0.0000000  -0.5456530   0.0000000   0.8370820   0.0000000   0.0000000   0.0000000
10.6850000   0.9739610  -0.4185000   1.3396200   0.0000000   0.0000000  -0.7279940   0.3330070   0.0000000   0.2072660   0.0000000   0.0000000   0.0000000  -0.5427220   0.0000000   0.8396360   0.0000000   0.0000000   0.0000000
10.6900000   0.9756200  -0.4185000   1.3406700   0.0000000   0.0000000  -0.7279940   0.3303010   0.0000000   0.2114700   0.0000000   0.0000000   0.0000000  -0.5395410   0.0000000   0.8419400   0.0000000   0.0000000   0.0000000
10.6950000   0.9772650  -0.4185000   1.3417300   0.0000000   0.0000000  -0.7279940   0.3276120   0.0000000   0.2156850   0.0000000   0.0000000   0.0000000  -0.5361100   0.0000000   0.8439950   0.0000000   0.0000000   0.0000000
10.7000000   0.9788960  -0.4185000   1.3428200   0.0000000   0.0000000  -0.7279940   0.3249400   0.0000000   0.2199100   0.0000000   0.0000000   0.0000000  -0.5324290   0.0000000   0.8457990   0.0000000   0.0000000   0.0000000
10.7050000   0.9805140  -0.4185000   1.3439300   0.0000000   0.0000000  -0.7279940   0.3222880   0.0000000   0.2241430   0.0000000   0.0000000   0.0000000  -0.5284980   0.0000000   0.8473540   0.0000000   0.0000000   0.0000000
10.7100000   0.9821190  -0.4185000   1.3450600   0.0000000   0.0000000  -0.7279940   0.3196560   0.0000000   0.2283830   0.0000000   0.0000000   0.0000000  -0.5243170   0.0000000   0.8486580   0.0000000   0.0000000   0.0000000
10.7150000   0.9837110  -0.4185000   1.3462200   0.0000000   0.0000000  -0.7279940   0.3170450   0.0000000   0.2326290   0.0000000   0.0000000   0.0000000  -0.5198850   0.0000000   0.8497130   0.0000000   0.0000000   0.0000000
10.7200000   0.9852890  -0.4185000   1.3473900   0.0000000   0.0000000  -0.7279940   0.3144570   0.0000000   0.2368800   0.0000000   0.0000000   0.0000000  -0.5152040   0.0000000   0.8505170   0.0000000   0.0000000   0.0000000
10.7250000   0.9868550  -0.4185000   1.3485900   0.0000000   0.0000000  -0.7279940   0.3118930   0.0000000   0.2411340   0.0000000   0.0000000   0.0000000  -0.5102730   0.0000000   0.8510720   0.0000000   0.0000000   0.0000000
10.7300000   0.9884080  -0.4185000   1.3498000   0.0000000   0.0000000  -0.7279940   0.3093550   0.0000000   0.2453900   0.0000000   0.0000000   0.0000000  -0.5050920   0.0000000   0.8513760   0.0000000   0.0000000   0.0000000
10.7350000   0.9899490  -0.4185000   1.3510400   0.0000000   0.0000000  -0.7279940   0.3068430   0.0000000   0.2496470   0.0000000   0.0000000   0.0000000  -0.4996610   0.0000000   0.8514300   0.0000000   0.0000000   0.0000000
10.7400000   0.9914770  -0.4185000   1.3523000   0.0000000   0.0000000  -0.7279940   0.3043590   0.0000000   0.2539040   0.0000000   0.0000000   0.0000000  -0.4939800   0.0000000   0.8512350   0.0000000   0.0000000   0.0000000
10.7450000   0.9929920  -0.4185000   1.3535800   0.0000000   0.0000000  -0.7279940   0.3019030   0.0000000   0.2581590   0.0000000   0.0000000   0.0000000  -0.4880490   0.0000000   0.8507890   0.0000000   0.0000000   0.0000000
10.7500000   0.9944960  -0.4185000   1.3548800   0.0000000   0.0000000  -0.7279940   0.2994780   0.0000000   0.2624110   0.0000000   0.0000000   0.0000000  -0.4818680   0.0000000   0.8500940   0.0000000   0.0000000   0.0000000
10.7550000   0.9959870  -0.4185000   1.3562000   0.0000000   0.0000000  -0.7279940   0.2970850   0.0000000   0.2666590   0.0000000   0.0000000   0.0000000  -0.4754370   0.0000000   0.8491480   0.0000000   0.0000000   0.0000000
10.7600000   0.9974670  -0.4185000   1.3575500   0.0000000   0.0000000  -0.7279940   0.2947250   0.0000000   0.2709020   0.0000000   0.0000000   0.0000000  -0.4687560   0.0000000   0.8479530   0.0000000   0.0000000   0.0000000
10.7650000   0.9989350  -0.4185000   1.3589100   0.0000000   0.0000000  -0.7279940   0.2923980   0.0000000   0.2751390   0.0000000   0.0000000   0.0000000  -0.4618250   0.0000000   0.8465070   0.0000000   0.0000000   0.0000000
10.7700000   1.0003900  -0.4185000   1.3603000   0.0000000   0.0000000  -0.7279940   0.2901070   0.0000000   0.2793670   0.0000000   0.0000000   0.0000000  -0.4546430   0.0000000   0.8448120   0.0000000   0.0000000   0.0000000
10.7750000   1.0018400  -0.4185000   1.3617100   0.0000000   0.0000000  -0.7279940   0.2878520   0.0000000   0.2835860   0.0000000   0.0000000   0.0000000  -0.4472120   0.0000000   0.8428660   0.0000000   0.0000000   0.0000000
10.7800000   1.0032700  -0.4185000   1.3631300   0.0000000   0.0000000  -0.7279940   0.2856350   0.0000000   0.2877950   0.0000000   0.0000000   0.0000000  -0.4395310   0.0000000   0.8406710   0.0000000   0.0000000   0.0000000
10.7850000   1.0046900  -0.4185000   1.3645800   0.0000000   0.0000000  -0.7279940   0.2834570   0.0000000   0.2919930   0.0000000   0.0000000   0.0000000  -0.4316000   0.0000000   0.8382250   0.0000000   0.0000000   0.0000000
10.7900000   1.0061000  -0.4185000   1.3660500   0.0000000   0.0000000  -0.7279940   0.2813190   0.0000000   0.2961770   0.0000000   0.0000000   0.0000000  -0.4234190   0.0000000   0.8355290   0.0000000   0.0000000   0.0000000
10.7950000   1.0075100  -0.4185000   1.3675500   0.0000000   0.0000000  -0.7279940   0.2792230   0.0000000   0.3003470   0.0000000   0.0000000   0.0000000  -0.4149880   0.0000000   0.8325840   0.0000000   0.0000000   0.0000000
10.8000000   1.0089000  -0.4185000   1.3690600   0.0000000   0.0000000  -0.7279940   0.2771700   0.0000000   0.3045020   0.0000000   0.0000000   0.0000000  -0.4063070   0.0000000   0.8293880   0.0000000   0.0000000   0.0000000
10.8050000   1.0102800  -0.4185000   1.3705900   0.0000000   0.0000000  -0.7279940   0.2751610   0.0000000   0.3086410   0.0000000   0.0000000   0.0000000  -0.3973760   0.0000000   0.8259430   0.0000000   0.0000000   0.0000000
10.8100000   1.0116500  -0.4185000   1.3721400   0.0000000   0.0000000  -0.7279940   0.2731970   0.0000000   0.3127610   0.0000000   0.0000000   0.0000000  -0.3881950   0.0000000   0.8222470   0.0000000   0.0000000   0.0000000
10.8150000   1.0130100  -0.4185000   1.3737200   0.0000000   0.0000000  -0.7279940   0.2712790   0.0000000   0.3168630   0.0000000   0.0000000   0.0000000  -0.3787640   0.0000000   0.8183020   0.0000000   0.0000000   0.0000000
10.8200000   1.0143600  -0.4185000   1.3753100   0.0000000   0.0000000  -0.7279940   0.2694090   0.0000000   0.3209440   0.0000000   0.0000000   0.0000000  -0.3690830   0.0000000   0.8141060   0.0000000   0.0000000   0.0000000
10.8250000   1.0157000  -0.4185000   1.3769300   0.0000000   0.0000000  -0.7279940   0.2675890   0.0000000   0.3250040   0.0000000   0.0000000   0.0000000  -0.3591510   0.0000000   0.8096610   0.0000000   0.0000000   0.0000000
10.8300000   1.0170400  -0.4185000   1.3785600   0.0000000   0.0000000  -0.7279940   0.2658180   0.0000000   0.3290400   0.0000000   0.0000000   0.0000000  -0.3489700   0.0000000   0.8049650   0.0000000   0.0000000   0.0000000
10.8350000   1.0183600  -0.4185000   1.3802200   0.0000000   0.0000000  -0.7279940   0.2640990   0.0000000   0.3330530   0.0000000   0.0000000   0.0000000  -0.3385390   0.0000000   0.8000200   0.0000000   0.0000000   0.0000000
10.8400000   1.0196800  -0.4185000   1.3818900   0.0000000   0.0000000  -0.7279940   0.2624330   0.0000000   0.3370400   0.0000000   0.0000000   0.0000000  -0.3278580   0.0000000   0.7948240   0.0000000   0.0000000   0.0000000
10.8450000   1.0209900  -0.4185000   1.3835900   0.0000000   0.0000000  -0.7279940   0.2608210   0.0000000   0.3410010   0.0000000   0.0000000   0.0000000  -0.3169270   0.0000000   0.7893780   0.0000000   0.0000000   0.0000000
10.8500000   1.0222900  -0.4185000   1.3853000   0.0000000   0.0000000  -0.7279940   0.2592640   0.0000000   0.3449330   0.0000000   0.0000000   0.0000000  -0.3057460   0.0000000   0.7836830   0.0000000   0.0000000   0.0000000
10.8550000   1.0235800  -0.4185000   1.3870400   0.0000000   0.0000000  -0.7279940   0.2577640   0.0000000   0.3488370   0.0000000   0.0000000   0.0000000  -0.2943150   0.0000000   0.7777370   0.0000000   0.0000000   0.0000000
10.8600000   1.0248600  -0.4185000   1.3887900   0.0000000   0.0000000  -0.7279940   0.2563220   0.0000000   0.3527100   0.0000000   0.0000000   0.0000000  -0.2826340   0.0000000   0.7715420   0.0000000   0.0000000   0.0000000
10.8650000   1.0261400  -0.4185000   1.3905600   0.0000000   0.0000000  -0.7279940   0.2549380   0.0000000   0.3565520   0.0000000   0.0000000   0.0000000  -0.2708780   0.0000000   0.7650960   0.0000000   0.0000000   0.0000000
10.8700000   1.0274100  -0.4185000   1.3923600   0.0000000   0.0000000  -0.7279940   0.2536130   0.0000000   0.3603610   0.0000000   0.0000000   0.0000000  -0.2593650   0.0000000   0.7584010   0.0000000   0.0000000   0.0000000
10.8750000   1.0286800  -0.4185000   1.3941700   0.0000000   0.0000000  -0.7279940   0.2523440   0.0000000   0.3641360   0.0000000   0.0000000   0.0000000  -0.2481020   0.0000000   0.7514550   0.0000000   0.0000000   0.0000000
10.8800000   1.0299400  -0.4185000   1.3960000   0.0000000   0.0000000  -0.7279940   0.2511310   0.0000000   0.3678750   0.0000000   0.0000000   0.0000000  -0.2370890   0.0000000   0.7442600   0.0000000   0.0000000   0.0000000
10.8850000   1.0311900  -0.4185000   1.3978500   0.0000000   0.0000000  -0.7279940   0.2499730   0.0000000   0.3715780   0.0000000   0.0000000   0.0000000  -0.2263260   0.0000000   0.7368140   0.0000000   0.0000000   0.0000000
10.8900000   1.0324400  -0.4185000   1.3997100   0.0000000   0.0000000  -0.7279940   0.2488670   0.0000000   0.3752430   0.0000000   0.0000000   0.0000000  -0.2158140   0.0000000   0.7291180   0.0000000   0.0000000   0.0000000
10.8950000   1.0336800  -0.4185000   1.4016000   0.0000000   0.0000000  -0.7279940   0.2478140   0.0000000   0.3788690   0.0000000   0.0000000   0.0000000  -0.2055510   0.0000000   0.7211730   0.0000000   0.0000000   0.0000000
10.9000000   1.0349100  -0.4185000   1.4035000   0.0000000   0.0000000  -0.7279940   0.2468110   0.0000000   0.3824540   0.0000000   0.0000000   0.0000000  -0.1955380   0.0000000   0.7129770   0.0000000   0.0000000   0.0000000
10.9050000   1.0361500  -0.4185000   1.4054200   0.0000000   0.0000000  -0.7279940   0.2458580   0.0000000   0.3859980   0.0000000   0.0000000   0.0000000  -0.1857750   0.0000000   0.7045320   0.0000000   0.0000000   0.0000000
10.9100000   1.0373700  -0.4185000   1.4073600   0.0000000   0.0000000  -0.7279940   0.2449530   0.0000000   0.3894990   0.0000000   0.0000000   0.0000000  -0.1762620   0.0000000   0.6958360   0.0000000   0.0000000   0.0000000
10.9150000   1.0386000  -0.4185000   1.4093200   0.0000000   0.0000000  -0.7279940   0.2440950   0.0000000   0.3929560   0.0000000   0.0000000   0.0000000  -0.1670000   0.0000000   0.6868910   0.0000000   0.0000000   0.0000000
10.9200000   1.0398100  -0.4185000   1.4112900   0.0000000   0.0000000  -0.7279940   0.2432830   0.0000000   0.3963670   0.0000000   0.0000000   0.0000000  -0.1579870   0.0000000   0.6776950   0.0000000   0.0000000   0.0000000
10.9250000   1.0410300  -0.4185000   1.4132800   0.0000000   0.0000000  -0.7279940   0.2425150   0.0000000   0.3997320   0.0000000   0.0000000   0.0000000  -0.1492240   0.0000000   0.6682500   0.0000000   0.0000000   0.0000000
10.9300000   1.0422400  -0.4185000   1.4152900   0.0000000   0.0000000  -0.7279940   0.2417900   0.0000000   0.4030500   0.0000000   0.0000000   0.0000000  -0.1407110   0.0000000   0.6585540   0.0000000   0.0000000   0.0000000
10.9350000   1.0434500  -0.4185000   1.4173100   0.0000000   0.0000000  -0.7279940   0.2411070   0.0000000   0.4063180   0.0000000   0.0000000   0.0000000  -0.1324480   0.0000000   0.6486090   0.0000000   0.0000000   0.0000000
10.9400000   1.0446500  -0.4185000   1.4193500   0.0000000   0.0000000  -0.7279940   0.2404650   0.0000000   0.4095350   0.0000000   0.0000000   0.0000000  -0.1244350   0.0000000   0.6384130   0.0000000   0.0000000   0.0000000
10.9450000   1.0458500  -0.4185000   1.4214100   0.0000000   0.0000000  -0.7279940   0.2398630   0.0000000   0.4127010   0.0000000   0.0000000   0.0000000  -0.1166730   0.0000000   0.6279670   0.0000000   0.0000000   0.0000000
10.9500000   1.0470500  -0.4185000   1.4234800   0.0000000   0.0000000  -0.7279940   0.2392980   0.0000000   0.4158140   0.0000000   0.0000000   0.0000000  -0.1091600   0.0000000   0.6172720   0.0000000   0.0000000   0.0000000
10.9550000   1.0482400  -0.4185000   1.4255700   0.0000000   0.0000000  -0.7279940   0.2387710   0.0000000   0.4188740   0.0000000   0.0000000   0.0000000  -0.1018970   0.0000000   0.6063260   0.0000000   0.0000000   0.0000000
10.9600000   1.0494400  -0.4185000   1.4276700   0.0000000   0.0000000  -0.7279940   0.2382790   0.0000000   0.4218770   0.0000000   0.0000000   0.0000000  -0.0948841   0.0000000   0.5951310   0.0000000   0.0000000   0.0000000
10.9650000   1.0506300  -0.4185000   1.4297800   0.0000000   0.0000000  -0.7279940   0.2378210   0.0000000   0.4248240   0.0000000   0.0000000   0.0000000  -0.0881213   0.0000000   0.5836850   0.0000000   0.0000000   0.0000000
10.9700000   1.0518200  -0.4185000   1.4319200   0.0000000   0.0000000  -0.7279940   0.2373970   0.0000000   0.4277140   0.0000000   0.0000000   0.0000000  -0.0816085   0.0000000   0.5719900   0.0000000   0.0000000   0.0000000
10.9750000   1.0530000  -0.4185000   1.4340600   0.0000000   0.0000000  -0.7279940   0.2370050   0.0000000   0.4305440   0.0000000   0.0000000   0.0000000  -0.0753457   0.0000000   0.5600440   0.0000000   0.0000000   0.0000000
10.9800000   1.0541900  -0.4185000   1.4362200   0.0000000   0.0000000  -0.7279940   0.2366430   0.0000000   0.4333140   0.0000000   0.0000000   0.0000000  -0.0693328   0.0000000   0.5478490   0.0000000   0.0000000   0.0000000
10.9850000   1.0553700  -0.4185000   1.4383900   0.0000000   0.0000000  -0.7279940   0.2363110   0.0000000   0.4360220   0.0000000   0.0000000   0.0000000  -0.0635700   0.0000000   0.5354030   0.0000000   0.0000000   0.0000000
10.9900000   1.0565500  -0.4185000   1.4405800   0.0000000   0.0000000  -0.7279940   0.2360070   0.0000000   0.4386670   0.0000000   0.0000000   0.0000000  -0.0580572   0.0000000   0.5227080   0.0000000   0.0000000   0.0000000
