# logged on Mon Jan  8 11:01:25 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704708085.993341000  1000.11 0 50.0035  -  nan  -0.110389 0.115995 -0.0551524  -0.110389 0.115995 -0.0551524  0.203934 0.0131455 8.64983  0.203934 0.0131455 8.64983  - - -  - - -  76.6138 65.8958 70.8842 62.593 - - - - - - - - - - - - 138 0 133 70 0 0 0 0
1704708085.998354000  1000.12 0 50.0052  -  nan  -0.113723 -0.0191662 0.141709  -0.113723 -0.0191662 0.141709  -0.255258 0.152131 9.48895  -0.255258 0.152131 9.48895  - - -  - - -  77.9175 66.9504 69.9742 62.3226 - - - - - 68.0272 - - - - - - 138 0 133 70 0 0 0 0
1704708086.003363000  1000.13 0 50.0047  -  nan  -0.0103652 -0.0131131 -0.0437351  -0.0103652 -0.0131131 -0.0437351  -0.173817 0.0822893 11.3774  -0.173817 0.0822893 11.3774  - - -  - - -  76.1041 68.8021 69.1363 63.3968 - - - - - - 69.4155 - - - - - 138 0 133 70 0 0 0 0
1704708086.008373000  1000.14 0 50.0045  -  nan  -0.0827586 0.018257 -0.00803833  -0.0827586 0.018257 -0.00803833  0.151448 -0.0925809 9.34237  0.151448 -0.0925809 9.34237  - - -  - - -  76.4302 66.9386 70.0438 62.5405 - - - - 77.5555 - - 62.822 - - - - 138 0 133 70 0 0 0 0
1704708086.013355000  1000.16 0 50.0045  -  nan  -0.0840143 0.00685845 0.087461  -0.0840143 0.00685845 0.087461  0.120073 0.169213 7.89323  0.120073 0.169213 7.89323  - - -  - - -  76.781 67.2445 69.8074 62.7469 - - - - - - - - - - - - 138 0 133 70 0 0 0 0
1704708086.018354000  1000.17 0 50.007  -  nan  -0.0540831 0.0186683 0.00750785  -0.0540831 0.0186683 0.00750785  -0.450389 0.17441 12.0505  -0.450389 0.17441 12.0505  - - -  - - -  76.4743 68.5894 69.3146 63.6698 - - - - - 67.0691 - - - - - - 138 0 133 70 0 0 0 0
1704708086.023351000  1000.18 0 50.0053  -  nan  -0.0393431 -0.0560699 -0.0577963  -0.0393431 -0.0560699 -0.0577963  0.239687 -0.145352 9.63343  0.239687 -0.145352 9.63343  - - -  - - -  76.1323 67.5822 69.6821 62.6618 - - - - - - 69.6185 - - - - - 138 0 133 70 0 0 0 0
1704708086.028370000  1000.19 0 50.0051  -  nan  -0.0827842 0.0618873 0.0176107  -0.0827842 0.0618873 0.0176107  0.215708 0.223194 7.49034  0.215708 0.223194 7.49034  - - -  - - -  76.4606 66.6946 70.6338 62.707 - - - - 76.8049 - - 62.1659 - - - - 138 0 133 70 0 0 0 0
1704708086.033367000  1000.2 0 50.0051  -  nan  -0.0983077 -0.0225244 0.0603273  -0.0983077 -0.0225244 0.0603273  -0.543983 0.122859 12.2261  -0.543983 0.122859 12.2261  - - -  - - -  77.0897 67.9448 70.1755 63.1015 - - - - - - - - - - - - 138 0 133 70 0 0 0 0
1704708086.038361000  1000.21 0 50.0066  -  nan  -0.0103845 -0.0866623 -0.0819258  -0.0103845 -0.0866623 -0.0819258  0.197604 -0.138636 9.00465  0.197604 -0.138636 9.00465  - - -  - - -  75.718 67.8824 69.9992 62.895 - - - - - 67.4491 - - - - - - 138 0 133 70 0 0 0 0
1704708086.043365000  1000.22 0 50.0059  -  nan  -0.0388575 0.0594826 -0.0346575  -0.0388575 0.0594826 -0.0346575  0.306234 0.223799 7.43441  0.306234 0.223799 7.43441  - - -  - - -  76.4449 66.4105 71.3813 62.9855 - - - - - - 68.8137 - - - - - 138 0 133 70 0 0 0 0
1704708086.048364000  1000.23 0 50.0058  -  nan  -0.112791 -0.00773466 0.0724098  -0.112791 -0.00773466 0.0724098  -0.404422 0.0816845 11.4323  -0.404422 0.0816845 11.4323  - - -  - - -  77.1224 67.5146 70.7845 63.48 - - - - 76.3126 - - 62.822 - - - - 138 0 133 70 0 0 0 0
1704708086.053356000  1000.24 0 50.0058  -  nan  -0.0103021 -0.0278373 -0.0568071  -0.0103021 -0.0278373 -0.0568071  0.151722 -0.0919761 9.28578  0.151722 -0.0919761 9.28578  - - -  - - -  75.7402 67.9605 70.102 63.4538 - - - - - - - - - - - - 138 0 133 70 0 0 0 0
1704708086.058361000  1000.24 0 50.0082  -  nan  -0.0537808 0.0612139 0.00602292  -0.0537808 0.0612139 0.00602292  0.0719794 0.210992 8.63104  0.0719794 0.210992 8.63104  - - -  - - -  76.2572 66.7694 71.0081 63.4629 - - - - - 66.8807 - - - - - - 138 0 133 70 0 0 0 0
1704708086.063376000  1000.24 0 50.0064  -  nan  -0.112481 0.0358239 0.0708895  -0.112481 0.0358239 0.0708895  -0.12526 0.0877851 10.8635  -0.12526 0.0877851 10.8635  - - -  - - -  77.1483 67.5333 70.4496 63.9201 - - - - - - 71.7154 - - - - - 138 0 133 70 0 0 0 0
