# logged on Tue Nov 14 14:08:20 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699967300.406079000  999.807 0 50.0054  -  nan  -0.066114 -0.0950523 0.0130701  -0.066114 -0.0950523 0.0130701  0.0573154 -0.00242802 10.4051  0.0573154 -0.00242802 10.4051  - - -  - - -  75.6342 74.3833 66.7276 65.3536 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1699967300.411086000  999.798 0 50.0048  -  nan  -0.0383694 -0.0247501 0.0115639  -0.0383694 -0.0247501 0.0115639  -0.028215 0.187527 9.24026  -0.028215 0.187527 9.24026  - - -  - - -  74.727 74.8787 67.1055 64.6975 - - - - - - 65.2316 - - - - - 139 146 134 70 0 0 0 0
1699967300.416088000  999.792 0 50.0061  -  nan  -0.0243188 0.00280522 -0.0027459  -0.0243188 0.00280522 -0.0027459  -0.0805659 0.0483877 9.19475  -0.0805659 0.0483877 9.19475  - - -  - - -  75.1739 74.8346 66.9122 64.9511 - - - - 75.8265 76.0688 - 65.591 - - - - 139 146 134 70 0 0 0 0
1699967300.421064000  999.79 0 50.0061  -  nan  -0.0516943 -0.109181 -0.0138745  -0.0516943 -0.109181 -0.0138745  0.10366 -0.0501523 10.6382  0.10366 -0.0501523 10.6382  - - -  - - -  75.4088 74.7553 67.1293 64.9738 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1699967300.426070000  999.787 0 50.0061  -  nan  -0.0242414 -0.0110276 -0.00237181  -0.0242414 -0.0110276 -0.00237181  -0.0325836 0.184915 9.87075  -0.0325836 0.184915 9.87075  - - -  - - -  74.8458 74.5909 67.5893 64.5386 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1699967300.431523000  999.786 0 50.0065  -  nan  -0.0104105 0.0315339 -0.00332532  -0.0104105 0.0315339 -0.00332532  -0.0302373 0.0490986 9.02351  -0.0302373 0.0490986 9.02351  - - -  - - -  75.263 74.5724 67.1897 64.6904 - - - - - - 67.6407 - - - - - 139 146 134 70 0 0 0 0
1699967300.436127000  999.784 0 50.0085  -  nan  0.00450323 -0.0950484 -0.0134667  0.00450323 -0.0950484 -0.0134667  0.104849 -0.0494414 10.4666  0.104849 -0.0494414 10.4666  - - -  - - -  75.795 74.6067 66.9987 65.0611 - - - - 74.8727 74.638 - 64.5245 - - - - 139 146 134 70 0 0 0 0
1699967300.441134000  999.778 0 50.0085  -  nan  -0.0103331 0.017701 -0.00295123  -0.0103331 0.017701 -0.00295123  0.0157378 0.138373 9.8185  0.0157378 0.138373 9.8185  - - -  - - -  75.2649 74.2656 67.4122 65.0261 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1699967300.446118000  999.774 0 50.0085  -  nan  -0.0107023 0.0593849 0.00968361  -0.0107023 0.0593849 0.00968361  -0.079771 0.048863 9.08003  -0.079771 0.048863 9.08003  - - -  - - -  75.6051 74.325 66.9834 65.0014 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1699967300.451143000  999.773 0 50.0096  -  nan  0.0195685 -0.0675009 -0.0287452  0.0195685 -0.0675009 -0.0287452  0.155177 -0.0487306 10.2953  0.155177 -0.0487306 10.2953  - - -  - - -  76.0343 74.3837 66.6366 65.4365 - - - - - - 67.6407 - - - - - 139 146 134 70 0 0 0 0
1699967300.456141000  999.776 0 50.0134  -  nan  -0.0105655 0.0591996 -0.0040735  -0.0105655 0.0591996 -0.0040735  0.0141328 0.0462469 9.71222  0.0141328 0.0462469 9.71222  - - -  - - -  75.6321 74.035 67.1211 65.3528 - - - - 74.8727 74.8727 - 65.7722 - - - - 139 146 134 70 0 0 0 0
1699967300.461103000  999.779 0 50.0134  -  nan  0.0324907 0.0870954 -0.0042213  0.0324907 0.0870954 -0.0042213  -0.0314262 0.0483877 9.1951  -0.0314262 0.0483877 9.1951  - - -  - - -  76.3723 74.105 66.3791 65.4361 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1699967300.466074000  999.781 0 50.0134  -  nan  0.0755364 -0.038349 -0.0139985  0.0755364 -0.038349 -0.0139985  0.10366 -0.0501523 10.6382  0.10366 -0.0501523 10.6382  - - -  - - -  76.4786 73.9477 66.3352 65.8353 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1699967300.471089000  999.783 0 50.0131  -  nan  0.00328902 0.0732927 0.00950499  0.00328902 0.0732927 0.00950499  0.0137402 0.000898956 9.60167  0.0137402 0.000898956 9.60167  - - -  - - -  75.6359 73.308 66.7528 66.0028 - - - - - - 66.3218 - - - - - 139 146 134 70 0 0 0 0
1699967300.476096000  999.783 0 50.0133  -  nan  0.0897113 0.0737527 0.0107058  0.0897113 0.0737527 0.0107058  -0.0294424 0.0495739 8.90879  -0.0294424 0.0495739 8.90879  - - -  - - -  76.1915 73.6735 65.9693 66.2278 - - - - 75.8265 73.9426 - 65.2316 - - - - 139 146 134 70 0 0 0 0
1699967300.481084000  999.782 0 50.0133  -  nan  0.0753222 -0.0243309 -0.00061544  0.0753222 -0.0243309 -0.00061544  0.104872 -0.00337445 10.6339  0.104872 -0.00337445 10.6339  - - -  - - -  76.3879 73.4491 65.9987 66.8466 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1699967300.486101000  999.78 0 50.0133  -  nan  -0.0103331 0.017701 -0.00295123  -0.0103331 0.017701 -0.00295123  0.0117481 0.044821 10.0564  0.0117481 0.044821 10.0564  - - -  - - -  75.8129 73.258 66.4331 66.5171 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1699967300.491109000  999.777 0 50.0139  -  nan  0.0606282 0.0872452 -0.00383035  0.0606282 0.0872452 -0.00383035  -0.0286488 0.0951615 8.96148  -0.0286488 0.0951615 8.96148  - - -  - - -  76.2581 73.6355 66.0414 66.0445 - - - - - - 66.1376 - - - - - 139 146 134 70 0 0 0 0
1699967300.496133000  999.777 0 50.0113  -  nan  0.0190291 0.00284998 -0.0159026  0.0190291 0.00284998 -0.0159026  0.0573154 -0.00242802 10.4051  0.0573154 -0.00242802 10.4051  - - -  - - -  76.7695 73.4562 66.0619 66.2986 - - - - 75.1089 - - 66.3218 - - - - 139 146 134 70 0 0 0 0
1699967300.501130000  999.774 0 50.0112  -  nan  -0.0382326 -0.0249354 -0.00219319  -0.0382326 -0.0249354 -0.00219319  0.0113458 0.0896937 10.2817  0.0113458 0.0896937 10.2817  - - -  - - -  76.2752 73.4294 66.4919 65.9014 - - - - - 71.9321 - - - - - - 139 146 134 70 0 0 0 0
1699967300.506087000  999.767 0 50.0112  -  nan  0.00350326 0.0592745 -0.00387803  0.00350326 0.0592745 -0.00387803  -0.0801568 0.139798 9.47363  -0.0801568 0.139798 9.47363  - - -  - - -  75.9643 73.8087 66.5623 65.4231 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1699967300.511087000  999.761 0 50.011  -  nan  -0.0100951 -0.0247856 -0.00180224  -0.0100951 -0.0247856 -0.00180224  0.0105441 -0.047065 9.89225  0.0105441 -0.047065 9.89225  - - -  - - -  76.2108 73.9743 66.4031 65.5454 - - - - - - 65.7722 - - - - - 139 146 134 70 0 0 0 0
1699967300.516089000  999.759 0 50.0101  -  nan  -0.0379172 -0.0812549 -0.000670111  -0.0379172 -0.0812549 -0.000670111  -0.036204 0.0906442 10.0519  -0.036204 0.0906442 10.0519  - - -  - - -  75.3859 74.0102 67.1497 65.1781 - - - - 77.3036 73.0353 - 66.8807 - - - - 139 146 134 70 0 0 0 0
1699967300.521107000  999.757 0 50.0101  -  nan  -0.0525393 0.0174764 -0.00353766  -0.0525393 0.0174764 -0.00353766  -0.032206 0.139088 9.64556  -0.032206 0.139088 9.64556  - - -  - - -  75.1826 74.4 67.3086 64.8187 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1699967300.526076000  999.757 0 50.0101  -  nan  -0.0381552 -0.0387683 -0.0018191  -0.0381552 -0.0387683 -0.0018191  -0.0361944 0.000423674 9.71604  -0.0361944 0.000423674 9.71604  - - -  - - -  75.5657 74.6523 66.9944 64.6658 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1699967300.531141000  999.756 0 50.0091  -  nan  -0.0520453 -0.0949774 0.0132656  -0.0520453 -0.0949774 0.0132656  0.012543 0.0452963 9.94167  0.012543 0.0452963 9.94167  - - -  - - -  74.9127 74.6542 67.5629 64.5985 - - - - - - 67.8334 - - - - - 139 146 134 70 0 0 0 0
1699967300.536087000  999.756 0 50.0095  -  nan  -0.0808136 0.0175118 0.00982851  -0.0808136 0.0175118 0.00982851  -0.0801568 0.139798 9.47363  -0.0801568 0.139798 9.47363  - - -  - - -  74.7213 75.0962 67.3566 64.4339 - - - - 77.3036 73.9426 - 66.1376 - - - - 139 146 134 70 0 0 0 0
1699967300.541085000  999.755 0 50.0095  -  nan  -0.0382919 -0.038583 0.011938  -0.0382919 -0.038583 0.011938  0.0133379 0.0457716 9.82694  0.0133379 0.0457716 9.82694  - - -  - - -  75.259 75.4567 66.7231 64.4898 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1699967300.546140000  999.755 0 50.0095  -  nan  -0.0379947 -0.0674221 -0.0010442  -0.0379947 -0.0674221 -0.0010442  0.0601011 -0.000762466 10.0031  0.0601011 -0.000762466 10.0031  - - -  - - -  74.8462 75.3363 67.3327 64.4118 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1699967300.551143000  999.752 0 50.0075  -  nan  -0.052831 0.0453274 0.00947128  -0.052831 0.0453274 0.00947128  -0.0801732 0.0937356 9.3053  -0.0801732 0.0937356 9.3053  - - -  - - -  74.7915 75.3034 67.3924 64.2479 - - - - - - 67.2585 - - - - - 139 146 134 70 0 0 0 0
1699967300.556087000  999.748 0 50.0072  -  nan  0.019184 -0.0248158 -0.0151544  0.019184 -0.0248158 -0.0151544  0.0133379 0.0457716 9.82694  0.0133379 0.0457716 9.82694  - - -  - - -  75.2876 75.554 66.9751 64.1542 - - - - 75.3466 76.558 - 65.2316 - - - - 139 146 134 70 0 0 0 0
1699967300.561075000  999.747 0 50.0072  -  nan  0.00418784 -0.0387289 -0.0149898  0.00418784 -0.0387289 -0.0149898  0.10884 -0.00100217 10.0613  0.10884 -0.00100217 10.0613  - - -  - - -  75.1661 74.7974 67.5783 64.5063 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1699967300.566061000  999.746 0 50.0072  -  nan  -0.0106429 0.0730325 -0.00444759  -0.0106429 0.0730325 -0.00444759  -0.0773945 0.0953971 8.90426  -0.0773945 0.0953971 8.90426  - - -  - - -  75.3763 74.8572 67.2348 64.267 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1699967300.571079000  999.746 0 50.0045  -  nan  0.0902947 0.0180507 -0.0153121  0.0902947 0.0180507 -0.0153121  0.0125513 0.000188099 9.77326  0.0125513 0.000188099 9.77326  - - -  - - -  76.1027 74.9539 66.7126 64.6165 - - - - - - 65.9544 - - - - - 139 146 134 70 0 0 0 0
1699967300.576085000  999.745 0 50.0059  -  nan  0.0471073 -0.0106478 -0.00138048  0.0471073 -0.0106478 -0.00138048  0.109241 -0.000762466 10.0034  0.109241 -0.000762466 10.0034  - - -  - - -  75.8706 74.2521 67.0514 65.126 - - - - 76.3126 75.3466 - 65.2316 - - - - 139 146 134 70 0 0 0 0
1699967300.581075000  999.746 0 50.0059  -  nan  0.0320622 0.115132 0.0225447  0.0320622 0.115132 0.0225447  0.0181074 0.0486233 9.13859  0.0181074 0.0486233 9.13859  - - -  - - -  75.8352 74.586 66.7583 64.9088 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1699967300.586081000  999.745 0 50.0059  -  nan  0.118063 0.0598844 -0.00228632  0.118063 0.0598844 -0.00228632  0.011339 -0.0465898 9.77752  0.011339 -0.0465898 9.77752  - - -  - - -  76.5098 74.7074 65.902 65.5088 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1699967300.591076000  999.745 0 50.0043  -  nan  0.075304 0.00314956 -0.0151207  0.075304 0.00314956 -0.0151207  0.106833 -0.0482553 10.1803  0.106833 -0.0482553 10.1803  - - -  - - -  76.3206 74.082 66.1929 65.8536 - - - - - - 66.1376 - - - - - 139 146 134 70 0 0 0 0
