# logged on Tue Nov 14 14:06:25 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699967185.266844000  1000.84 0 50.0046  -  nan  0.0607057 0.0734123 -0.00345626  0.0607057 0.0734123 -0.00345626  -0.0785834 0.0946862 9.07585  -0.0785834 0.0946862 9.07585  - - -  - - -  76.5851 75.1999 66.9102 64.8227 - - - - - - - - - - - - 139 145 133 71 0 0 0 0
1699967185.271863000  1000.84 0 50.0037  -  nan  0.00442577 -0.0812155 -0.0138408  0.00442577 -0.0812155 -0.0138408  0.10403 -0.0959837 10.414  0.10403 -0.0959837 10.414  - - -  - - -  76.4461 75.2372 67.1682 64.9792 - - - - - - 67.0691 65.0533 - - - - 139 145 133 71 0 0 0 0
1699967185.276853000  1000.84 0 50.0037  -  nan  0.00381866 0.00295501 -0.00235495  0.00381866 0.00295501 -0.00235495  -0.0821406 0.138612 9.75994  -0.0821406 0.138612 9.75994  - - -  - - -  75.6552 75.281 67.6645 64.4231 - - - - - - - - - - - - 139 145 133 71 0 0 0 0
1699967185.281854000  1000.84 0 50.004  -  nan  0.0467919 0.0456717 -0.00290356  0.0467919 0.0456717 -0.00290356  -0.0801719 0.0486233 9.13789  -0.0801719 0.0486233 9.13789  - - -  - - -  75.938 75.4666 67.2597 64.5189 - - - - 76.3126 75.1089 - - - - - - 139 145 133 71 0 0 0 0
1699967185.286862000  1000.84 0 50.004  -  nan  -0.0238485 -0.08118 -0.000474638  -0.0238485 -0.08118 -0.000474638  0.100457 -0.0981204 10.9297  0.100457 -0.0981204 10.9297  - - -  - - -  76.1201 75.5061 67.2553 64.6415 - - - - - - - - - - - - 139 145 133 71 0 0 0 0
1699967185.291863000  1000.84 0 50.0032  -  nan  0.0186725 0.0180415 0.0112108  0.0186725 0.0180415 0.0112108  -0.0801568 0.139798 9.47363  -0.0801568 0.139798 9.47363  - - -  - - -  75.4138 75.6825 67.5535 64.056 - - - - - - 67.8334 64.3501 - - - - 139 145 133 71 0 0 0 0
1699967185.296860000  1000.84 0 50.0032  -  nan  0.0326638 0.0319492 0.0110322  0.0326638 0.0319492 0.0110322  -0.0805659 0.0483877 9.19475  -0.0805659 0.0483877 9.19475  - - -  - - -  75.8965 75.7337 67.1144 64.4413 - - - - - - - - - - - - 139 145 133 71 0 0 0 0
1699967185.301851000  1000.84 0 50.0035  -  nan  0.00450323 -0.0950484 -0.0134667  0.00450323 -0.0950484 -0.0134667  0.0549376 -0.00384973 10.7483  0.0549376 -0.00384973 10.7483  - - -  - - -  75.9761 75.7894 67.1748 64.5143 - - - - 77.5555 75.1089 - - - - - - 139 145 133 71 0 0 0 0
1699967185.306869000  1000.84 0 50.0041  -  nan  0.018833 -0.0106123 0.0119857  0.018833 -0.0106123 0.0119857  -0.0334183 0.0923098 9.64983  -0.0334183 0.0923098 9.64983  - - -  - - -  75.143 75.7729 67.7717 64.0781 - - - - - - - 63.8325 - - - - 139 145 133 71 0 0 0 0
1699967185.311861000  1000.84 0 50.0047  -  nan  0.0469468 0.018006 -0.00215538  0.0469468 0.018006 -0.00215538  -0.130293 0.0474371 9.42386  -0.130293 0.0474371 9.42386  - - -  - - -  75.5276 75.9074 67.5122 64.1543 - - - - - - 67.2585 - - - - - 139 145 133 71 0 0 0 0
1699967185.316863000  1000.84 0 50.0047  -  nan  0.0616282 -0.0670777 -0.013419  0.0616282 -0.0670777 -0.013419  0.057299 -0.0484909 10.2368  0.057299 -0.0484909 10.2368  - - -  - - -  75.6659 75.5282 67.4162 64.4291 - - - - - - - - - - - - 139 145 133 71 0 0 0 0
1699967185.321852000  1000.84 0 50.0048  -  nan  0.0330385 -0.0107227 -0.00157595  0.0330385 -0.0107227 -0.00157595  0.0644683 0.0469619 9.53998  0.0644683 0.0469619 9.53998  - - -  - - -  75.2642 75.4218 67.9058 64.1951 - - - - 75.8265 75.5858 - - - - - - 139 145 133 71 0 0 0 0
1699967185.326856000  1000.84 0 50.0064  -  nan  0.0749293 0.0458215 -0.00251261  0.0749293 0.0458215 -0.00251261  -0.0342119 0.0467222 9.59714  -0.0342119 0.0467222 9.59714  - - -  - - -  75.7435 75.6845 67.3939 64.4109 - - - - - - - 64.3501 - - - - 139 145 133 71 0 0 0 0
1699967185.331865000  1000.84 0 50.0057  -  nan  0.104679 -0.0381939 -0.0135936  0.104679 -0.0381939 -0.0135936  0.0588888 -0.0475403 10.0073  0.0588888 -0.0475403 10.0073  - - -  - - -  75.999 75.2128 67.2743 64.6896 - - - - - - 67.2585 - - - - - 139 145 133 71 0 0 0 0
1699967185.336859000  1000.84 0 50.0057  -  nan  0.0613902 -0.0245911 -0.014568  0.0613902 -0.0245911 -0.014568  0.0624858 0.000663381 9.65888  0.0624858 0.000663381 9.65888  - - -  - - -  75.6059 74.9687 67.8311 64.6139 - - - - - - - - - - - - 139 145 133 71 0 0 0 0
1699967185.341862000  1000.84 0 50.0037  -  nan  0.103917 0.0736424 -0.00285588  0.103917 0.0736424 -0.00285588  -0.0801732 0.0937356 9.3053  -0.0801732 0.0937356 9.3053  - - -  - - -  75.8784 75.0759 67.6067 64.4832 - - - - 74.638 75.3466 - - - - - - 139 145 133 71 0 0 0 0
1699967185.346859000  1000.84 0 50.0044  -  nan  0.146593 -0.0101182 1.80041e-06  0.146593 -0.0101182 1.80041e-06  0.0580939 -0.0480156 10.122  0.0580939 -0.0480156 10.122  - - -  - - -  76.4082 74.8954 66.9563 65.124 - - - - - - - 65.2316 - - - - 139 145 133 71 0 0 0 0
1699967185.351856000  1000.84 0 50.0049  -  nan  0.0752447 -0.010498 -0.00098953  0.0752447 -0.010498 -0.00098953  0.0580939 -0.0480156 10.122  0.0580939 -0.0480156 10.122  - - -  - - -  75.9112 74.686 67.3594 65.294 - - - - - - 67.0691 - - - - - 139 145 133 71 0 0 0 0
1699967185.356858000  1000.84 0 50.0049  -  nan  0.117694 0.101568 0.0103485  0.117694 0.101568 0.0103485  -0.0773945 0.0953971 8.90426  -0.0773945 0.0953971 8.90426  - - -  - - -  75.8798 74.9816 66.9417 65.1653 - - - - - - - - - - - - 139 145 133 71 0 0 0 0
1699967185.361854000  1000.85 0 50.005  -  nan  0.146516 0.00371465 -0.000372289  0.146516 0.00371465 -0.000372289  0.057693 -0.0482553 10.1799  0.057693 -0.0482553 10.1799  - - -  - - -  76.4455 74.8922 66.4305 65.7019 - - - - 75.5858 75.1089 - - - - - - 139 145 133 71 0 0 0 0
1699967185.366856000  1000.86 0 50.0045  -  nan  0.0905508 -0.0519164 0.000342175  0.0905508 -0.0519164 0.000342175  0.104054 -0.0499167 10.5813  0.104054 -0.0499167 10.5813  - - -  - - -  75.7876 74.5728 67.0845 65.733 - - - - - - - 66.1376 - - - - 139 145 133 71 0 0 0 0
1699967185.371860000  1000.86 0 50.004  -  nan  0.103762 0.101308 -0.00360406  0.103762 0.101308 -0.00360406  -0.0749699 0.188953 8.89573  -0.0749699 0.188953 8.89573  - - -  - - -  75.9066 74.9247 66.9752 65.2206 - - - - - - 67.6407 - - - - - 139 145 133 71 0 0 0 0
1699967185.376862000  1000.86 0 50.004  -  nan  0.104524 -0.0105282 -0.0143417  0.104524 -0.0105282 -0.0143417  -0.0410037 -0.0945579 10.0687  -0.0410037 -0.0945579 10.0687  - - -  - - -  76.7787 74.7901 66.4662 65.5591 - - - - - - - - - - - - 139 145 133 71 0 0 0 0
1699967185.381862000  1000.86 0 50.0024  -  nan  0.0756376 -0.0806504 0.00090764  0.0756376 -0.0806504 0.00090764  0.00738777 -0.00289917 10.5185  0.00738777 -0.00289917 10.5185  - - -  - - -  76.2247 74.4481 67.0771 65.4854 - - - - 76.0688 73.4862 - - - - - - 139 145 133 71 0 0 0 0
1699967185.386879000  1000.86 0 50.0031  -  nan  0.10378 0.0738276 0.0109012  0.10378 0.0738276 0.0109012  -0.0745759 0.189188 8.83887  -0.0745759 0.189188 8.83887  - - -  - - -  75.6125 74.8085 67.5065 65.1449 - - - - - - - 65.4108 - - - - 139 145 133 71 0 0 0 0
1699967185.391858000  1000.87 0 50.0018  -  nan  0.0903959 -0.0242507 -0.000406004  0.0903959 -0.0242507 -0.000406004  0.00656948 -0.0494414 10.4659  0.00656948 -0.0494414 10.4659  - - -  - - -  76.2626 74.8185 66.7236 65.7518 - - - - - - 66.6933 - - - - - 139 145 133 71 0 0 0 0
1699967185.396856000  1000.88 0 50.0018  -  nan  0.0616463 -0.0945582 0.00108626  0.0616463 -0.0945582 0.00108626  -0.039374 -0.00147746 10.1749  -0.039374 -0.00147746 10.1749  - - -  - - -  75.4541 74.6725 67.299 65.4319 - - - - - - - - - - - - 139 145 133 71 0 0 0 0
1699967185.401862000  1000.88 0 50.0025  -  nan  0.0748519 0.0596544 -0.0028867  0.0748519 0.0596544 -0.0028867  -0.0769771 0.1417 9.01472  -0.0769771 0.1417 9.01472  - - -  - - -  75.0802 74.8732 67.6526 65.095 - - - - 75.1089 74.8727 - - - - - - 139 145 133 71 0 0 0 0
1699967185.406864000  1000.88 0 50.0022  -  nan  0.0907706 -0.0669226 -0.0130141  0.0907706 -0.0669226 -0.0130141  -0.0401703 0.0431596 10.4571  -0.0401703 0.0431596 10.4571  - - -  - - -  75.7832 74.8401 67.1695 65.4313 - - - - - - - 65.591 - - - - 139 145 133 71 0 0 0 0
1699967185.411867000  1000.88 0 50.002  -  nan  0.0334314 -0.0808751 0.000321219  0.0334314 -0.0808751 0.000321219  -0.0377856 0.0445855 10.1129  -0.0377856 0.0445855 10.1129  - - -  - - -  75.21 74.7358 67.9279 64.9408 - - - - - - 66.6933 - - - - - 139 145 133 71 0 0 0 0
1699967185.416865000  1000.88 0 50.002  -  nan  0.0188923 0.00303525 -0.00214551  0.0188923 0.00303525 -0.00214551  -0.0785834 0.0946862 9.07585  -0.0785834 0.0946862 9.07585  - - -  - - -  74.8967 75.1916 67.8921 64.6327 - - - - - - - - - - - - 139 145 133 71 0 0 0 0
1699967185.421874000  1000.88 0 50.0007  -  nan  0.0906876 -0.0521017 -0.0134149  0.0906876 -0.0521017 -0.0134149  -0.0853437 0.0906442 10.0515  -0.0853437 0.0906442 10.0515  - - -  - - -  75.2444 75.3052 67.7 64.8522 - - - - 75.1089 76.8049 - - - - - - 139 145 133 71 0 0 0 0
1699967185.426869000  1000.88 0 49.9997  -  nan  0.0193626 -0.08095 0.000125745  0.0193626 -0.08095 0.000125745  0.0600928 0.0443457 10.1715  0.0600928 0.0443457 10.1715  - - -  - - -  74.8818 74.7664 68.0974 65.0786 - - - - - - - 65.2316 - - - - 139 145 133 71 0 0 0 0
1699967185.431866000  1000.88 0 50.0007  -  nan  -0.0243188 0.00280522 -0.0027459  -0.0243188 0.00280522 -0.0027459  -0.0821557 0.0474371 9.4242  -0.0821557 0.0474371 9.4242  - - -  - - -  74.7544 75.2018 67.9608 64.6734 - - - - - - 68.4182 - - - - - 139 145 133 71 0 0 0 0
1699967185.436844000  1000.88 0 50.0007  -  nan  0.0904552 -0.0106031 -0.0145372  0.0904552 -0.0106031 -0.0145372  -0.0338193 0.0920701 9.70769  -0.0338193 0.0920701 9.70769  - - -  - - -  75.2855 75.252 67.4498 64.6971 - - - - - - - - - - - - 139 145 133 71 0 0 0 0
1699967185.441867000  1000.88 0 50.0016  -  nan  0.0333539 -0.0670423 -5.28709e-05  0.0333539 -0.0670423 -5.28709e-05  0.0593062 -0.00123775 10.1178  0.0593062 -0.00123775 10.1178  - - -  - - -  75.273 74.6737 67.5888 65.2513 - - - - 74.173 74.638 - - - - - - 139 145 133 71 0 0 0 0
1699967185.446842000  1000.87 0 50.0014  -  nan  -0.0103331 0.017701 -0.00295123  -0.0103331 0.017701 -0.00295123  0.0157378 0.138373 9.8185  0.0157378 0.138373 9.8185  - - -  - - -  74.8653 75.1531 67.7569 64.6652 - - - - - - - 65.0533 - - - - 139 145 133 71 0 0 0 0
1699967185.451860000  1000.86 0 50.0013  -  nan  0.0752901 0.0316048 -0.0306354  0.0752901 0.0316048 -0.0306354  -0.0829506 0.0469619 9.53893  -0.0829506 0.0469619 9.53893  - - -  - - -  75.4061 74.9888 67.1955 64.7869 - - - - - - 67.6407 - - - - - 139 145 133 71 0 0 0 0
1699967185.456840000  1000.85 0 50.0013  -  nan  0.0616143 -0.0386224 -0.0289337  0.0616143 -0.0386224 -0.0289337  0.110807 -0.0458789 9.60663  0.110807 -0.0458789 9.60663  - - -  - - -  75.7399 74.2335 67.3661 65.3808 - - - - - - - - - - - - 139 145 133 71 0 0 0 0
1699967185.461849000  1000.85 0 50.0018  -  nan  -0.0103331 0.017701 -0.00295123  -0.0103331 0.017701 -0.00295123  0.0165561 0.184915 9.8711  0.0165561 0.184915 9.8711  - - -  - - -  75.3652 74.3247 67.7651 65.2131 - - - - 77.3036 73.7137 - - - - - - 139 145 133 71 0 0 0 0
1699967185.466843000  1000.84 0 50.0026  -  nan  0.0898481 0.0735675 -0.00305135  0.0898481 0.0735675 -0.00305135  -0.0809668 0.048148 9.25261  -0.0809668 0.048148 9.25261  - - -  - - -  75.7621 74.6828 66.8906 65.2531 - - - - - - - 65.0533 - - - - 139 145 133 71 0 0 0 0
1699967185.471841000  1000.84 0 50.0034  -  nan  0.0615452 -0.0522568 -0.0138198  0.0615452 -0.0522568 -0.0138198  0.106816 -0.0943182 10.0119  0.106816 -0.0943182 10.0119  - - -  - - -  75.7294 74.3247 66.9952 65.8404 - - - - - - 68.0272 - - - - - 139 145 133 71 0 0 0 0
