# logged on Tue Jan  9 13:17:35 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704802656.019079000  1001.08 0 99.9981  -  nan  -0.0821539 0.103348 -0.0110082  -0.0821539 0.103348 -0.0110082  0.107535 0.0490403 9.84309  0.107535 0.0490403 9.84309  - - -  - - -  77.026 65.8896 71.0291 61.5341 - - - - 76.558 68.6153 69.6185 62.6566 - - - - 139 146 134 70 0 0 0 0
1704802656.024075000  1001.09 0 99.9981  -  nan  -0.0115246 -0.00927806 0.0522029  -0.0115246 -0.00927806 0.0522029  -0.2642 0.0398946 10.6962  -0.2642 0.0398946 10.6962  - - -  - - -  76.07 67.933 69.4535 61.9635 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704802656.029077000  1001.09 0 99.9986  -  nan  0.0491451 0.0285517 -0.0819273  0.0491451 0.0285517 -0.0819273  -0.118813 0.0557563 9.21297  -0.118813 0.0557563 9.21297  - - -  - - -  74.7291 67.9982 69.5914 62.5057 - - - - 77.0535 65.2316 69.2137 63.1552 - - - - 139 146 134 70 0 0 0 0
1704802656.034085000  1001.08 0 99.9986  -  nan  -0.025698 0.0490702 0.0627651  -0.025698 0.0490702 0.0627651  0.155382 0.00766022 9.16277  0.155382 0.00766022 9.16277  - - -  - - -  75.9154 66.6919 70.4667 61.9753 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704802656.039068000  1001.08 0 99.9957  -  nan  -0.055041 0.050867 0.102456  -0.055041 0.050867 0.102456  -0.34914 0.194526 10.1688  -0.34914 0.194526 10.1688  - - -  - - -  75.5803 67.7486 69.7073 62.5317 - - - - 76.8049 - 71.7154 61.5233 - - - - 139 146 134 70 0 0 0 0
1704802656.044080000  1001.07 0 99.9972  -  nan  0.0628897 -0.0428938 -0.0648605  0.0628897 -0.0428938 -0.0648605  0.00845235 -0.195672 9.6928  0.00845235 -0.195672 9.6928  - - -  - - -  74.6786 68.5429 69.3309 62.6663 - - - - - 67.6407 - - - - - - 139 146 134 70 0 0 0 0
1704802656.049080000  1001.07 0 99.9937  -  nan  0.0777574 0.0436871 -0.0533091  0.0777574 0.0436871 -0.0533091  0.383676 -0.0379956 8.88388  0.383676 -0.0379956 8.88388  - - -  - - -  75.0026 66.9354 70.9668 62.3867 - - - - 74.4048 - 71.286 62.3286 - - - - 139 146 134 70 0 0 0 0
1704802656.054089000  1001.06 0 99.9944  -  nan  -0.0547645 0.0644678 0.0874249  -0.0547645 0.0644678 0.0874249  -0.583876 0.0902254 10.6318  -0.583876 0.0902254 10.6318  - - -  - - -  75.8884 66.9151 70.4865 62.8157 - - - - - 66.507 - - - - - - 139 146 134 70 0 0 0 0
1704802656.059092000  1001.06 0 99.9906  -  nan  0.0919276 -0.0402792 0.00599345  0.0919276 -0.0402792 0.00599345  -0.22619 -0.207258 10.7753  -0.22619 -0.207258 10.7753  - - -  - - -  74.6687 68.5249 69.4692 62.8627 - - - - 75.8265 - 69.4155 62.1659 - - - - 139 146 134 70 0 0 0 0
1704802656.064084000  1001.07 0 99.9906  -  nan  0.0941138 0.0986787 -0.0958988  0.0941138 0.0986787 -0.0958988  0.388045 0.108517 8.92725  0.388045 0.108517 8.92725  - - -  - - -  74.5121 66.8158 71.0556 63.0368 - - - - - 67.6407 - - - - - - 139 146 134 70 0 0 0 0
