# logged on Wed Dec 13 17:14:49 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.03099  1           0.00671748  2           0.00392137
#  3          -0.00506866  4              1.01317  5            0.0334224
#  6            0.0540395  7           -0.0299119  8             0.969332
# }
# gbias {
#  0           -0.0513409  1            0.0755376  2            0.0383217
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940117  1            0.0306385  2            0.0112014
#  3         -3.77057e-05  4              1.01508  5           -0.0160543
#  6          -0.00828666  7           -0.0860739  8             0.992674
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1702484090.116146000  1000.25 0 50.0857  -  nan  0.0231521 0.164389 -0.0662502  0.0231521 0.164389 -0.0662502  1.585 1.93861 10.9396  1.585 1.93861 10.9396  - - -  - - -  68.4482 71.2669 70.5916 69.8288 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.121155000  1000.25 0 50.0776  -  nan  0.0614425 0.208952 0.105454  0.0614425 0.208952 0.105454  -1.3984 -1.27523 12.5886  -1.3984 -1.27523 12.5886  - - -  - - -  69.7786 71.4677 71.6059 67.755 - - - - 69.6185 71.5001 70.6514 69.8227 - - - - 0 0 0 0 0 0 0 0
1702484090.126149000  1000.27 0 50.0776  -  nan  0.0570459 0.183487 0.14939  0.0570459 0.183487 0.14939  1.81657 -1.81217 8.22238  1.81657 -1.81217 8.22238  - - -  - - -  68.3139 71.5217 71.77 68.5625 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.131147000  1000.28 0 50.0776  -  nan  0.0466872 0.171246 -0.0977783  0.0466872 0.171246 -0.0977783  -0.314482 2.15302 8.36189  -0.314482 2.15302 8.36189  - - -  - - -  68.7304 71.4794 70.7405 69.8129 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.136143000  1000.28 0 50.0776  -  nan  0.119316 0.253773 0.0849216  0.119316 0.253773 0.0849216  -1.42896 -1.18761 11.6744  -1.42896 -1.18761 11.6744  - - -  - - -  69.7041 71.6526 72.2734 67.7404 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.141143000  1000.29 0 50.0757  -  nan  0.161697 0.281888 0.0625279  0.161697 0.281888 0.0625279  2.63718 0.125031 10.6277  2.63718 0.125031 10.6277  - - -  - - -  68.1811 71.7466 72.1684 69.1081 - - - - 69.6185 71.5001 73.0353 67.8334 - - - - 0 0 0 0 0 0 0 0
1702484090.146144000  1000.29 0 50.0757  -  nan  0.0875673 0.210802 -0.10199  0.0875673 0.210802 -0.10199  -0.363679 2.18897 9.44204  -0.363679 2.18897 9.44204  - - -  - - -  69.1407 71.742 71.2201 69.5678 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.151148000  1000.29 0 50.0757  -  nan  0.10915 0.251009 0.159397  0.10915 0.251009 0.159397  0.0325546 -2.37616 10.24  0.0325546 -2.37616 10.24  - - -  - - -  69.6652 71.7014 72.9339 67.8186 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.156146000  1000.3 0 50.0757  -  nan  0.211457 0.325765 0.0757027  0.211457 0.325765 0.0757027  2.61384 0.182699 10.2146  2.61384 0.182699 10.2146  - - -  - - -  68.3337 71.8241 72.2865 69.8109 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.161143000  1000.31 0 50.0779  -  nan  0.188859 0.307754 -0.0592876  0.188859 0.307754 -0.0592876  -1.72143 0.536308 10.7667  -1.72143 0.536308 10.7667  - - -  - - -  69.6452 71.8234 71.6592 69.6309 - - - - 68.2221 71.9321 71.9321 69.4155 - - - - 0 0 0 0 0 0 0 0
