# logged on Tue Dec 19 14:00:12 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1702990812.381807000  1000.39 0 50.0557  -  nan  0.0618383 0.138778 -0.199576  0.0618383 0.138778 -0.199576  2.07181 0.597667 11.4403  2.07181 0.597667 11.4403  - - -  - - -  72.2743 73.0896 67.4446 70.3666 - - - - 71.286 74.173 67.2585 70.2445 - - - - 0 0 0 0 0 0 0 0
1702990812.386768000  1000.39 0 50.0557  -  nan  0.0534242 0.143674 0.084198  0.0534242 0.143674 0.084198  -1.81948 0.149453 10.4188  -1.81948 0.149453 10.4188  - - -  - - -  72.934 74.4228 67.0855 68.5503 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.391783000  1000.39 0 50.0557  -  nan  -0.0148034 0.229467 -0.0802561  -0.0148034 0.229467 -0.0802561  0.723855 -2.20378 9.38075  0.723855 -2.20378 9.38075  - - -  - - -  71.0519 74.2213 67.7326 69.5032 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.396797000  1000.39 0 50.0557  -  nan  0.0265253 0.219129 -0.142242  0.0265253 0.219129 -0.142242  0.575703 2.19226 9.19284  0.575703 2.19226 9.19284  - - -  - - -  72.8357 72.7252 67.1741 69.7719 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.401787000  1000.39 0 50.0556  -  nan  0.0739832 0.173092 0.080426  0.0739832 0.173092 0.080426  -1.91505 -0.141221 10.1307  -1.91505 -0.141221 10.1307  - - -  - - -  73.0113 74.1995 67.2402 68.0038 - - - - 74.173 73.9426 67.2585 68.4182 - - - - 0 0 0 0 0 0 0 0
1702990812.406769000  1000.4 0 50.0556  -  nan  0.0604228 0.209814 -0.179943  0.0604228 0.209814 -0.179943  2.36322 -0.681081 11.3841  2.36322 -0.681081 11.3841  - - -  - - -  71.4052 73.4502 67.8607 69.8792 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.411769000  1000.4 0 50.0556  -  nan  0.0448201 0.218968 -0.156504  0.0448201 0.218968 -0.156504  0.386019 2.36691 8.52245  0.386019 2.36691 8.52245  - - -  - - -  73.146 72.5522 67.2579 69.0697 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.416771000  1000.41 0 50.0556  -  nan  0.0839296 0.201923 0.0464612  0.0839296 0.201923 0.0464612  -0.807357 -2.18867 7.501  -0.807357 -2.18867 7.501  - - -  - - -  72.0368 73.9138 67.9347 67.6665 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.421776000  1000.45 0 50.052  -  nan  0.080871 0.240703 -0.173945  0.080871 0.240703 -0.173945  2.43075 -0.516093 12.529  2.43075 -0.516093 12.529  - - -  - - -  71.7712 72.5321 67.8715 70.1198 - - - - 71.9321 73.9426 68.2221 69.4155 - - - - 0 0 0 0 0 0 0 0
1702990812.426774000  1000.46 0 50.052  -  nan  0.0549371 0.279178 -0.0539612  0.0549371 0.279178 -0.0539612  -1.53233 1.41939 12.4398  -1.53233 1.41939 12.4398  - - -  - - -  73.7145 72.5003 67.2935 68.7228 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
