# logged on Tue Nov 14 15:16:08 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699971368.573963000  1000.29 0 50.0007  -  nan  -0.0244284 0.0725738 -0.0331399  -0.0244284 0.0725738 -0.0331399  0.0105509 0.0892184 10.3964  0.0105509 0.0892184 10.3964  - - -  - - -  79.238 77.1988 65.5195 63.9979 - - - - 77.3036 - 65.7722 - - - - - 138 146 134 71 0 0 0 0
1699971368.578975000  1000.28 0 50.0007  -  nan  -0.0663429 0.0444982 -0.0467353  -0.0663429 0.0444982 -0.0467353  0.11996 0.05076 8.62352  0.11996 0.05076 8.62352  - - -  - - -  79.5891 77.3219 65.5917 63.0092 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1699971368.583941000  1000.28 0 50.0007  -  nan  -0.053242 0.14296 -0.00693118  -0.053242 0.14296 -0.00693118  0.0608864 0.0899334 10.2242  0.0608864 0.0899334 10.2242  - - -  - - -  80.0993 77.9175 66.0864 62.3558 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1699971368.588962000  1000.28 0 50.0044  -  nan  0.00334833 0.0869403 -0.00462621  0.00334833 0.0869403 -0.00462621  -0.0413592 0.0424487 10.6287  -0.0413592 0.0424487 10.6287  - - -  - - -  80.5657 78.0295 65.2795 62.1305 - - - - - 76.558 - 64.1766 - - - - 138 146 134 71 0 0 0 0
1699971368.593947000  1000.27 0 50.0036  -  nan  0.0189286 -0.0519257 0.0268651  0.0189286 -0.0519257 0.0268651  0.0664371 -0.0430272 8.91793  0.0664371 -0.0430272 8.91793  - - -  - - -  80.0714 77.7767 64.8172 62.5655 - - - - 81.8197 - 65.0533 - - - - - 138 146 134 71 0 0 0 0
1699971368.598962000  1000.27 0 50.0036  -  nan  0.060825 0.00363048 0.0259551  0.060825 0.00363048 0.0259551  -0.0381879 0.0894581 10.3382  -0.0381879 0.0894581 10.3382  - - -  - - -  79.1482 77.885 65.7608 63.3122 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1699971368.603942000  1000.26 0 50.0036  -  nan  0.0748937 0.00370537 0.0261506  0.0748937 0.00370537 0.0261506  0.00738777 -0.00289917 10.5185  0.00738777 -0.00289917 10.5185  - - -  - - -  78.7364 77.5765 65.4626 63.9083 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1699971368.608943000  1000.25 0 50.0048  -  nan  0.0755783 -0.094298 0.0150388  0.0755783 -0.094298 0.0150388  0.0700258 0.0502847 8.7379  0.0700258 0.0502847 8.7379  - - -  - - -  78.3876 77.3157 65.5529 64.1916 - - - - - 77.3036 - 62.4922 - - - - 138 146 134 71 0 0 0 0
1699971368.613941000  1000.25 0 50.0058  -  nan  0.00412852 -0.0523765 -0.000858591  0.00412852 -0.0523765 -0.000858591  0.0185001 0.0939712 9.24914  0.0185001 0.0939712 9.24914  - - -  - - -  78.201 77.3029 66.818 64.1992 - - - - 80.4376 - 64.3501 - - - - - 138 146 134 71 0 0 0 0
1699971368.618964000  1000.26 0 50.0058  -  nan  -0.0244465 0.100054 -0.0476452  -0.0244465 0.100054 -0.0476452  0.0589025 0.0887472 10.5105  0.0589025 0.0887472 10.5105  - - -  - - -  79.196 77.782 66.1321 63.0638 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
