# logged on Mon Nov 13 16:42:58 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699890179.025840000  999.995 0 49.9996  -  nan  0.132584 0.00345448 -0.0143249  0.132584 0.00345448 -0.0143249  0.0628799 0.000898956 9.60202  0.0628799 0.000898956 9.60202  - - -  - - -  71.2612 70.2136 68.9159 67.3616 - - - - 69.0131 - - - - - - - 138 0 134 71 0 0 0 0
1699890179.030870000  999.995 0 49.9996  -  nan  0.0190472 -0.0246305 -0.00139733  0.0190472 -0.0246305 -0.00139733  0.0548908 -0.0959837 10.4136  0.0548908 -0.0959837 10.4136  - - -  - - -  70.9075 69.2639 69.5274 67.5244 - - - - - - - - - - - - 138 0 134 71 0 0 0 0
1699890179.035888000  999.993 0 49.9978  -  nan  -0.0107204 0.0868654 -0.00482168  -0.0107204 0.0868654 -0.00482168  -0.034227 -0.044453 9.26141  -0.034227 -0.044453 9.26141  - - -  - - -  70.8822 69.9563 69.0948 66.9367 - - - - - - 69.8227 67.4491 - - - - 138 0 134 71 0 0 0 0
1699890179.040836000  999.985 0 49.996  -  nan  0.104446 0.00330469 -0.0147158  0.104446 0.00330469 -0.0147158  0.10725 -0.00195274 10.2907  0.10725 -0.00195274 10.2907  - - -  - - -  71.4171 70.4265 68.7105 67.0921 - - - - - 70.4424 - - - - - - 138 0 134 71 0 0 0 0
1699890179.045839000  999.982 0 49.9954  -  nan  0.00359888 0.0179612 0.0110014  0.00359888 0.0179612 0.0110014  0.0597002 -0.00100217 10.0609  0.0597002 -0.00100217 10.0609  - - -  - - -  71.0409 69.8957 69.0033 67.1698 - - - - 70.4424 - - - - - - - 138 0 134 71 0 0 0 0
1699890179.050840000  999.978 0 49.9954  -  nan  -0.0389947 0.0869009 0.00854448  -0.0389947 0.0869009 0.00854448  -0.0829493 0.00184952 9.37152  -0.0829493 0.00184952 9.37152  - - -  - - -  71.0946 70.6262 68.4513 66.4922 - - - - - - - - - - - - 138 0 134 71 0 0 0 0
1699890179.055831000  999.977 0 49.9945  -  nan  0.0902947 0.0180507 -0.0153121  0.0902947 0.0180507 -0.0153121  0.102865 -0.0506276 10.7529  0.102865 -0.0506276 10.7529  - - -  - - -  71.4224 70.8963 68.2201 66.56 - - - - - - 68.8137 66.507 - - - - 138 0 134 71 0 0 0 0
1699890179.060847000  999.976 0 49.994  -  nan  -0.0249078 0.0594953 0.0232453  -0.0249078 0.0594953 0.0232453  0.0137388 0.0460113 9.76908  0.0137388 0.0460113 9.76908  - - -  - - -  70.7974 70.3698 68.6545 66.5233 - - - - - 70.028 - - - - - - 138 0 134 71 0 0 0 0
1699890179.065852000  999.976 0 49.9946  -  nan  -0.039054 0.0732533 0.0226757  -0.039054 0.0732533 0.0226757  -0.0841616 -0.0449283 9.37578  -0.0841616 -0.0449283 9.37578  - - -  - - -  71.2474 71.0974 67.9147 66.0884 - - - - 71.5001 - - - - - - - 138 0 134 71 0 0 0 0
1699890179.070854000  999.975 0 49.9946  -  nan  0.0906792 -0.0246344 -0.0289029  0.0906792 -0.0246344 -0.0289029  0.0525295 -0.0513426 10.9251  0.0525295 -0.0513426 10.9251  - - -  - - -  71.1511 71.2224 68.0165 66.0935 - - - - - - - - - - - - 138 0 134 71 0 0 0 0
1699890179.075844000  999.976 0 49.994  -  nan  -0.038703 0.0590499 -0.00446445  -0.038703 0.0590499 -0.00446445  0.0668448 0.0934959 9.36421  0.0668448 0.0934959 9.36421  - - -  - - -  70.702 70.5752 68.4869 66.1852 - - - - - - 68.4182 66.1376 - - - - 138 0 134 71 0 0 0 0
1699890179.080850000  999.975 0 49.9946  -  nan  -0.0105473 0.0317192 0.0104318  -0.0105473 0.0317192 0.0104318  -0.0857514 -0.0458789 9.60523  -0.0857514 -0.0458789 9.60523  - - -  - - -  71.3807 71.3477 67.8171 65.6265 - - - - - 71.5001 - - - - - - 138 0 134 71 0 0 0 0
1699890179.085851000  999.974 0 49.9961  -  nan  0.104903 -0.0522253 -0.0279592  0.104903 -0.0522253 -0.0279592  0.0533079 -0.0969302 10.6421  0.0533079 -0.0969302 10.6421  - - -  - - -  71.0724 71.2911 68.0843 65.7173 - - - - 71.7154 - - - - - - - 138 0 134 71 0 0 0 0
1699890179.090853000  999.974 0 49.9961  -  nan  -0.0106248 0.0455521 0.0100577  -0.0106248 0.0455521 0.0100577  0.0672554 0.00351508 8.97053  0.0672554 0.00351508 8.97053  - - -  - - -  70.5636 70.4467 68.7945 66.1566 - - - - - - - - - - - - 138 0 134 71 0 0 0 0
1699890179.095836000  999.975 0 49.997  -  nan  0.061176 -0.0105729 -0.001185  0.061176 -0.0105729 -0.001185  -0.0869403 -0.0465898 9.77682  -0.0869403 -0.0465898 9.77682  - - -  - - -  71.095 71.4415 68.3225 65.7603 - - - - - - 67.2585 66.1376 - - - - 138 0 134 71 0 0 0 0
1699890179.100841000  999.974 0 49.9983  -  nan  0.14727 -0.0806544 -0.0265979  0.14727 -0.0806544 -0.0265979  0.00895423 -0.0480156 10.1217  0.00895423 -0.0480156 10.1217  - - -  - - -  70.6264 70.399 68.9606 66.2439 - - - - - 71.0732 - - - - - - 138 0 134 71 0 0 0 0
1699890179.105849000  999.975 0 49.9985  -  nan  0.00365819 0.0316088 -0.00312985  0.00365819 0.0316088 -0.00312985  0.0180923 -0.0425519 8.80285  0.0180923 -0.0425519 8.80285  - - -  - - -  70.4091 69.8989 69.3568 66.6986 - - - - 70.8617 - - - - - - - 138 0 134 71 0 0 0 0
1699890179.110847000  999.975 0 49.9985  -  nan  0.146885 -0.0379692 -0.0130071  0.146885 -0.0379692 -0.0130071  -0.040563 -0.00218831 10.3465  -0.040563 -0.00218831 10.3465  - - -  - - -  70.8503 70.8159 69.0441 66.3537 - - - - - - - - - - - - 138 0 134 71 0 0 0 0
1699890179.115848000  999.975 0 49.9989  -  nan  0.161982 -0.0663575 0.00173432  0.161982 -0.0663575 0.00173432  -0.0410037 -0.0945579 10.0687  -0.0410037 -0.0945579 10.0687  - - -  - - -  70.4008 69.733 69.3828 66.9666 - - - - - - 67.8334 66.507 - - - - 138 0 134 71 0 0 0 0
1699890179.120847000  999.975 0 49.9989  -  nan  0.0466732 0.0183765 0.0253589  0.0466732 0.0183765 0.0253589  -0.0338494 -0.0902803 9.03622  -0.0338494 -0.0902803 9.03622  - - -  - - -  70.1306 69.6118 69.4901 67.4528 - - - - - - - - - - - - 138 0 134 71 0 0 0 0
1699890179.125845000  999.975 0 50.0001  -  nan  0.176105 -0.051647 -0.0122281  0.176105 -0.051647 -0.0122281  0.0561251 0.0419735 10.7441  0.0561251 0.0419735 10.7441  - - -  - - -  70.4857 70.4918 68.9271 67.4036 - - - - 70.8617 70.028 - - - - - - 138 0 134 71 0 0 0 0
1699890179.130849000  999.975 0 50.0001  -  nan  0.161726 0.00360962 -0.01392  0.161726 0.00360962 -0.01392  -0.0865463 -0.0463542 9.71996  -0.0865463 -0.0463542 9.71996  - - -  - - -  70.1115 69.1397 69.2334 67.7075 - - - - - - - - - - - - 138 0 134 71 0 0 0 0
1699890179.135889000  999.975 0 50.0001  -  nan  0.0470836 0.0178207 -0.0159125  0.0470836 0.0178207 -0.0159125  0.0116932 -0.138484 9.38501  0.0116932 -0.138484 9.38501  - - -  - - -  70.6348 69.4038 69.0895 67.617 - - - - - - 69.6185 68.4182 - - - - 138 0 134 71 0 0 0 0
1699890179.140851000  999.975 0 50.0011  -  nan  0.147246 -0.0521859 -0.0411299  0.147246 -0.0521859 -0.0411299  0.0529455 0.0400723 11.203  0.0529455 0.0400723 11.203  - - -  - - -  70.6441 69.6474 69.1734 67.2069 - - - - - 69.0131 - - - - - - 138 0 134 71 0 0 0 0
1699890179.145847000  999.975 0 50.001  -  nan  0.11814 0.0460515 -0.00191223  0.11814 0.0460515 -0.00191223  -0.0318189 0.00303979 9.08455  -0.0318189 0.00303979 9.08455  - - -  - - -  70.3178 68.9049 69.3752 67.1172 - - - - 70.4424 - - - - - - - 138 0 134 71 0 0 0 0
1699890179.150885000  999.975 0 50.001  -  nan  0.0469705 -0.0104626 0.0123766  0.0469705 -0.0104626 0.0123766  -0.0362507 -0.137769 9.21207  -0.0362507 -0.137769 9.21207  - - -  - - -  70.8854 69.4282 68.8253 67.3788 - - - - - - - - - - - - 138 0 134 71 0 0 0 0
