# logged on Thu Dec 21 15:46:58 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1703170018.241925000  1000.59 0 49.9897  -  nan  -0.0678982 0.103825 0.00354838  -0.0678982 0.103825 0.00354838  0.0696825 0.252178 9.42479  0.0696825 0.252178 9.42479  - - -  - - -  79.3905 67.1198 69.7822 64.4872 - - - - - 67.6407 - - - - - - 138 0 0 71 0 0 0 0
1703170018.246920000  1000.58 0 49.9887  -  nan  -0.0537176 0.0464897 -0.0070491  -0.0537176 0.0464897 -0.0070491  -0.444473 0.00339508 9.5575  -0.444473 0.00339508 9.5575  - - -  - - -  79.5123 68.3353 68.987 64.5484 - - - - 78.3208 - - - - - - - 138 0 0 71 0 0 0 0
1703170018.251931000  1000.57 0 49.9887  -  nan  0.0205445 0.0133775 -0.111515  0.0205445 0.0133775 -0.111515  0.236558 -0.106002 10.5989  0.236558 -0.106002 10.5989  - - -  - - -  79.0067 67.8391 69.8631 64.6991 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
1703170018.256932000  1000.57 0 49.9929  -  nan  -0.140553 0.147174 -0.0165576  -0.140553 0.147174 -0.0165576  0.0728207 0.351608 9.41586  0.0728207 0.351608 9.41586  - - -  - - -  79.6286 66.8203 70.3715 64.2164 - - - - - - 68.6153 64.6998 - - - - 138 0 0 71 0 0 0 0
1703170018.261926000  1000.56 0 49.9926  -  nan  -0.0972039 0.0619528 0.0166211  -0.0972039 0.0619528 0.0166211  -0.397148 0.0514805 9.61104  -0.397148 0.0514805 9.61104  - - -  - - -  79.8333 68.6663 69.1576 64.1513 - - - - - 67.4491 - - - - - - 138 0 0 71 0 0 0 0
1703170018.266921000  1000.55 0 49.9923  -  nan  0.02091 0.0411989 -0.126072  0.02091 0.0411989 -0.126072  0.282327 -0.150837 10.147  0.282327 -0.150837 10.147  - - -  - - -  79.1809 68.2229 70.0871 64.3288 - - - - 79.6305 - - - - - - - 138 0 0 71 0 0 0 0
1703170018.271925000  1000.55 0 49.9923  -  nan  -0.154607 0.175061 -0.0321041  -0.154607 0.175061 -0.0321041  -0.107587 0.403354 9.12521  -0.107587 0.403354 9.12521  - - -  - - -  79.8406 67.1441 71.0175 63.8325 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
1703170018.276930000  1000.55 0 49.9957  -  nan  -0.126909 0.0615462 0.00100425  -0.126909 0.0615462 0.00100425  -0.309592 -0.00392568 10.2435  -0.309592 -0.00392568 10.2435  - - -  - - -  79.7938 69.167 69.9419 63.8307 - - - - - - 70.028 64.8761 - - - - 138 0 0 71 0 0 0 0
1703170018.281927000  1000.55 0 49.9961  -  nan  -0.008985 0.0849649 -0.102472  -0.008985 0.0849649 -0.102472  0.190969 -0.153277 10.3747  0.190969 -0.153277 10.3747  - - -  - - -  78.8902 68.6282 71.1406 63.7312 - - - - - 67.8334 - - - - - - 138 0 0 71 0 0 0 0
1703170018.286922000  1000.55 0 49.9965  -  nan  -0.155263 0.17723 0.0221639  -0.155263 0.17723 0.0221639  -0.110967 0.304333 9.19064  -0.110967 0.304333 9.19064  - - -  - - -  79.8083 67.6876 71.2713 63.7519 - - - - 80.1667 - - - - - - - 138 0 0 71 0 0 0 0
1703170018.291927000  1000.55 0 49.9965  -  nan  -0.0821539 0.103348 -0.0110082  -0.0821539 0.103348 -0.0110082  -0.125053 -0.00332092 10.1883  -0.125053 -0.00332092 10.1883  - - -  - - -  79.3855 69.4435 70.6196 63.7007 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
