# logged on Thu Dec 21 15:23:42 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1703168622.152548000  1000.96 0 49.993  -  nan  -0.0401553 0.0202297 0.0491984  -0.0401553 0.0202297 0.0491984  -0.624862 0.332702 11.18  -0.624862 0.332702 11.18  - - -  - - -  81.675 67.6387 72.2701 65.8022 - - - - 80.7103 68.0272 - - - - - - 138 145 0 71 0 0 0 0
1703168622.157537000  1000.98 0 49.993  -  nan  0.0341887 0.000325176 -0.0547576  0.0341887 0.000325176 -0.0547576  0.0952348 -0.299983 10.1591  0.0952348 -0.299983 10.1591  - - -  - - -  80.2356 68.669 72.2831 65.2686 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1703168622.162546000  1000.98 0 49.9927  -  nan  0.00456562 0.0587437 -0.0452557  0.00456562 0.0587437 -0.0452557  0.204365 0.059406 8.87379  0.204365 0.059406 8.87379  - - -  - - -  80.0177 67.4927 73.1322 65 - - - - - - 71.9321 - - - - - 138 145 0 71 0 0 0 0
1703168622.167536000  1000.99 0 49.9944  -  nan  -0.0835784 0.0209687 0.0597966  -0.0835784 0.0209687 0.0597966  -0.485004 0.336362 10.8385  -0.485004 0.336362 10.8385  - - -  - - -  80.6401 67.2078 73.2112 65.1242 - - - - - - - 66.1376 - - - - 138 145 0 71 0 0 0 0
1703168622.172539000  1000.99 0 49.9964  -  nan  -0.0107308 -0.0409345 -0.0291781  -0.0107308 -0.0409345 -0.0291781  -0.134899 -0.347874 9.99112  -0.134899 -0.347874 9.99112  - - -  - - -  79.2144 69.0121 72.6914 64.6326 - - - - 81.2612 67.6407 - - - - - - 138 145 0 71 0 0 0 0
1703168622.177596000  1000.99 0 49.9964  -  nan  0.0339871 -0.0280385 -0.0537676  0.0339871 -0.0280385 -0.0537676  0.202158 0.0545361 9.32949  0.202158 0.0545361 9.32949  - - -  - - -  78.9822 68.0566 73.538 64.635 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1703168622.182544000  1000.98 0 49.9967  -  nan  -0.142313 0.0648657 0.0814166  -0.142313 0.0648657 0.0814166  -0.432906 0.443309 10.0318  -0.432906 0.443309 10.0318  - - -  - - -  79.5659 67.0913 74.1335 64.783 - - - - - - 71.9321 - - - - - 138 145 0 71 0 0 0 0
1703168622.187598000  1000.98 0 49.9991  -  nan  0.0186275 -0.112993 -0.024618  0.0186275 -0.112993 -0.024618  -0.140302 -0.405105 10.7937  -0.140302 -0.405105 10.7937  - - -  - - -  79.1356 68.5474 73.2279 64.6206 - - - - - - - 65.2316 - - - - 138 145 0 71 0 0 0 0
1703168622.192542000  1000.97 0 49.9982  -  nan  0.0489363 -0.000825009 -0.080902  0.0489363 -0.000825009 -0.080902  0.298034 0.159452 8.80794  0.298034 0.159452 8.80794  - - -  - - -  78.1081 67.6457 74.0749 64.6642 - - - - 80.7103 67.8334 - - - - - - 138 145 0 71 0 0 0 0
1703168622.197598000  1000.97 0 49.9982  -  nan  -0.185672 0.123455 0.118138  -0.185672 0.123455 0.118138  -0.712022 0.343672 10.1528  -0.712022 0.343672 10.1528  - - -  - - -  79.443 66.709 74.5006 64.5696 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
